dataset,setting,model,stage,MSE,n,RMSE
B1,stimulus,N0,maintenance,91490.7271548924,64,302.4743413165692
B1,stimulus,N0,retrieval,103076.94122696773,64,321.0559783386189
B1,stimulus,N1,encoding,26443.56363624161,64,162.61477065826958
B1,stimulus,N1,maintenance,91730.7402107824,64,302.87083090119853
B1,stimulus,N1,retrieval,103167.70020164504,64,321.19729170969833
B1,stimulus,N2,encoding,26439.35339522806,64,162.60182469833498
B1,stimulus,N2,maintenance,91742.94667303486,64,302.8909814983518
B1,stimulus,N2,retrieval,103249.61904603154,64,321.32478747527637
B1,stimulus,N2_equal_penalty,encoding,26623.13942495672,64,163.16598734097963
B1,stimulus,N2_equal_penalty,maintenance,91551.6905136002,64,302.5750989648689
B1,stimulus,N2_equal_penalty,retrieval,103078.68529094075,64,321.0586944640197
B1,stimulus,N2_fixed_target,encoding,26439.92234700992,64,162.60357421351452
B1,stimulus,N2_fixed_target,maintenance,91740.59838965569,64,302.8871050237294
B1,stimulus,N2_fixed_target,retrieval,103307.63441604028,64,321.415050077062
B1,stimulus,N2_no_projection,encoding,26441.593930678082,64,162.60871419047038
B1,stimulus,N2_no_projection,maintenance,91734.73180013096,64,302.8774204197648
B1,stimulus,N2_no_projection,retrieval,103120.1147860897,64,321.12320810880317
B1,stimulus,N2_no_retrieval,encoding,26442.588177738453,64,162.61177133817358
B1,stimulus,N2_no_retrieval,maintenance,91784.45277972532,64,302.9594903278742
B1,stimulus,N2_no_retrieval,retrieval,103244.72916970903,64,321.31717845410793
B1,stimulus,N3,encoding,26935.9679262578,64,164.12180819823368
B1,stimulus,N3,maintenance,91949.09870202339,64,303.23109784786817
B1,stimulus,N3,retrieval,103576.77560824786,64,321.83345942932635
B2,past,B0,encoding,53821.264946897565,71,231.99410541411945
B2,past,B0,maintenance,102769.07669078473,71,320.5761636347667
B2,past,B0,retrieval,90825.0348758648,71,301.37192118023336
B2,past,N0,encoding,53860.001993464095,71,232.07757753273816
B2,past,N0,maintenance,103014.61466157547,71,320.95889871068454
B2,past,N0,retrieval,91336.43462322348,71,302.21918308278094
B2,past,N1,encoding,51658.89347788991,71,227.2859289042987
B2,past,N1,maintenance,102959.67103710935,71,320.873294365719
B2,past,N1,retrieval,90463.3048130231,71,300.7711834817676
B2,past,N2,encoding,51908.32044219516,71,227.83397560986194
B2,past,N2,maintenance,102907.6277518847,71,320.792187797466
B2,past,N2,retrieval,89916.69922127815,71,299.86113322883
B2,past,N3,encoding,52670.58713923433,71,229.5007345069604
B2,past,N3,maintenance,103488.4998340992,71,321.69628507973044
B2,past,N3,retrieval,88879.39232670331,71,298.1264703556249
B2,stimulus,N0,encoding,74154.48706812949,71,272.31321500825015
B2,stimulus,N0,maintenance,209601.45266968023,71,457.8225121918758
B2,stimulus,N0,retrieval,224865.92062870212,71,474.2002958968943
B2,stimulus,N1,encoding,76817.78353122313,71,277.16021274927454
B2,stimulus,N1,maintenance,201789.8616409409,71,449.2102643984673
B2,stimulus,N1,retrieval,207068.19979783206,71,455.04746982906306
B2,stimulus,N2,encoding,78161.17380210714,71,279.5731993630776
B2,stimulus,N2,maintenance,202533.0554481081,71,450.0367267769466
B2,stimulus,N2,retrieval,202692.39029856373,71,450.2137162488097
B2,stimulus,N2_equal_penalty,encoding,78168.41837830597,71,279.58615555550307
B2,stimulus,N2_equal_penalty,maintenance,202646.28042290302,71,450.1625044613367
B2,stimulus,N2_equal_penalty,retrieval,202206.33203394565,71,449.67358387384246
B2,stimulus,N2_fixed_target,encoding,78501.5415934102,71,280.18126560034347
B2,stimulus,N2_fixed_target,maintenance,204044.86534443306,71,451.71325566606197
B2,stimulus,N2_fixed_target,retrieval,202307.09190837253,71,449.78560660427155
B2,stimulus,N2_no_projection,encoding,76811.56847725612,71,277.14900049838917
B2,stimulus,N2_no_projection,maintenance,201795.40496714835,71,449.2164344357276
B2,stimulus,N2_no_projection,retrieval,207183.39923826436,71,455.1740318144966
B2,stimulus,N2_no_retrieval,encoding,77654.34734787846,71,278.66529627472175
B2,stimulus,N2_no_retrieval,maintenance,202173.46848509286,71,449.6370408285919
B2,stimulus,N2_no_retrieval,retrieval,204882.68171947383,71,452.6396819982466
B2,stimulus,N3,encoding,76625.88951536731,71,276.8138174213262
B2,stimulus,N3,maintenance,208540.08435247256,71,456.6618928183876
B2,stimulus,N3,retrieval,200104.4065984882,71,447.33031039544835
