dataset,trial_id,block,setting,horizon_s,model,stage,channel,n_samples,MSE
A1,13,0,stimulus,2.0,N0,retrieval,1,267,15519.112739519587
A1,13,0,stimulus,2.0,N0,retrieval,2,267,11258.06333279119
A1,16,0,stimulus,2.0,N0,encoding,0,205,88.94330814399312
A1,16,0,stimulus,2.0,N0,encoding,1,205,27936.330278710062
A1,16,0,stimulus,2.0,N0,encoding,2,205,7823.945754674464
A1,16,0,stimulus,2.0,N0,maintenance,0,362,507.2566203719535
A1,16,0,stimulus,2.0,N0,maintenance,1,362,139981.97825386233
A1,16,0,stimulus,2.0,N0,maintenance,2,362,75338.62443389573
A1,16,0,stimulus,2.0,N0,retrieval,0,233,176.94585124349143
A1,16,0,stimulus,2.0,N0,retrieval,1,233,151241.78938347456
A1,16,0,stimulus,2.0,N0,retrieval,2,233,97879.6659576742
A1,17,0,stimulus,2.0,N0,encoding,0,205,216.676240499284
A1,17,0,stimulus,2.0,N0,encoding,1,205,20312.52316895485
A1,17,0,stimulus,2.0,N0,encoding,2,205,46044.24572161113
A1,17,0,stimulus,2.0,N0,maintenance,0,363,771.875866656049
A1,17,0,stimulus,2.0,N0,maintenance,1,363,40248.69061082497
A1,17,0,stimulus,2.0,N0,maintenance,2,363,100977.41472523686
A1,17,0,stimulus,2.0,N0,retrieval,0,334,184.96732129793128
A1,17,0,stimulus,2.0,N0,retrieval,1,334,10062.699231910865
A1,17,0,stimulus,2.0,N0,retrieval,2,334,27643.33075203809
A1,24,1,stimulus,2.0,N0,encoding,0,205,578.1275871145691
A1,24,1,stimulus,2.0,N0,encoding,1,205,884.8265488474246
A1,24,1,stimulus,2.0,N0,encoding,2,205,984.25367963844
A1,24,1,stimulus,2.0,N0,maintenance,0,362,194.7713060862166
A1,24,1,stimulus,2.0,N0,maintenance,1,362,2053.1454824042685
A1,24,1,stimulus,2.0,N0,maintenance,2,362,4812.89167110512
A1,24,1,stimulus,2.0,N0,retrieval,0,257,1020.5186482449373
A1,24,1,stimulus,2.0,N0,retrieval,1,257,813.4889041483037
A1,24,1,stimulus,2.0,N0,retrieval,2,257,3976.8775272263647
A1,25,1,stimulus,2.0,N0,encoding,0,205,92.44166975972635
A1,25,1,stimulus,2.0,N0,encoding,1,205,2556.310625377487
A1,25,1,stimulus,2.0,N0,encoding,2,205,3668.0808482922544
A1,25,1,stimulus,2.0,N0,maintenance,0,362,92.62379275458811
A1,25,1,stimulus,2.0,N0,maintenance,1,362,46180.72182226944
A1,25,1,stimulus,2.0,N0,maintenance,2,362,237589.72388041296
A1,25,1,stimulus,2.0,N0,retrieval,0,304,78.26738985018652
A1,25,1,stimulus,2.0,N0,retrieval,1,304,75463.741899897
A1,25,1,stimulus,2.0,N0,retrieval,2,304,525506.270966865
A1,26,1,stimulus,2.0,N0,encoding,0,205,870.1016796160188
A1,26,1,stimulus,2.0,N0,encoding,1,205,7811.029137708978
A1,26,1,stimulus,2.0,N0,encoding,2,205,4564.456716339594
A1,26,1,stimulus,2.0,N0,maintenance,0,362,503.4881249243863
A1,26,1,stimulus,2.0,N0,maintenance,1,362,47241.26509584454
A1,26,1,stimulus,2.0,N0,maintenance,2,362,22286.988961402516
A1,26,1,stimulus,2.0,N0,retrieval,0,219,33.75481196005171
