dataset,horizon_s,stage,control,S,ci_low,ci_high,n,n_blocks,mode
A2,2.5,retrieval,N1,0.020093799419571123,0.008248896026095798,0.029002584579583823,68,5,frozen_V2_common_cohort
A2,2.5,retrieval,N3,0.0022246387409344814,-0.012073249834070321,0.011364376214787697,68,5,frozen_V2_common_cohort
B1,1.5,encoding,N0,0.005885798082923999,-0.0076422865689531605,0.027167668387366173,64,5,frozen_V2_common_cohort
B1,1.5,encoding,N1,-0.00014172703140080678,-0.005371425348436115,0.005926651684803996,64,5,frozen_V2_common_cohort
B1,1.5,encoding,N3,0.01869981431979728,-0.00029251673661256916,0.03676957819273885,64,5,frozen_V2_common_cohort
B1,1.5,maintenance,N0,-0.002292283586244892,-0.01255791314800625,0.0018117275655766818,64,5,frozen_V2_common_cohort
B1,1.5,maintenance,N1,-0.00010275483729693669,-0.0007419445915712863,0.0008797852270852058,64,5,frozen_V2_common_cohort
B1,1.5,maintenance,N3,0.0029762710925859137,-0.013381522325019102,0.012918524105363538,64,5,frozen_V2_common_cohort
B1,1.5,retrieval,N0,-0.001270390829470669,-0.008268713425060081,0.003103105652644822,64,5,frozen_V2_common_cohort
B1,1.5,retrieval,N1,-0.0006558840774615327,-0.0029163945017034454,0.0010835573877555627,64,5,frozen_V2_common_cohort
B1,1.5,retrieval,N3,0.0033892947131786144,-0.0029714526471711356,0.015842817876576487,64,5,frozen_V2_common_cohort
B1,2.0,encoding,N0,0.005885798082923999,-0.00708408393244131,0.027167668387366173,64,5,frozen_V2_common_cohort
B1,2.0,encoding,N1,-0.00014172703140080678,-0.005167100925631107,0.005926651684803996,64,5,frozen_V2_common_cohort
B1,2.0,encoding,N3,0.01869981431979728,-0.00029251673661256916,0.03676957819273885,64,5,frozen_V2_common_cohort
B1,2.0,maintenance,N0,-0.002292283586244892,-0.012557913148006028,0.0018117275655766818,64,5,frozen_V2_common_cohort
B1,2.0,maintenance,N1,-0.00010275483729693669,-0.0007257994930625067,0.0008797852270854278,64,5,frozen_V2_common_cohort
B1,2.0,maintenance,N3,0.0029762710925859137,-0.01338152232501888,0.013143251640587716,64,5,frozen_V2_common_cohort
B1,2.0,retrieval,N0,-0.0012662175653590513,-0.009492425919647385,0.003061985659835842,64,5,frozen_V2_common_cohort
B1,2.0,retrieval,N1,-0.0006505359501178809,-0.0035044736657301456,0.0010835573877555627,64,5,frozen_V2_common_cohort
B1,2.0,retrieval,N3,0.003391973548085181,-0.002962189769215806,0.014793116092659209,64,5,frozen_V2_common_cohort
B1,2.5,encoding,N0,0.005885798082923999,-0.00708408393244131,0.026022017891525362,64,5,frozen_V2_common_cohort
B1,2.5,encoding,N1,-0.00014172703140080678,-0.005167100925631107,0.005659655178265724,64,5,frozen_V2_common_cohort
B1,2.5,encoding,N3,0.01869981431979728,-0.00029251673661256916,0.03676957819273885,64,5,frozen_V2_common_cohort
B1,2.5,maintenance,N0,-0.002292283586244892,-0.011885363681606309,0.001800540103415238,64,5,frozen_V2_common_cohort
B1,2.5,maintenance,N1,-0.00010275483729693669,-0.0007257994930627287,0.0008797852270854278,64,5,frozen_V2_common_cohort
B1,2.5,maintenance,N3,0.0029762710925859137,-0.012438128994056497,0.012918524105363538,64,5,frozen_V2_common_cohort
B1,2.5,retrieval,N0,-0.0012662175653590513,-0.009833560491139265,0.0031019206482415518,64,5,frozen_V2_common_cohort
B1,2.5,retrieval,N1,-0.0006505359501178809,-0.0035044736657303677,0.0010835573877555627,64,5,frozen_V2_common_cohort
B1,2.5,retrieval,N3,0.003391973548085181,-0.002962189769215806,0.016195584525116935,64,5,frozen_V2_common_cohort
B2,1.5,encoding,N0,-0.05456820552052255,-0.10454181586085443,-0.002017692793091941,71,5,frozen_V2_common_cohort
B2,1.5,encoding,N1,-0.01686163323458323,-0.03256722059271655,-0.0020973286004324354,71,5,frozen_V2_common_cohort
B2,1.5,encoding,N3,-0.020512808938166538,-0.049460318379585866,0.006559582474804593,71,5,frozen_V2_common_cohort
