scenario,time_s,correct_cdf,error_cdf,unresolved_survival
nominal,0.41015625,0.061,0.0,0.9390000000000001
nominal,0.4140625,0.06316666666666666,0.0,0.9368333333333333
nominal,0.41796875,0.06633333333333333,0.0,0.9336666666666666
nominal,0.421875,0.06966666666666667,0.0,0.9303333333333333
nominal,0.42578125,0.072,0.0,0.928
nominal,0.4296875,0.07516666666666667,0.0,0.9248333333333333
nominal,0.43359375,0.078,0.0,0.922
nominal,0.4375,0.081,0.0,0.919
nominal,0.44140625,0.08383333333333333,0.0,0.9161666666666667
nominal,0.4453125,0.087,0.00016666666666666666,0.9128333333333334
nominal,0.44921875,0.09016666666666667,0.00016666666666666666,0.9096666666666666
nominal,0.453125,0.096,0.00016666666666666666,0.9038333333333334
nominal,0.45703125,0.09933333333333333,0.00016666666666666666,0.9005000000000001
nominal,0.4609375,0.10333333333333333,0.0003333333333333333,0.8963333333333334
nominal,0.46484375,0.10666666666666667,0.0003333333333333333,0.893
nominal,0.46875,0.11033333333333334,0.0003333333333333333,0.8893333333333333
nominal,0.47265625,0.11466666666666667,0.0003333333333333333,0.885
nominal,0.4765625,0.1185,0.0003333333333333333,0.8811666666666667
nominal,0.48046875,0.123,0.0003333333333333333,0.8766666666666667
nominal,0.484375,0.1265,0.0003333333333333333,0.8731666666666666
nominal,0.48828125,0.1295,0.0003333333333333333,0.8701666666666668
nominal,0.4921875,0.1355,0.0003333333333333333,0.8641666666666667
nominal,0.49609375,0.1375,0.0003333333333333333,0.8621666666666667
nominal,0.5,0.14166666666666666,0.0003333333333333333,0.8580000000000001
nominal,0.50390625,0.14633333333333334,0.0003333333333333333,0.8533333333333334
nominal,0.5078125,0.15,0.0003333333333333333,0.8496666666666667
nominal,0.51171875,0.1545,0.0003333333333333333,0.8451666666666667
nominal,0.515625,0.15866666666666668,0.0003333333333333333,0.841
nominal,0.51953125,0.16383333333333333,0.0003333333333333333,0.8358333333333334
nominal,0.5234375,0.16766666666666666,0.0003333333333333333,0.8320000000000001
nominal,0.52734375,0.17283333333333334,0.0003333333333333333,0.8268333333333333
nominal,0.53125,0.17833333333333334,0.0003333333333333333,0.8213333333333334
nominal,0.53515625,0.18183333333333335,0.0003333333333333333,0.8178333333333334
nominal,0.5390625,0.18733333333333332,0.0003333333333333333,0.8123333333333334
nominal,0.54296875,0.19133333333333333,0.0003333333333333333,0.8083333333333333
nominal,0.546875,0.197,0.0005,0.8025
nominal,0.55078125,0.20166666666666666,0.0005,0.7978333333333334
nominal,0.5546875,0.20733333333333334,0.0005,0.7921666666666667
nominal,0.55859375,0.213,0.0005,0.7865000000000001
nominal,0.5625,0.21783333333333332,0.0005,0.7816666666666667
nominal,0.56640625,0.2235,0.0005,0.776
nominal,0.5703125,0.2285,0.0005,0.771
nominal,0.57421875,0.234,0.0005,0.7655000000000001
nominal,0.578125,0.23783333333333334,0.0005,0.7616666666666667
nominal,0.58203125,0.24316666666666667,0.0005,0.7563333333333334
nominal,0.5859375,0.24783333333333332,0.0005,0.7516666666666667
nominal,0.58984375,0.25166666666666665,0.0005,0.7478333333333333
nominal,0.59375,0.25533333333333336,0.0005,0.7441666666666666
nominal,0.59765625,0.2605,0.0005,0.7390000000000001
nominal,0.6015625,0.2655,0.0005,0.734
nominal,0.60546875,0.2703333333333333,0.0005,0.7291666666666667
nominal,0.609375,0.27566666666666667,0.0005,0.7238333333333333
nominal,0.61328125,0.2806666666666667,0.0005,0.7188333333333334
nominal,0.6171875,0.28683333333333333,0.0005,0.7126666666666668
nominal,0.62109375,0.29233333333333333,0.0005,0.7071666666666667
nominal,0.625,0.297,0.0005,0.7025000000000001
nominal,0.62890625,0.3016666666666667,0.0005,0.6978333333333333
nominal,0.6328125,0.30666666666666664,0.0005,0.6928333333333334
nominal,0.63671875,0.30966666666666665,0.0005,0.6898333333333334
nominal,0.640625,0.31466666666666665,0.0005,0.6848333333333334
nominal,0.64453125,0.3185,0.0005,0.681
nominal,0.6484375,0.323,0.0005,0.6765000000000001
nominal,0.65234375,0.32666666666666666,0.0005,0.6728333333333334
nominal,0.65625,0.3308333333333333,0.0005,0.6686666666666667
nominal,0.66015625,0.33566666666666667,0.0005,0.6638333333333334
nominal,0.6640625,0.3413333333333333,0.0005,0.6581666666666668
nominal,0.66796875,0.3468333333333333,0.0005,0.6526666666666667
nominal,0.671875,0.34983333333333333,0.0005,0.6496666666666667
nominal,0.67578125,0.356,0.0005,0.6435000000000001
nominal,0.6796875,0.36083333333333334,0.0005,0.6386666666666667
nominal,0.68359375,0.36733333333333335,0.0005,0.6321666666666668
nominal,0.6875,0.37283333333333335,0.0005,0.6266666666666667
nominal,0.69140625,0.37716666666666665,0.0005,0.6223333333333334
nominal,0.6953125,0.38183333333333336,0.0006666666666666666,0.6174999999999999
nominal,0.69921875,0.38666666666666666,0.0006666666666666666,0.6126666666666666
nominal,0.703125,0.3923333333333333,0.0006666666666666666,0.607
nominal,0.70703125,0.3978333333333333,0.0006666666666666666,0.6015
nominal,0.7109375,0.40116666666666667,0.0006666666666666666,0.5981666666666666
nominal,0.71484375,0.407,0.0006666666666666666,0.5923333333333333
nominal,0.71875,0.413,0.0006666666666666666,0.5863333333333333
nominal,0.72265625,0.4186666666666667,0.0006666666666666666,0.5806666666666666
nominal,0.7265625,0.42283333333333334,0.0006666666666666666,0.5764999999999999
nominal,0.73046875,0.427,0.0006666666666666666,0.5723333333333332
nominal,0.734375,0.43133333333333335,0.0006666666666666666,0.568
nominal,0.73828125,0.43666666666666665,0.0006666666666666666,0.5626666666666666
nominal,0.7421875,0.44166666666666665,0.0006666666666666666,0.5576666666666666
nominal,0.74609375,0.44666666666666666,0.0006666666666666666,0.5526666666666666
nominal,0.75,0.4505,0.0006666666666666666,0.5488333333333333
nominal,0.75390625,0.45566666666666666,0.0006666666666666666,0.5436666666666666
nominal,0.7578125,0.461,0.0006666666666666666,0.5383333333333332
nominal,0.76171875,0.4668333333333333,0.0006666666666666666,0.5325
nominal,0.765625,0.4718333333333333,0.0006666666666666666,0.5275
nominal,0.76953125,0.4771666666666667,0.0006666666666666666,0.5221666666666666
nominal,0.7734375,0.484,0.0006666666666666666,0.5153333333333333
nominal,0.77734375,0.48833333333333334,0.0006666666666666666,0.511
nominal,0.78125,0.49216666666666664,0.0006666666666666666,0.5071666666666667
nominal,0.78515625,0.497,0.0006666666666666666,0.5023333333333333
nominal,0.7890625,0.501,0.0006666666666666666,0.49833333333333335
nominal,0.79296875,0.5045,0.0006666666666666666,0.4948333333333334
nominal,0.796875,0.5076666666666667,0.0006666666666666666,0.49166666666666664
nominal,0.80078125,0.5133333333333333,0.0006666666666666666,0.48600000000000004
nominal,0.8046875,0.5185,0.0006666666666666666,0.4808333333333334
nominal,0.80859375,0.5241666666666667,0.0006666666666666666,0.4751666666666667
nominal,0.8125,0.5283333333333333,0.0006666666666666666,0.47100000000000003
nominal,0.81640625,0.5331666666666667,0.0006666666666666666,0.4661666666666667
nominal,0.8203125,0.5368333333333334,0.0006666666666666666,0.46249999999999997
nominal,0.82421875,0.5418333333333333,0.0006666666666666666,0.4575000000000001
nominal,0.828125,0.5488333333333333,0.0006666666666666666,0.45050000000000007
nominal,0.83203125,0.5531666666666667,0.0006666666666666666,0.44616666666666666
nominal,0.8359375,0.5568333333333333,0.0006666666666666666,0.44250000000000006
nominal,0.83984375,0.5618333333333333,0.0006666666666666666,0.43750000000000006
nominal,0.84375,0.5648333333333333,0.0006666666666666666,0.43450000000000005
nominal,0.84765625,0.5698333333333333,0.0006666666666666666,0.42950000000000005
nominal,0.8515625,0.5741666666666667,0.0006666666666666666,0.42516666666666664
nominal,0.85546875,0.5788333333333333,0.0008333333333333334,0.42033333333333334
nominal,0.859375,0.584,0.0008333333333333334,0.4151666666666667
nominal,0.86328125,0.5871666666666666,0.0008333333333333334,0.41200000000000003
nominal,0.8671875,0.5926666666666667,0.0008333333333333334,0.4065
nominal,0.87109375,0.597,0.0008333333333333334,0.4021666666666667
nominal,0.875,0.6003333333333334,0.0008333333333333334,0.39883333333333326
nominal,0.87890625,0.6045,0.0008333333333333334,0.3946666666666666
nominal,0.8828125,0.6073333333333333,0.0008333333333333334,0.39183333333333337
nominal,0.88671875,0.6115,0.0008333333333333334,0.3876666666666666
nominal,0.890625,0.6156666666666667,0.0008333333333333334,0.38349999999999995
nominal,0.89453125,0.6208333333333333,0.0008333333333333334,0.3783333333333333
nominal,0.8984375,0.6255,0.0008333333333333334,0.3736666666666667
nominal,0.90234375,0.6281666666666667,0.0008333333333333334,0.371
nominal,0.90625,0.632,0.0008333333333333334,0.36716666666666664
nominal,0.91015625,0.6346666666666667,0.0008333333333333334,0.36449999999999994
nominal,0.9140625,0.6381666666666667,0.0008333333333333334,0.361
nominal,0.91796875,0.6413333333333333,0.0008333333333333334,0.35783333333333334
nominal,0.921875,0.6456666666666667,0.0008333333333333334,0.3534999999999999
nominal,0.92578125,0.6498333333333334,0.0008333333333333334,0.3493333333333333
nominal,0.9296875,0.6543333333333333,0.0008333333333333334,0.3448333333333333
nominal,0.93359375,0.6596666666666666,0.0008333333333333334,0.3395
nominal,0.9375,0.6643333333333333,0.0008333333333333334,0.3348333333333333
nominal,0.94140625,0.6675,0.0008333333333333334,0.33166666666666667
nominal,0.9453125,0.6715,0.0008333333333333334,0.32766666666666666
nominal,0.94921875,0.6756666666666666,0.0008333333333333334,0.3235
nominal,0.953125,0.6803333333333333,0.0008333333333333334,0.3188333333333333
nominal,0.95703125,0.6833333333333333,0.0008333333333333334,0.3158333333333333
nominal,0.9609375,0.6868333333333333,0.0008333333333333334,0.31233333333333335
nominal,0.96484375,0.6901666666666667,0.0008333333333333334,0.30899999999999994
nominal,0.96875,0.693,0.0008333333333333334,0.3061666666666667
nominal,0.97265625,0.6971666666666667,0.0008333333333333334,0.30199999999999994
nominal,0.9765625,0.7003333333333334,0.0008333333333333334,0.2988333333333333
nominal,0.98046875,0.704,0.0008333333333333334,0.2951666666666667
nominal,0.984375,0.7061666666666667,0.0008333333333333334,0.2929999999999999
nominal,0.98828125,0.7093333333333334,0.0008333333333333334,0.2898333333333333
nominal,0.9921875,0.7123333333333334,0.0008333333333333334,0.2868333333333333
nominal,0.99609375,0.7141666666666666,0.0008333333333333334,0.28500000000000003
nominal,1.0,0.7178333333333333,0.0008333333333333334,0.2813333333333333
nominal,1.00390625,0.7215,0.0008333333333333334,0.2776666666666666
nominal,1.0078125,0.7255,0.0008333333333333334,0.2736666666666666
nominal,1.01171875,0.7286666666666667,0.0008333333333333334,0.27049999999999996
nominal,1.015625,0.731,0.0008333333333333334,0.26816666666666666
nominal,1.01953125,0.7336666666666667,0.0008333333333333334,0.26549999999999996
nominal,1.0234375,0.7356666666666667,0.0008333333333333334,0.26349999999999996
nominal,1.02734375,0.74,0.0008333333333333334,0.25916666666666666
nominal,1.03125,0.7436666666666667,0.0008333333333333334,0.25549999999999995
nominal,1.03515625,0.7456666666666667,0.0008333333333333334,0.25349999999999995
nominal,1.0390625,0.7481666666666666,0.0008333333333333334,0.251
nominal,1.04296875,0.7503333333333333,0.0008333333333333334,0.24883333333333338
nominal,1.046875,0.752,0.0008333333333333334,0.24716666666666667
nominal,1.05078125,0.7536666666666667,0.001,0.2453333333333333
nominal,1.0546875,0.756,0.001,0.243
nominal,1.05859375,0.7578333333333334,0.001,0.24116666666666664
nominal,1.0625,0.7596666666666667,0.001,0.2393333333333333
nominal,1.06640625,0.7618333333333334,0.001,0.23716666666666664
nominal,1.0703125,0.764,0.001,0.235
nominal,1.07421875,0.767,0.001,0.23199999999999998
nominal,1.078125,0.7691666666666667,0.001,0.22983333333333333
nominal,1.08203125,0.7708333333333334,0.001,0.22816666666666663
nominal,1.0859375,0.774,0.001,0.22499999999999998
nominal,1.08984375,0.7758333333333334,0.001,0.22316666666666662
nominal,1.09375,0.7775,0.001,0.22150000000000003
nominal,1.09765625,0.7798333333333334,0.001,0.21916666666666662
nominal,1.1015625,0.7816666666666666,0.001,0.21733333333333338
