cue,channel,metric,stage,point,low,high,n_trials,n_boot
-1,Fz,proxy_MAE,预处理,9.676717541715277,1.9947105560493112,50.55245747066643,46,400
-1,Fz,proxy_MAE,V3,8.534642649130697,2.3929130052608123,43.71599225562918,46,400
-1,Fz,proxy_MAE,V4,7.574325626409031,1.985143360977903,44.75209459125269,46,400
-1,Fz,proxy_MAE,V6,9.36135875441934,2.0079053486261818,49.84185343303219,46,400
-1,Fz,proxy_MAE,V7,9.174850238808663,2.008876473737558,49.10198990265575,46,400
-1,Fz,proxy_MAE,V7减预处理,-0.5018673029066143,-2.770690642278555,1.1524771533615132,46,400
-1,Fz,proxy_MAE,V7减V3,0.6402075896779653,-8.172236710722343,17.16675193861706,46,400
-1,Fz,proxy_MAE,V7减V4,1.6005246123996315,-3.8024300306837713,8.760183125108146,46,400
-1,Fz,proxy_MAE,V7减V6,-0.1865085156106776,-1.1136637365712438,0.47632761949458435,46,400
-1,Fz,positive_mean,预处理,1.003573738157463,0.0,39.96877735305753,46,400
-1,Fz,positive_mean,V3,1.513883206989298,0.0,33.73516473086744,46,400
-1,Fz,positive_mean,V4,1.9381558645871195,0.0,36.75250592399752,46,400
-1,Fz,positive_mean,V6,1.135608483687137,0.0,39.281737748017235,46,400
-1,Fz,positive_mean,V7,1.2082217719310524,0.0,39.028738033479556,46,400
-1,Fz,positive_mean,V7减预处理,0.20464803377358942,-1.2289965475995979,1.3055947113017785,46,400
-1,Fz,positive_mean,V7减V3,-0.3056614350582456,-10.00312950079574,11.129394796391049,46,400
-1,Fz,positive_mean,V7减V4,-0.7299340926560671,-4.870031115266466,3.6378953352708576,46,400
-1,Fz,positive_mean,V7减V6,0.07261328824391544,-0.4988849281646785,0.5662335940057058,46,400
-1,F3,proxy_MAE,预处理,6.156330785269456,2.9403787336935143,56.034061967736726,46,400
-1,F3,proxy_MAE,V3,4.456847109318396,3.1715935664567434,17.384566738477183,46,400
-1,F3,proxy_MAE,V4,3.1614183071880215,2.882473089148032,39.48104923101745,46,400
-1,F3,proxy_MAE,V6,5.616620946956357,2.989117925916389,53.80766877757447,46,400
-1,F3,proxy_MAE,V7,5.7594378664261185,3.0361195255008018,53.447400142297596,46,400
-1,F3,proxy_MAE,V7减预处理,-0.39689291884333766,-4.497063658063586,1.1765690386802743,46,400
-1,F3,proxy_MAE,V7减V3,1.3025907571077227,-5.616191516188993,42.56048337166153,46,400
-1,F3,proxy_MAE,V7减V4,2.598019559238097,-10.485983936973607,20.989962734938445,46,400
-1,F3,proxy_MAE,V7减V6,0.1428169194697615,-1.0968612107606273,0.4715211432792827,46,400
-1,F3,positive_mean,预处理,9.173229718362187,0.0,59.05081183580317,46,400
-1,F3,positive_mean,V3,3.0544771673640696,0.0,17.20927151998483,46,400
-1,F3,positive_mean,V4,5.611611473271364,0.0,42.141497421119794,46,400
-1,F3,positive_mean,V6,8.635167327698024,0.0,56.82441864564089,46,400
-1,F3,positive_mean,V7,8.7771785759971,0.0,56.46415001036403,46,400
-1,F3,positive_mean,V7减预处理,-0.39605114236508676,-4.362735523378302,1.3627926470590186,46,400
-1,F3,positive_mean,V7减V3,5.72270140863303,-6.168804179408327,42.625502458910425,46,400
-1,F3,positive_mean,V7减V4,3.1655671027257357,-7.747715783867624,20.98996273493846,46,400
-1,F3,positive_mean,V7减V6,0.14201124829907563,-0.8682401830983252,0.6143075245575969,46,400
-1,F4,proxy_MAE,预处理,33.53543782924629,2.819128141510382,74.62641324921972,46,400
-1,F4,proxy_MAE,V3,2.6259001552328187,2.1204663279626015,12.5907142102987,46,400
-1,F4,proxy_MAE,V4,25.65467925384876,3.737554840028562,56.570237512219556,46,400
-1,F4,proxy_MAE,V6,32.35332404293667,2.774833540665192,70.38026982797699,46,400
-1,F4,proxy_MAE,V7,31.98501305240775,2.861197032742185,69.68206093467113,46,400
-1,F4,proxy_MAE,V7减预处理,-1.5504247768385397,-6.002237219697432,1.1832644215705537,46,400
-1,F4,proxy_MAE,V7减V3,29.35911289717493,-2.1538234670877556,62.987174058049455,46,400
-1,F4,proxy_MAE,V7减V4,6.330333798558993,-12.418250192694389,31.905172167132985,46,400
-1,F4,proxy_MAE,V7减V6,-0.3683109905289186,-1.2080322596027333,0.14560774260317164,46,400
-1,F4,positive_mean,预处理,41.88392537395796,0.21393976037325213,82.97490079393137,46,400
-1,F4,positive_mean,V3,8.926025136975369,1.171872649533377,20.939201755010366,46,400
-1,F4,positive_mean,V4,34.00316679856042,10.718855078932664,64.91872505693124,46,400
-1,F4,positive_mean,V6,40.70181158764833,0.7736575579517788,78.72875737268865,46,400
-1,F4,positive_mean,V7,40.33350059711942,0.7871285913099363,78.0305484793828,46,400
-1,F4,positive_mean,V7减预处理,-1.5504247768385397,-6.002237219697432,2.1238570673517625,46,400
-1,F4,positive_mean,V7减V3,31.40747546014405,-2.0349009106749176,65.89634521232291,46,400
