dataset,fold,seed,level,stage,n_trials,V5_base,trend_strength,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms,latency_pairs,objective
VisualCogA_Task-1,1,2027,0.0,预处理,18,V3,0.0,3.969701898539267e-15,4.125932215913902e-17,4.861088017293574e-15,3.700743415417188e-17,0.0,4,6.690595823532296e-17
VisualCogA_Task-1,1,2027,0.0,V3,18,V3,0.0,86.2197017069687,0.8961293669183813,41.3246980517543,3.852776924701074,34.1796875,4,1.1509287209300691
VisualCogA_Task-1,1,2027,0.0,V4,18,V3,0.0,86.42469790660657,0.8982600065629778,41.32397828446367,3.7964516516174096,34.1796875,4,1.1524702001785203
VisualCogA_Task-1,1,2027,0.0,V5,18,V3,0.0,86.2197017069687,0.8961293669183813,41.3246980517543,3.852776924701074,34.1796875,4,1.1509287209300691
VisualCogA_Task-1,1,2027,0.5,预处理,18,V3,0.0,18.824001025846247,0.1956483238540263,11.555843571213119,2.7173095343725593,78.125,4,0.2839439931022393
VisualCogA_Task-1,1,2027,0.5,V3,18,V3,0.0,88.12914536189845,0.9159752780011404,50.31200173707595,5.216365395554425,63.4765625,4,1.2316521918990513
VisualCogA_Task-1,1,2027,0.5,V4,18,V3,0.0,88.33231598404672,0.918086943402407,50.12160460932298,5.111224749693574,63.4765625,4,1.231681620344767
VisualCogA_Task-1,1,2027,0.5,V5,18,V3,0.0,88.12914536189845,0.9159752780011404,50.31200173707595,5.216365395554425,63.4765625,4,1.2316521918990513
VisualCogA_Task-1,1,2027,1.0,预处理,18,V3,0.0,37.62195452784108,0.3910259212894193,22.917830305011513,5.561688322329313,76.171875,4,0.5679305302651189
VisualCogA_Task-1,1,2027,1.0,V3,18,V3,0.0,89.63540999414077,0.9316307250112726,50.951520138642294,6.120657782324979,90.8203125,4,1.2600298886098145
VisualCogA_Task-1,1,2027,1.0,V4,18,V3,0.0,89.76544814225475,0.9329822838897837,50.61425001622554,5.979162060810509,90.8203125,4,1.2581580855828542
VisualCogA_Task-1,1,2027,1.0,V5,18,V3,0.0,89.63540999414077,0.9316307250112726,50.951520138642294,6.120657782324979,90.8203125,4,1.2600298886098145
VisualCogA_Task-1,1,2027,2.0,预处理,18,V3,0.0,75.36692789281875,0.7833304458500134,46.47064340796603,12.533477982111188,77.1484375,4,1.1550954970336604
VisualCogA_Task-1,1,2027,2.0,V3,18,V3,0.0,90.22263139918041,0.9377340440383735,54.06345673851368,6.9115587575746025,84.63541666666667,3,1.2905255267493116
VisualCogA_Task-1,1,2027,2.0,V4,18,V3,0.0,90.27002113440274,0.9382265919431151,54.15330643600587,6.729849932251352,84.63541666666667,3,1.2895964026242515
VisualCogA_Task-1,1,2027,2.0,V5,18,V3,0.0,90.22263139918041,0.9377340440383735,54.06345673851368,6.9115587575746025,84.63541666666667,3,1.2905255267493116
VisualCogA_Task-1,1,2039,0.0,预处理,18,V3,0.0,3.969701898539267e-15,4.125932215913902e-17,4.861088017293574e-15,3.700743415417188e-17,0.0,4,6.690595823532296e-17
VisualCogA_Task-1,1,2039,0.0,V3,18,V3,0.0,86.2197017069687,0.8961293669183813,41.3246980517543,3.852776924701074,34.1796875,4,1.1509287209300691
VisualCogA_Task-1,1,2039,0.0,V4,18,V3,0.0,86.42469790660657,0.8982600065629778,41.32397828446367,3.7964516516174096,34.1796875,4,1.1524702001785203
VisualCogA_Task-1,1,2039,0.0,V5,18,V3,0.0,86.2197017069687,0.8961293669183813,41.3246980517543,3.852776924701074,34.1796875,4,1.1509287209300691
VisualCogA_Task-1,1,2039,0.5,预处理,18,V3,0.0,19.86451699319422,0.2064629856613362,14.659887679270607,3.463666848775643,82.03125,3,0.31864699142190583
VisualCogA_Task-1,1,2039,0.5,V3,18,V3,0.0,86.73139634289228,0.9014476941807994,43.64314396702541,3.754895287562713,80.078125,4,1.1672781594906212
VisualCogA_Task-1,1,2039,0.5,V4,18,V3,0.0,86.78102894922081,0.901963553493777,43.58111239505829,3.8845359304678566,80.078125,4,1.1688190818558455
