cue,channel,MAE_before,MAE_after,RMSE_before,RMSE_after,corr_before,corr_after,shape_distance_before,shape_distance_after,baseline_RMS_before,baseline_RMS_after,trial_PTP_median_before,trial_PTP_median_after,SNR_proxy_dB_before,SNR_proxy_dB_after,edge_band_ratio_before,edge_band_ratio_after,amp_error_before,amp_error_after,latency_error_before_ms,latency_error_after_ms,P300_positive_mean_before,P300_positive_mean_after,P300_positive_mean_ref,P300_positive_mean_error_before,P300_positive_mean_error_after,P300_AUC_before_unit_ms,P300_AUC_after_unit_ms,P300_AUC_ref_unit_ms,P300_AUC_error_before_unit_ms,P300_AUC_error_after_unit_ms,P300_amp_before,P300_amp_after,P300_lat_before_ms,P300_lat_after_ms
-1,Fz,2.0362238709012512,2.4952013402635327,2.417861369181561,3.056855152494247,0.7938097861341278,0.683277755226007,0.5298606016222754,0.6293287791230749,9.200426449663238,7.812972066713646,109.06865800059306,80.59488636860667,-14.343115575830982,-10.575534014670321,0.38755118436088937,0.22994090961318367,3.6306151194294713,1.4378478772659697,0.0,0.0,5.437445540902244,7.7716825716691895,6.442878727223672,1.0054331863214276,1.3288038444455177,1367.0415471451365,1951.2419815037456,1614.1430258130813,247.10147866794478,337.0989556906643,10.187930808761898,12.3806980509254,335.9375,335.9375
-1,F3,77.0726172975966,4.593274110062538,78.1935812595252,5.12010799449395,0.23711461748810092,0.4004511427507144,0.9331145362922917,0.8168276816017566,23.09829596789417,11.541516420706209,236.48208079451666,105.25840635423594,-4.983239542204947,-6.095317760135933,0.5599141650989266,0.27783464183043244,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
-1,F4,54.51152228408182,2.509545894036117,55.376606553594236,3.086139539147959,0.37867674367701437,0.6518877206591112,0.7999120850465,0.6710526216958749,25.53056088927965,11.406488211574281,179.54766848730057,88.64565183281258,-11.908524591610227,-16.72555427973272,0.5844413496751351,0.28077275314082656,,1.4713721474195123,,0.0,0.0,0.6725073924364483,1.4260137671668154,1.4260137671668154,0.7535063747303671,0.0,170.75383011081698,361.0998131442914,361.0998131442914,190.3459830334744,,3.1277238145316093,,335.9375
1,Fz,13.55437065522954,12.176929724507412,13.864072736475283,12.504969485767091,0.789445972028419,0.8063501036665233,0.5460925248856261,0.5183152503148262,7.9949565474189095,8.039497278078825,111.63291203483912,92.0234515271525,-11.885464895594202,-12.150040119642359,0.2647796500057273,0.219872038411897,,15.542253349535214,,31.25,0.0,0.0017276601398148656,6.136678979004757,6.136678979004757,6.1349513188649425,0.0,0.4386637073748682,1549.1037440079608,1549.1037440079608,1548.665080300586,,0.11229790908796626,,320.3125
1,F3,54.338922108766404,4.51874226303737,54.52869164399872,5.474246007066825,0.3274558063587178,0.42317966450929007,0.9632034797131912,0.9000849217104422,24.628590880850933,12.20858826306135,247.60156145403488,88.00961227333732,-13.169246715817529,-14.02791348961527,0.614264635380155,0.22383808481727022,51.10010202578129,1.5119894923737611,50.78125,15.625,53.43815656471366,3.1480881643249092,1.3626254665568855,52.07553109815677,1.7854626977680237,13374.303636278753,794.0469177465368,345.9791223679593,13028.324513910795,448.0677953785775,57.14130016508822,7.553187631680691,414.0625,378.90625
1,F4,28.737234383187413,4.738992090620651,29.13712517274193,5.7601866237977175,0.39381237008208714,0.18145601834635233,0.9520449610295688,1.0516131938782327,22.908284392495727,11.854301146490494,253.27703977010157,97.72238193002329,-15.944489020575457,-11.92039026239603,0.5661523948024112,0.19461657957163842,24.89035296018605,3.2976444857649128,3.90625,144.53125,33.148727140375605,6.1255517527746175,4.789210624742282,28.359516515633324,1.3363411280323358,8315.636380552176,1555.3158747279303,1199.8700085262785,7115.766372025897,355.4458662016518,39.12890586034407,10.940908414393109,324.21875,472.65625
