dataset,model,MSE,zero_MSE,S_delta,RMSE
A1,ocular_plus_neural,10251.050728180591,8814.403807273238,-0.1629885528641084,101.24747270021406
A1,ramp_plus_neural,10380.852924737386,8814.403807273238,-0.17771469877197887,101.88647076397035
A2,ocular_plus_neural,9061.266662886304,7080.442242695883,-0.2797599856469166,95.19068579901241
A2,ramp_plus_neural,9101.500247911277,7080.442242695883,-0.2854423404555413,95.40178325330862
B1,ocular_plus_neural,9804.078841452556,9513.72902887072,-0.030519033251917183,99.01554848331931
B1,ramp_plus_neural,9714.808579362552,9513.72902887072,-0.02113572395026475,98.56372851796219
B2,ocular_plus_neural,9224.416750106335,11037.527464542289,0.16426783265187928,96.04382723583196
B2,ramp_plus_neural,9045.092415900508,11037.527464542289,0.1805146175212171,95.10569076506678
