dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,target_sample,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_status,target_s,response_s,rt_s,correctness,correctness_reason,timeout,timeout_reason,cue_platform_disagree,valid_events,n_platforms,n_clicks,end_s,gap_s,filter_mode,pretarget_only,filter_start_sample,filter_stop_sample,retained,reason,epoch_start_sample,epoch_end_exclusive,saturation_fraction,PTP,max_jump
B1,18,0,-1,41899,41951,0.203125,42466,platform_onset_hypothesis,42769,-1.0,,,42769,platform_end_proxy,2.21484375,3.3984375,1.18359375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,0,47236,False,block_boundary_24s_buffer,41835,42466,,,
B1,19,0,1,44055,44107,0.203125,44623,platform_onset_hypothesis,44883,1.0,,,44883,platform_end_proxy,2.21875,3.234375,1.015625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21875,0.1,causal,True,0,47236,False,block_boundary_24s_buffer,43991,44623,,,
B1,20,0,-1,46168,46220,0.203125,46735,platform_onset_hypothesis,47021,-1.0,,,47021,platform_end_proxy,2.21484375,3.33203125,1.1171875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,0,47236,False,block_boundary_24s_buffer,46104,46735,,,
B1,21,1,1,48304,48356,0.203125,48872,platform_onset_hypothesis,49176,1.0,,,49176,platform_end_proxy,2.21875,3.40625,1.1875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21875,0.1,causal,True,47236,90008,False,block_boundary_24s_buffer,48240,48872,,,
B1,22,1,1,50461,50513,0.203125,51028,platform_onset_hypothesis,51335,1.0,,,51335,platform_end_proxy,2.21484375,3.4140625,1.19921875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,47236,90008,False,block_boundary_24s_buffer,50397,51028,,,
B1,23,1,1,52617,52669,0.203125,53185,platform_onset_hypothesis,53477,1.0,,,53477,platform_end_proxy,2.21875,3.359375,1.140625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21875,0.1,causal,True,47236,90008,False,block_boundary_24s_buffer,52553,53185,,,
B1,24,1,1,54762,54814,0.203125,55329,platform_onset_hypothesis,55597,1.0,,,55597,platform_end_proxy,2.21484375,3.26171875,1.046875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,47236,90008,True,retained,54698,55329,0.0,749.5792605479511,11.736262779078515
B1,25,1,1,56882,56935,0.20703125,57450,platform_onset_hypothesis,57691,1.0,,,57691,platform_end_proxy,2.21875,3.16015625,0.94140625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21875,0.1,causal,True,47236,90008,False,quality,56818,57450,0.07042253521126761,2558.726662111525,545.7258101919579
B1,26,1,1,58975,59027,0.203125,59543,platform_onset_hypothesis,59788,1.0,,,59788,platform_end_proxy,2.21875,3.17578125,0.95703125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21875,0.1,causal,True,47236,90008,True,retained,58911,59543,0.0,481.36049021567703,16.11931406969859
B1,27,1,1,61072,61124,0.203125,61639,platform_onset_hypothesis,61892,1.0,,,61892,platform_end_proxy,2.21484375,3.203125,0.98828125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,47236,90008,True,retained,61008,61639,0.0,177.60562667261917,9.419635095420595
B1,28,1,1,63176,63228,0.203125,63744,platform_onset_hypothesis,64081,1.0,,,64081,platform_end_proxy,2.21875,3.53515625,1.31640625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21875,0.1,causal,True,47236,90008,True,retained,63112,63744,0.0,1176.1967488574962,12.020181704614401
B1,29,1,1,65365,65417,0.203125,65932,platform_onset_hypothesis,66207,1.0,,,66207,platform_end_proxy,2.21484375,3.2890625,1.07421875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,47236,90008,True,retained,65301,65932,0.0,163.47655696055946,10.205398691076923
B1,30,1,-1,67489,67541,0.203125,68057,platform_onset_hypothesis,68411,-1.0,,,68411,platform_end_proxy,2.21875,3.6015625,1.3828125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21875,0.1,causal,True,47236,90008,True,retained,67425,68057,0.0,736.3234006416114,11.006572599312506
B1,31,1,1,69694,69746,0.203125,70261,platform_onset_hypothesis,70537,1.0,,,70537,platform_end_proxy,2.21484375,3.29296875,1.078125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,47236,90008,True,retained,69630,70261,0.0,216.79137494702516,9.66764870024997
B1,32,1,-1,71822,71874,0.203125,72389,platform_onset_hypothesis,72609,-1.0,,,72609,platform_end_proxy,2.21484375,3.07421875,0.859375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,47236,90008,True,retained,71758,72389,0.0,667.323641082862,12.240304173820789
B1,33,1,-1,73895,73947,0.203125,74462,platform_onset_hypothesis,74750,-1.0,,,74750,platform_end_proxy,2.21484375,3.33984375,1.125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,47236,90008,True,retained,73831,74462,0.0,427.3965992311377,9.720610874371289
B1,34,1,1,76035,76087,0.203125,76603,platform_onset_hypothesis,76904,1.0,,,76904,platform_end_proxy,2.21875,3.39453125,1.17578125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21875,0.1,causal,True,47236,90008,True,retained,75971,76603,0.0,763.239514343413,13.345305270297786
B1,35,1,-1,78188,78240,0.203125,78755,platform_onset_hypothesis,79057,-1.0,,,79057,platform_end_proxy,2.21484375,3.39453125,1.1796875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,47236,90008,True,retained,78124,78755,0.0,966.5041324315355,9.786513152090151
B1,36,1,-1,80340,80392,0.203125,80908,platform_onset_hypothesis,81147,-1.0,,,81147,platform_end_proxy,2.21875,3.15234375,0.93359375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21875,0.1,causal,True,47236,90008,False,quality,80276,80908,0.052230046948356805,2536.8149887182617,303.59952866926324
B1,37,1,-1,82429,82481,0.203125,82996,platform_onset_hypothesis,83365,-1.0,,,83365,platform_end_proxy,2.21484375,3.65625,1.44140625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,47236,90008,True,retained,82365,82996,0.0,575.0169413684044,14.94423508625377
B1,38,1,-1,84649,84702,0.20703125,85217,platform_onset_hypothesis,85508,-1.0,,,85508,platform_end_proxy,2.21875,3.35546875,1.13671875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21875,0.1,causal,True,47236,90008,False,block_boundary_24s_buffer,84585,85217,,,
B1,39,1,1,86790,86842,0.203125,87357,platform_onset_hypothesis,87644,1.0,,,87644,platform_end_proxy,2.21484375,3.3359375,1.12109375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,2.21484375,0.1,causal,True,47236,90008,False,block_boundary_24s_buffer,86726,87357,,,
