dataset,model,stage,MSE,zero_MSE,baseline_MSE,normalized_MSE,RMSE,NRMSE,S_zero,S_train_baseline,n_trials
A2,M0,encoding,43566.56845021718,45175.5193720496,42665.56863372988,0.609674868534047,208.72606078354752,0.7808167957556029,0.03561554895654151,-0.021117726666720182,68
A2,M0,maintenance,96153.0105203517,95965.2910289843,91638.26129084316,1.367593348619066,310.08548905157056,1.1694414686588919,-0.001956118606577295,-0.04926707650180684,68
A2,M0,retrieval,88520.40368399481,92033.97626432648,82622.26266801004,1.294750788722921,297.5237867532524,1.1378711652568234,0.03817690730041379,-0.07138682511860606,68
A2,M1,encoding,40964.53955573496,45175.5193720496,42665.56863372988,0.5687000631386014,202.39698504605983,0.754122047906439,0.09321375547748545,0.039868895047379005,68
A2,M1,maintenance,91595.93127630852,95965.2910289843,91638.26129084316,1.2970376509832464,302.6481972130489,1.1388756082133142,0.045530625769228505,0.00046192511663112334,68
A2,M1,retrieval,84762.612373138,92033.97626432648,82622.26266801004,1.2351174624267438,291.1401936750369,1.111358386132369,0.0790073860364865,-0.025905241953107172,68
A2,M2,encoding,40439.80644288309,45175.5193720496,42665.56863372988,0.5621718546154758,201.09651027027567,0.7497812044960022,0.10482918613873271,0.05216764388995354,68
A2,M2,maintenance,92832.73657926156,95965.2910289843,91638.26129084316,1.3190544700287523,304.68465103982766,1.1485009664901256,0.03264257749999022,-0.013034678654883614,68
A2,M2,retrieval,82674.22850874683,92033.97626432648,82622.26266801004,1.206106225755911,287.53126527170366,1.0982286764403446,0.10169883053512707,-0.000628956882306797,68
A2,M3,encoding,41405.19971817704,45175.5193720496,42665.56863372988,0.5775703673236435,203.4826767029003,0.7599805045681393,0.08345935378897451,0.029540656691410816,68
A2,M3,maintenance,92234.4259651972,95965.2910289843,91638.26129084316,1.3089669054674444,303.7012116623791,1.1441009157707394,0.038877233880948436,-0.006505630573477639,68
A2,M3,retrieval,83752.60942731427,92033.97626432648,82622.26266801004,1.2195808523051697,289.40043093837,1.10434634617278,0.08998162605978999,-0.013680898135725927,68
