dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,target_sample,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_status,target_s,response_s,rt_s,correctness,correctness_reason,timeout,timeout_reason,cue_platform_disagree,valid_events,n_platforms,n_clicks,end_s,gap_s,filter_mode,pretarget_only,filter_start_sample,filter_stop_sample,retained,reason,epoch_start_sample,epoch_end_exclusive,saturation_fraction,PTP,max_jump
B2,18,0,1,42378,42430,0.203125,42946,platform_onset_hypothesis,43318,-1.0,43318,-1,43318,explicit_click,2.21875,3.671875,1.453125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.571875,0.1,zero_phase,False,0,47907,False,block_boundary_24s_buffer,42314,43293,,,
B2,19,0,1,44603,44655,0.203125,45170,platform_onset_hypothesis,45526,1.0,45526,1,45526,explicit_click,2.21484375,3.60546875,1.390625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.50546875,0.1,zero_phase,False,0,47907,False,block_boundary_24s_buffer,44539,45501,,,
B2,20,0,-1,46811,46863,0.203125,47378,platform_onset_hypothesis,47716,1.0,47716,1,47716,explicit_click,2.21484375,3.53515625,1.3203125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.43515625,0.1,zero_phase,False,0,47907,False,block_boundary_24s_buffer,46747,47691,,,
B2,21,1,1,49003,49056,0.20703125,49571,platform_onset_hypothesis,49854,1.0,49854,1,49854,explicit_click,2.21875,3.32421875,1.10546875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.22421875,0.1,zero_phase,False,47907,91728,False,block_boundary_24s_buffer,48939,49829,,,
B2,22,1,1,51140,51192,0.203125,51707,platform_onset_hypothesis,52054,-1.0,52054,-1,52054,explicit_click,2.21484375,3.5703125,1.35546875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.4703125,0.1,zero_phase,False,47907,91728,False,block_boundary_24s_buffer,51076,52029,,,
B2,23,1,-1,53340,53393,0.20703125,53908,platform_onset_hypothesis,54210,-1.0,54210,-1,54210,explicit_click,2.21875,3.3984375,1.1796875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.2984375,0.1,zero_phase,False,47907,91728,False,block_boundary_24s_buffer,53276,54185,,,
B2,24,1,-1,55493,55545,0.203125,56060,platform_onset_hypothesis,56409,1.0,56409,1,56409,explicit_click,2.21484375,3.578125,1.36328125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.478125,0.1,zero_phase,False,47907,91728,True,retained,55429,56384,0.0,286.55766696286054,10.508366722030672
B2,25,1,-1,57693,57745,0.203125,58261,platform_onset_hypothesis,58595,-1.0,58595,-1,58595,explicit_click,2.21875,3.5234375,1.3046875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.4234375,0.1,zero_phase,False,47907,91728,True,retained,57629,58570,0.0,906.6873186779011,12.518943693233496
B2,26,1,1,59878,59930,0.203125,60445,platform_onset_hypothesis,60785,1.0,60785,1,60785,explicit_click,2.21484375,3.54296875,1.328125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.44296875,0.1,zero_phase,False,47907,91728,True,retained,59814,60760,0.0,1133.5195533464237,12.843072566398945
B2,27,1,-1,62070,62122,0.203125,62638,platform_onset_hypothesis,63010,1.0,63010,1,63010,explicit_click,2.21875,3.671875,1.453125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.571875,0.1,zero_phase,False,47907,91728,True,retained,62006,62985,0.0,785.6192915139409,10.037950655898271
