dataset,stage,control,S_cog,ci_low,ci_high,n_blocks,n_bootstraps
B1,encoding,M0,0.005894888909731666,-0.0029419264074750373,0.010380116542470397,5,2000
B1,encoding,M1,0.000910653799411909,-0.0033467374339148925,0.0027325793100737147,5,2000
B1,encoding,M3,0.003181399312594091,-0.004448492131243096,0.007371581709798569,5,2000
B1,maintenance,M0,-0.004444587566564184,-0.01260028466092944,0.0015466780553141657,5,2000
B1,maintenance,M1,-0.002012569765253769,-0.005653139413959618,0.0006502933218961449,5,2000
B1,maintenance,M3,-0.001658456797448915,-0.007400553730356085,0.004994805156776527,5,2000
B1,retrieval,M0,-0.003423441665995064,-0.008288572851973042,0.0022906752920843765,5,2000
B1,retrieval,M1,-0.001613272303792046,-0.00383849593977148,0.0009219372285041993,5,2000
B1,retrieval,M3,-0.0001222788783026285,-0.005311375445120614,0.008349327033971843,5,2000
