dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,target_sample,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_status,target_s,response_s,rt_s,correctness,correctness_reason,timeout,timeout_reason,cue_platform_disagree,valid_events,n_platforms,n_clicks,end_s,gap_s,filter_mode,pretarget_only,filter_start_sample,filter_stop_sample,retained,reason,epoch_start_sample,epoch_end_exclusive,saturation_fraction,PTP,max_jump
A1,18,0,-1,42110,42162,0.203125,42677,platform_onset_hypothesis,42997,-1.0,,,42997,platform_end_proxy,2.21484375,3.46484375,1.25,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.36484375,0.1,zero_phase,False,0,47511,False,block_boundary_24s_buffer,42046,42972,,,
A1,19,0,-1,44282,44334,0.203125,44849,platform_onset_hypothesis,45160,-1.0,,,45160,platform_end_proxy,2.21484375,3.4296875,1.21484375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.3296875,0.1,zero_phase,False,0,47511,False,block_boundary_24s_buffer,44218,45135,,,
A1,20,0,1,46443,46495,0.203125,47010,platform_onset_hypothesis,47295,1.0,,,47295,platform_end_proxy,2.21484375,3.328125,1.11328125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.228125,0.1,zero_phase,False,0,47511,False,block_boundary_24s_buffer,46379,47270,,,
A1,21,1,-1,48579,48631,0.203125,49147,platform_onset_hypothesis,49392,-1.0,,,49392,platform_end_proxy,2.21875,3.17578125,0.95703125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.07578125,0.1,zero_phase,False,47511,90403,False,block_boundary_24s_buffer,48515,49367,,,
A1,22,1,-1,50676,50728,0.203125,51243,platform_onset_hypothesis,51571,-1.0,,,51571,platform_end_proxy,2.21484375,3.49609375,1.28125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.39609375,0.1,zero_phase,False,47511,90403,False,block_boundary_24s_buffer,50612,51546,,,
A1,23,1,1,52856,52908,0.203125,53423,platform_onset_hypothesis,53716,1.0,,,53716,platform_end_proxy,2.21484375,3.359375,1.14453125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.259375,0.1,zero_phase,False,47511,90403,False,block_boundary_24s_buffer,52792,53691,,,
A1,24,1,-1,55001,55053,0.203125,55568,platform_onset_hypothesis,55850,-1.0,,,55850,platform_end_proxy,2.21484375,3.31640625,1.1015625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.21640625,0.1,zero_phase,False,47511,90403,True,retained,54937,55825,0.0,177.18236687387156,6.749152353985963
A1,25,1,-1,57133,57185,0.203125,57700,platform_onset_hypothesis,58029,-1.0,,,58029,platform_end_proxy,2.21484375,3.5,1.28515625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.4,0.1,zero_phase,False,47511,90403,True,retained,57069,58004,0.0,362.6761594260367,10.134883027393016
A1,26,1,1,59314,59366,0.203125,59881,platform_onset_hypothesis,60125,1.0,,,60125,platform_end_proxy,2.21484375,3.16796875,0.953125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.06796875,0.1,zero_phase,False,47511,90403,True,retained,59250,60100,0.0,458.7409006461581,10.142760114343716
A1,27,1,1,61410,61462,0.203125,61978,platform_onset_hypothesis,62292,1.0,,,62292,platform_end_proxy,2.21875,3.4453125,1.2265625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.3453125,0.1,zero_phase,False,47511,90403,False,quality,61346,62267,0.2854920264488526,1156.922188037705,16.235195512228984
A1,28,1,-1,63575,63627,0.203125,64142,platform_onset_hypothesis,64381,-1.0,,,64381,platform_end_proxy,2.21484375,3.1484375,0.93359375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.0484375,0.1,zero_phase,False,47511,90403,True,retained,63511,64356,0.0,483.3454772180186,16.690347016410783
A1,29,1,-1,65663,65715,0.203125,66231,platform_onset_hypothesis,66575,-1.0,,,66575,platform_end_proxy,2.21875,3.5625,1.34375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.4625,0.1,zero_phase,False,47511,90403,True,retained,65599,66550,0.0,797.6089072282093,9.612085117654601
A1,30,1,-1,67860,67912,0.203125,68427,platform_onset_hypothesis,68692,-1.0,,,68692,platform_end_proxy,2.21484375,3.25,1.03515625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.15,0.1,zero_phase,False,47511,90403,True,retained,67796,68667,0.0,158.93651266149362,6.005764049145489
A1,31,1,-1,69976,70028,0.203125,70544,platform_onset_hypothesis,70795,-1.0,,,70795,platform_end_proxy,2.21875,3.19921875,0.98046875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.09921875,0.1,zero_phase,False,47511,90403,True,retained,69912,70770,0.0,247.7494490124385,10.683691018001028
A1,32,1,1,72081,72133,0.203125,72648,platform_onset_hypothesis,72986,1.0,,,72986,platform_end_proxy,2.21484375,3.53515625,1.3203125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.43515625,0.1,zero_phase,False,47511,90403,True,retained,72017,72961,0.0,260.1386987040561,9.151961487313272
A1,33,1,1,74269,74321,0.203125,74837,platform_onset_hypothesis,75138,1.0,,,75138,platform_end_proxy,2.21875,3.39453125,1.17578125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.29453125,0.1,zero_phase,False,47511,90403,True,retained,74205,75113,0.0,71.32916540426226,12.621384367727812
A1,34,1,-1,76422,76474,0.203125,76989,platform_onset_hypothesis,77391,-1.0,,,77391,platform_end_proxy,2.21484375,3.78515625,1.5703125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.68515625,0.1,zero_phase,False,47511,90403,True,retained,76358,77366,0.0,100.54258509824115,8.811000030077395
A1,35,1,1,78674,78726,0.203125,79241,platform_onset_hypothesis,79509,1.0,,,79509,platform_end_proxy,2.21484375,3.26171875,1.046875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.16171875,0.1,zero_phase,False,47511,90403,True,retained,78610,79484,0.0,178.1782176214855,7.086944129294196
A1,36,1,-1,80791,80843,0.203125,81358,platform_onset_hypothesis,81646,-1.0,,,81646,platform_end_proxy,2.21484375,3.33984375,1.125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.23984375,0.1,zero_phase,False,47511,90403,False,quality,80727,81621,0.24417670682730924,951.8185717294123,12.80239502714494
A1,37,1,-1,82931,82983,0.203125,83499,platform_onset_hypothesis,83790,-1.0,,,83790,platform_end_proxy,2.21875,3.35546875,1.13671875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.25546875,0.1,zero_phase,False,47511,90403,True,retained,82867,83765,0.0,256.7962553891191,21.636602905833925
A1,38,1,-1,85076,85128,0.203125,85643,platform_onset_hypothesis,85922,-1.0,,,85922,platform_end_proxy,2.21484375,3.3046875,1.08984375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.2046875,0.1,zero_phase,False,47511,90403,False,block_boundary_24s_buffer,85012,85897,,,
A1,39,1,-1,87204,87256,0.203125,87772,platform_onset_hypothesis,88067,-1.0,,,88067,platform_end_proxy,2.21875,3.37109375,1.15234375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.27109375,0.1,zero_phase,False,47511,90403,False,block_boundary_24s_buffer,87140,88042,,,
A1,40,1,-1,89353,89405,0.203125,89920,platform_onset_hypothesis,90170,-1.0,,,90170,platform_end_proxy,2.21484375,3.19140625,0.9765625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.09140625,0.1,zero_phase,False,47511,90403,False,block_boundary_24s_buffer,89289,90145,,,
A1,41,2,-1,91453,91505,0.203125,92021,platform_onset_hypothesis,92268,-1.0,,,92268,platform_end_proxy,2.21875,3.18359375,0.96484375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.08359375,0.1,zero_phase,False,90403,133255,False,block_boundary_24s_buffer,91389,92243,,,
A1,42,2,1,93554,93606,0.203125,94122,platform_onset_hypothesis,94412,1.0,,,94412,platform_end_proxy,2.21875,3.3515625,1.1328125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.2515625,0.1,zero_phase,False,90403,133255,False,block_boundary_24s_buffer,93490,94387,,,
