origin,family,level,method,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms
semisynthetic,asymmetric_burst,0.0,V7,0.08643463674959229,6.0943360475352355,2.843310435950004,5.478515625
semisynthetic,asymmetric_burst,0.0,gated,0.013700034307162738,0.6596910942232109,0.2877782472617029,0.0
semisynthetic,asymmetric_burst,0.0,shrink,0.08825956118704176,7.693925572240605,3.091543887847715,8.531901041666666
semisynthetic,asymmetric_burst,0.0,uncorrected,0.0,0.0,0.0,0.0
semisynthetic,asymmetric_burst,0.5,V7,0.16741499683787264,19.339599769635115,6.14817386959075,44.095052083333336
semisynthetic,asymmetric_burst,0.5,gated,0.14799314785401932,18.5662972946521,5.913272362884205,42.40993923611111
semisynthetic,asymmetric_burst,0.5,shrink,0.17920478336745982,19.29466902840179,6.4208847905462765,42.87977430555556
semisynthetic,asymmetric_burst,0.5,uncorrected,0.14493646103617422,18.469672218227117,5.9802967412884005,42.40993923611111
semisynthetic,asymmetric_burst,1.0,V7,0.29216598658372456,36.11662814246526,11.054664095097989,71.36393229166667
semisynthetic,asymmetric_burst,1.0,gated,0.2903830245700123,36.86330387758343,11.589902715201426,71.62326388888889
semisynthetic,asymmetric_burst,1.0,shrink,0.29337487595017114,34.24239921360059,11.081473197516539,71.80013020833333
semisynthetic,asymmetric_burst,1.0,uncorrected,0.28987292207234844,36.939344436454235,11.714260733886043,71.62326388888889
semisynthetic,asymmetric_burst,2.0,V7,0.5556026814119835,70.21824976513994,20.660722314328833,84.63107638888889
semisynthetic,asymmetric_burst,2.0,gated,0.5768770100370638,73.40881149159392,22.105926444200573,84.99348958333333
semisynthetic,asymmetric_burst,2.0,shrink,0.5421156611935235,66.03087199770596,20.3946219874979,85.45789930555556
semisynthetic,asymmetric_burst,2.0,uncorrected,0.5797458441446969,73.87868887290847,22.379556104143166,85.45681423611111
semisynthetic,direction_step,0.0,V7,0.08643463674959229,6.0943360475352355,2.843310435950004,5.478515625
semisynthetic,direction_step,0.0,gated,0.013700034307162738,0.6596910942232109,0.2877782472617029,0.0
semisynthetic,direction_step,0.0,shrink,0.08825956118704176,7.693925572240605,3.091543887847715,8.531901041666666
semisynthetic,direction_step,0.0,uncorrected,0.0,0.0,0.0,0.0
semisynthetic,direction_step,0.5,V7,0.21317036056531705,70.50982706794822,20.99767623004027,30.59353298611111
semisynthetic,direction_step,0.5,gated,0.20266104959207826,72.58875838097612,21.768894306859387,30.95160590277778
semisynthetic,direction_step,0.5,shrink,0.22238100818568524,66.16728802849642,19.919693274870856,32.607421875
semisynthetic,direction_step,0.5,uncorrected,0.19991661670241243,72.81175521440441,21.846893967067963,30.20290798611111
semisynthetic,direction_step,1.0,V7,0.3893520930783367,138.13622523942064,38.981011810497115,43.587239583333336
semisynthetic,direction_step,1.0,gated,0.39987024227160195,144.7962086954937,40.97420615974962,45.99175347222222
semisynthetic,direction_step,1.0,shrink,0.38773182501756714,130.2236277694759,37.08514976529536,43.78689236111111
semisynthetic,direction_step,1.0,uncorrected,0.39983323340482485,145.62351042880883,41.2367144379729,46.07855902777778
semisynthetic,direction_step,2.0,V7,0.7528959175869585,273.1622603620399,70.35458236462733,59.70594618055556
semisynthetic,direction_step,2.0,gated,0.7948988866064365,288.72703214477554,74.35338772752536,62.85047743055556
semisynthetic,direction_step,2.0,shrink,0.7386203295014939,258.96503619810363,67.20622535538142,62.340494791666664
semisynthetic,direction_step,2.0,uncorrected,0.7996664668096497,291.24702085761766,75.1383452396535,63.76193576388889
synthetic,asymmetric_burst,0.0,V7,0.02416836526283431,0.3433452124685313,0.11625796715407807,1.26953125
synthetic,asymmetric_burst,0.0,gated,0.018906482082826713,0.29778936907033227,0.10222067772979819,1.171875
synthetic,asymmetric_burst,0.0,shrink,0.08026317841028632,1.3309571430918898,0.5108158224673488,3.5807291666666665
synthetic,asymmetric_burst,0.0,uncorrected,0.0,0.0,0.0,0.0
synthetic,asymmetric_burst,0.5,V7,0.3603023432864407,4.45786693277634,1.7895250141452776,9.874131944444445
synthetic,asymmetric_burst,0.5,gated,0.362225230413384,4.51016471583928,1.812954322646972,9.874131944444445
synthetic,asymmetric_burst,0.5,shrink,0.30491639668142884,3.8398855915635233,1.5235754543520657,9.125434027777777
synthetic,asymmetric_burst,0.5,uncorrected,0.393810893398861,4.901375848210815,1.9837914100209049,9.505208333333334
synthetic,asymmetric_burst,1.0,V7,0.7117372059609933,8.798436123221396,3.4551348744549353,13.98654513888889
synthetic,asymmetric_burst,1.0,gated,0.6963297275367286,8.633927504278063,3.396657715975359,14.192708333333334
synthetic,asymmetric_burst,1.0,shrink,0.5948724057100887,7.375518136929697,2.9499357243631863,12.467447916666666
synthetic,asymmetric_burst,1.0,uncorrected,0.787621786797722,9.80275169642163,3.911955991865755,14.127604166666666
synthetic,asymmetric_burst,2.0,V7,1.4183018768384918,17.503160143001406,6.559272669554535,22.352430555555554
synthetic,asymmetric_burst,2.0,gated,1.3572147108816572,16.73221566061425,6.238666388638654,22.12456597222222
synthetic,asymmetric_burst,2.0,shrink,1.1828292221526544,14.65417703340891,5.731198479861361,19.010416666666668
synthetic,asymmetric_burst,2.0,uncorrected,1.575243573595444,19.60550339284326,7.519311479460663,24.0234375
synthetic,direction_step,0.0,V7,0.02416836526283431,0.3433452124685313,0.11625796715407807,1.26953125
synthetic,direction_step,0.0,gated,0.018906482082826713,0.29778936907033227,0.10222067772979819,1.171875
synthetic,direction_step,0.0,shrink,0.08026317841028632,1.3309571430918898,0.5108158224673488,3.5807291666666665
synthetic,direction_step,0.0,uncorrected,0.0,0.0,0.0,0.0
synthetic,direction_step,0.5,V7,0.463012748921374,16.734705134115337,5.887324956809578,5.805121527777778
synthetic,direction_step,0.5,gated,0.44967524033270023,16.30342646373043,5.744002848580409,5.989583333333333
synthetic,direction_step,0.5,shrink,0.41344130098084153,14.764168209560694,5.1432420009050395,6.228298611111112
synthetic,direction_step,0.5,uncorrected,0.5414919048636541,19.558198171974837,6.865160100093084,5.989583333333333
synthetic,direction_step,1.0,V7,0.9214101583041466,33.26689889753506,11.09450448799981,10.68576388888889
synthetic,direction_step,1.0,gated,0.8558798399308658,30.978602713789737,10.411981700633357,10.494791666666666
synthetic,direction_step,1.0,shrink,0.8156131630540344,29.39673040480625,9.85543899611452,10.475260416666666
synthetic,direction_step,1.0,uncorrected,1.0829838097273081,39.116396343949674,12.801883681009349,11.085069444444445
synthetic,direction_step,2.0,V7,1.8423790958091089,66.49139116237151,19.74380942755287,19.77322048611111
synthetic,direction_step,2.0,gated,1.6694450580261082,60.3101630815968,18.193832952422166,17.63454861111111
synthetic,direction_step,2.0,shrink,1.6258534440158057,58.71588122019411,17.71659990954418,17.82443576388889
synthetic,direction_step,2.0,uncorrected,2.1659676194546162,78.23279268789935,22.65205166440305,24.90234375
