dataset,origin,held_block,family,seed,level,method,n,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms,latency_pairs,objective
A1,semisynthetic,0,asymmetric_burst,20260927,0.0,uncorrected,14,0.0,0.0,0.0,0.0,0.0,2,0.0
A1,semisynthetic,0,asymmetric_burst,20260927,0.0,V7,14,11.361786915708882,0.11381940658657588,3.5948412887312795,0.07273530124080112,0.0,2,0.13255413920675732
A1,semisynthetic,0,asymmetric_burst,20260927,0.0,shrink,14,0.0,0.0,0.0,0.0,0.0,2,0.0
A1,semisynthetic,0,asymmetric_burst,20260927,0.0,gated,14,0.0,0.0,0.0,0.0,0.0,2,0.0
A1,semisynthetic,0,asymmetric_burst,20260927,0.5,uncorrected,14,6.761104737661653,0.06773097707424511,5.442308382111032,0.5923930558324085,0.0,2,0.10092522584297718
A1,semisynthetic,0,asymmetric_burst,20260927,0.5,V7,14,13.320419450242616,0.13344047450975316,7.571847969636743,0.6052921750408402,0.0,2,0.17743052829412082
A1,semisynthetic,0,asymmetric_burst,20260927,0.5,shrink,14,6.761104737661653,0.06773097707424511,5.442308382111032,0.5923930558324085,0.0,2,0.10092522584297718
A1,semisynthetic,0,asymmetric_burst,20260927,0.5,gated,14,6.761104737661653,0.06773097707424511,5.442308382111032,0.5923930558324085,0.0,2,0.10092522584297718
A1,semisynthetic,0,asymmetric_burst,20260927,1.0,uncorrected,14,13.522209475323308,0.13546195414849022,10.88461676422207,1.080052876725652,39.0625,2,0.20080126155951522
A1,semisynthetic,0,asymmetric_burst,20260927,1.0,V7,14,17.53754088548093,0.175686492924226,12.396199321139212,1.1160844992046914,39.0625,2,0.2489580748423334
A1,semisynthetic,0,asymmetric_burst,20260927,1.0,shrink,14,13.522209475323308,0.13546195414849022,10.88461676422207,1.080052876725652,39.0625,2,0.20080126155951522
A1,semisynthetic,0,asymmetric_burst,20260927,1.0,gated,14,13.522209475323308,0.13546195414849022,10.88461676422207,1.080052876725652,39.0625,2,0.20080126155951522
A1,semisynthetic,0,asymmetric_burst,20260927,2.0,uncorrected,14,27.044418950646616,0.27092390829698043,21.76923352844414,1.945664266539185,82.03125,1,0.39945430444806285
A1,semisynthetic,0,asymmetric_burst,20260927,2.0,V7,14,28.643328578512996,0.28694136632356054,22.718438355909974,2.0301400730929777,82.03125,1,0.42107246170801194
A1,semisynthetic,0,asymmetric_burst,20260927,2.0,shrink,14,27.044418950646616,0.27092390829698043,21.76923352844414,1.945664266539185,82.03125,1,0.39945430444806285
A1,semisynthetic,0,asymmetric_burst,20260927,2.0,gated,14,27.044418950646616,0.27092390829698043,21.76923352844414,1.945664266539185,82.03125,1,0.39945430444806285
A1,semisynthetic,0,asymmetric_burst,20260928,0.0,uncorrected,14,0.0,0.0,0.0,0.0,0.0,2,0.0
A1,semisynthetic,0,asymmetric_burst,20260928,0.0,V7,14,11.361786915708882,0.11381940658657588,3.5948412887312795,0.07273530124080112,0.0,2,0.13255413920675732
A1,semisynthetic,0,asymmetric_burst,20260928,0.0,shrink,14,0.0,0.0,0.0,0.0,0.0,2,0.0
A1,semisynthetic,0,asymmetric_burst,20260928,0.0,gated,14,0.0,0.0,0.0,0.0,0.0,2,0.0
A1,semisynthetic,0,asymmetric_burst,20260928,0.5,uncorrected,14,7.119285223254048,0.0713191354003489,6.692488946483714,0.6388476759796101,29.296875,2,0.11124074517724815
A1,semisynthetic,0,asymmetric_burst,20260928,0.5,V7,14,13.27387757655839,0.13297423020474494,8.97633006335653,0.6583153830311761,29.296875,2,0.1845303235514504
A1,semisynthetic,0,asymmetric_burst,20260928,0.5,shrink,14,7.119285223254048,0.0713191354003489,6.692488946483714,0.6388476759796101,29.296875,2,0.11124074517724815
A1,semisynthetic,0,asymmetric_burst,20260928,0.5,gated,14,7.119285223254048,0.0713191354003489,6.692488946483714,0.6388476759796101,29.296875,2,0.11124074517724815
A1,semisynthetic,0,asymmetric_burst,20260928,1.0,uncorrected,14,14.238570446508096,0.1426382708006978,13.384977892967427,1.4398803276982821,76.171875,2,0.22410621697829486
A1,semisynthetic,0,asymmetric_burst,20260928,1.0,V7,14,17.71480871303098,0.17746231560848547,14.863177614010675,1.3490626206028564,76.171875,2,0.26542458266633234
A1,semisynthetic,0,asymmetric_burst,20260928,1.0,shrink,14,14.238570446508096,0.1426382708006978,13.384977892967427,1.4398803276982821,76.171875,2,0.22410621697829486
A1,semisynthetic,0,asymmetric_burst,20260928,1.0,gated,14,14.238570446508096,0.1426382708006978,13.384977892967427,1.4398803276982821,76.171875,2,0.22410621697829486
A1,semisynthetic,0,asymmetric_burst,20260928,2.0,uncorrected,14,28.47714089301619,0.2852765416013956,26.769955785934854,3.297359847180901,78.125,2,0.45239583332436084
A1,semisynthetic,0,asymmetric_burst,20260928,2.0,V7,14,29.25412197777752,0.2930601346798978,27.388292286236492,3.177634272398914,78.125,2,0.46207721352496095
A1,semisynthetic,0,asymmetric_burst,20260928,2.0,shrink,14,28.47714089301619,0.2852765416013956,26.769955785934854,3.297359847180901,78.125,2,0.45239583332436084
A1,semisynthetic,0,asymmetric_burst,20260928,2.0,gated,14,28.47714089301619,0.2852765416013956,26.769955785934854,3.297359847180901,78.125,2,0.45239583332436084
A1,semisynthetic,0,asymmetric_burst,20260929,0.0,uncorrected,14,0.0,0.0,0.0,0.0,0.0,2,0.0
A1,semisynthetic,0,asymmetric_burst,20260929,0.0,V7,14,11.361786915708882,0.11381940658657588,3.5948412887312795,0.07273530124080112,0.0,2,0.13255413920675732
A1,semisynthetic,0,asymmetric_burst,20260929,0.0,shrink,14,0.0,0.0,0.0,0.0,0.0,2,0.0
