dataset,fold,seed,level,stage,n_trials,V7_policy,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms,latency_pairs,objective
VisualCogA_Task-1,1,2027,0.0,未校正,18,保守比例,3.969701898539267e-15,4.125932215913902e-17,4.861088017293574e-15,3.700743415417188e-17,0.0,4,6.690595823532296e-17
VisualCogA_Task-1,1,2027,0.0,V7,18,保守比例,12.901817921459093,0.13409577738215359,7.567412222116055,0.9442212860560889,0.0,4,0.18323575932748085
VisualCogA_Task-1,1,2027,0.5,未校正,18,保守比例,18.824001025846247,0.1956483238540263,11.555843571213119,2.7173095343725593,78.125,4,0.2839439931022393
VisualCogA_Task-1,1,2027,0.5,V7,18,保守比例,20.99273724826561,0.21818920696465,13.064962060270263,2.894537842691799,64.453125,4,0.31616946306835714
VisualCogA_Task-1,1,2027,1.0,未校正,18,保守比例,37.62195452784108,0.3910259212894193,22.917830305011513,5.561688322329313,76.171875,4,0.5679305302651189
VisualCogA_Task-1,1,2027,1.0,V7,18,保守比例,34.86271420437224,0.36234760026426144,21.289265546427615,5.374295259517172,76.171875,4,0.5288412386378918
VisualCogA_Task-1,1,2027,2.0,未校正,18,保守比例,75.36692789281875,0.7833304458500134,46.47064340796603,12.533477982111188,77.1484375,4,1.1550954970336604
VisualCogA_Task-1,1,2027,2.0,V7,18,保守比例,65.53013049548741,0.6810911333766969,40.493035130855695,10.422188151945868,76.171875,4,0.9998480682141893
VisualCogA_Task-1,1,2039,0.0,未校正,18,保守比例,3.969701898539267e-15,4.125932215913902e-17,4.861088017293574e-15,3.700743415417188e-17,0.0,4,6.690595823532296e-17
VisualCogA_Task-1,1,2039,0.0,V7,18,保守比例,12.901817921459093,0.13409577738215359,7.567412222116055,0.9442212860560889,0.0,4,0.18323575932748085
VisualCogA_Task-1,1,2039,0.5,未校正,18,保守比例,19.86451699319422,0.2064629856613362,14.659887679270607,3.463666848775643,82.03125,3,0.31864699142190583
VisualCogA_Task-1,1,2039,0.5,V7,18,保守比例,21.426434741583805,0.22269686649520845,16.149654839071285,3.3577359618037406,86.9140625,4,0.341521863361857
VisualCogA_Task-1,1,2039,1.0,未校正,18,保守比例,39.723109190262214,0.4128643916176096,29.382374625828078,5.083626631158366,82.03125,3,0.6183950435428193
VisualCogA_Task-1,1,2039,1.0,V7,18,保守比例,36.37565237957054,0.3780724091221599,28.15517446223157,4.799557172158763,82.03125,3,0.574273081687999
VisualCogA_Task-1,1,2039,2.0,未校正,18,保守比例,79.72907988118875,0.8286687203087364,59.55975756404623,6.921436973452072,106.4453125,4,1.2101259302258445
VisualCogA_Task-1,1,2039,2.0,V7,18,保守比例,69.09228237324434,0.7181145612462396,53.35473929101914,6.460743211954839,106.4453125,4,1.0625374194550992
VisualCogA_Task-1,1,2053,0.0,未校正,18,保守比例,3.969701898539267e-15,4.125932215913902e-17,4.861088017293574e-15,3.700743415417188e-17,0.0,4,6.690595823532296e-17
VisualCogA_Task-1,1,2053,0.0,V7,18,保守比例,12.901817921459093,0.13409577738215359,7.567412222116055,0.9442212860560889,0.0,4,0.18323575932748085
VisualCogA_Task-1,1,2053,0.5,未校正,18,保守比例,20.97813667481101,0.21803745507514588,15.240282132433633,3.794884278992857,71.2890625,4,0.3366801693671304
VisualCogA_Task-1,1,2053,0.5,V7,18,保守比例,24.16412901755102,0.2511512474518557,15.290951000699703,4.025849507651031,69.3359375,4,0.37245782684672685
VisualCogA_Task-1,1,2053,1.0,未校正,18,保守比例,42.06869204121694,0.43724334020669736,30.228968014568807,5.800356885862619,88.8671875,4,0.6546229269799564
VisualCogA_Task-1,1,2053,1.0,V7,18,保守比例,40.25053624023506,0.41834623461904036,27.22584741999427,5.626239888784976,87.890625,4,0.618309574255859
VisualCogA_Task-1,1,2053,2.0,未校正,18,保守比例,83.84892158497576,0.871488529061568,60.78494859352186,7.9147173866308265,95.703125,4,1.26963650164826
VisualCogA_Task-1,1,2053,2.0,V7,18,保守比例,75.03713408390193,0.7799027151649472,52.45447199367391,7.473201119179019,106.77083333333333,3,1.130170122494741
VisualCogA_Task-1,2,2027,0.0,未校正,18,保守比例,9.233673180100474e-15,9.5403862108894e-17,7.077414176530199e-15,7.401486830834377e-17,0.0,2,1.3273111212739164e-16
VisualCogA_Task-1,2,2027,0.0,V7,18,保守比例,13.748461886368267,0.1420514172889743,1.3879157436427225,0.08588323615238529,0.0,2,0.15010886659228231
VisualCogA_Task-1,2,2027,0.5,未校正,18,保守比例,19.69651597229973,0.20350771109125004,10.154769694324845,1.1885981437939666,0.0,2,0.26824889973697746
VisualCogA_Task-1,2,2027,0.5,V7,18,保守比例,23.45857535555015,0.24237794048366487,8.649732687999022,1.195346278272866,0.0,2,0.29941370442666804
VisualCogA_Task-1,2,2027,1.0,未校正,18,保守比例,38.88532426833768,0.4017697012009418,20.741907167761187,2.458473267294467,66.40625,2,0.534325494152705
VisualCogA_Task-1,2,2027,1.0,V7,18,保守比例,38.01141011862003,0.39274027343059836,17.369846416120623,2.5288882711709904,64.453125,2,0.5086032570139175
VisualCogA_Task-1,2,2027,2.0,未校正,18,保守比例,77.40054375299746,0.7997154176171564,41.81387317172799,6.658059110789288,89.84375,2,1.0845215827458154
