dataset,trial_id,block,truth,past_only_common_dct0,past_only_common_dct1,past_only_common_dct2,past_only_common_dct3,past_only_common_dct4,past_only_common_dct5,past_only_midline_dct0,past_only_midline_dct1,past_only_midline_dct2,past_only_midline_dct3,past_only_midline_dct4,past_only_midline_dct5,past_only_lateral_dct0,past_only_lateral_dct1,past_only_lateral_dct2,past_only_lateral_dct3,past_only_lateral_dct4,past_only_lateral_dct5,post_erp_common_dct0,post_erp_common_dct1,post_erp_common_dct2,post_erp_common_dct3,post_erp_common_dct4,post_erp_common_dct5,post_erp_midline_dct0,post_erp_midline_dct1,post_erp_midline_dct2,post_erp_midline_dct3,post_erp_midline_dct4,post_erp_midline_dct5,post_erp_lateral_dct0,post_erp_lateral_dct1,post_erp_lateral_dct2,post_erp_lateral_dct3,post_erp_lateral_dct4,post_erp_lateral_dct5,post_given_past_common_dct0,post_given_past_common_dct1,post_given_past_common_dct2,post_given_past_common_dct3,post_given_past_common_dct4,post_given_past_common_dct5,post_given_past_midline_dct0,post_given_past_midline_dct1,post_given_past_midline_dct2,post_given_past_midline_dct3,post_given_past_midline_dct4,post_given_past_midline_dct5,post_given_past_lateral_dct0,post_given_past_lateral_dct1,post_given_past_lateral_dct2,post_given_past_lateral_dct3,post_given_past_lateral_dct4,post_given_past_lateral_dct5
A1,2,0,1,1.1849848183100062,-0.7145368297946081,1.2228356305259656,-0.31561085650890686,0.26396974153078,-0.028433023907769982,-1.2849893066278053,0.5241383439148868,-1.4840951634991344,0.7747273288652413,-0.7212652130156321,0.7098839109906858,0.4526330685983533,-0.7268951986753833,-0.26208913510227844,0.034330124858274094,0.8963477325028626,0.6021796043485992,-0.1346326484045436,-0.40324800699872426,0.6354736073569179,-0.14022341895095908,-0.49342436061491035,-0.05962991523371829,0.14000612437160295,0.3070682529965761,-0.3065334563302291,-0.14072675492770162,-0.5412029122965507,0.05677734888882442,2.8741575978195937,-3.379671196586364,-1.0574682271444071,-1.9176129349879873,-0.32393893641193644,-1.3277831820302672,-0.8435155434392038,0.4182304729696265,0.9251207914245301,0.08233091548833016,-0.12628011684111007,-0.01749971302203713,0.8446134174471558,-0.5460080471989777,-0.6293565963530021,-0.904655322688434,-0.8635888882859297,-0.7353489462935859,2.4580482446257785,-3.2257154023616064,-0.7291193271314826,-1.7934068723820396,0.10947394568155261,-1.3624350820384254
A1,4,0,-1,0.004573681126690423,1.45889076677558,-0.5018274408440886,1.7956209059622552,-1.339584991224091,0.5501727887615167,0.4897695981817358,-1.9398492364314441,0.4984271467068784,-1.459839510978677,-0.8418877328592406,-1.9536226622276227,1.889076092948931,0.9657492777778123,0.32667762111091875,-0.8982521230144511,-0.24875426717114463,1.4681330791181626,-1.121551268287338,1.1627881026647482,0.8826091130146184,0.9755557303895888,-0.4285180789242397,0.6690031380874665,0.8867623453866785,-0.9894578474600024,-0.6471067380331619,-0.5683361549451216,-0.8248696238508214,-0.5820260207562454,-0.5162270170308269,0.26739240263107905,0.8663946218161016,-1.6509252567570585,0.37600480490324073,-1.006175400908072,-0.08074177458473097,0.11887425458860168,0.27538294969851884,0.3773134881319372,-0.5953759274486428,0.25247852967620615,-0.1634257616157343,0.12068903429277222,-0.06881681488316449,0.5251270045127174,-0.17658960901943221,0.5027852454364602,-0.28559166432468197,0.01726260256558354,0.8829670505114577,-1.7096135685108154,0.10927607124470701,-1.1762563309065162
A1,5,0,1,-0.7706487839369887,1.4520310452390195,-1.243267971112026,-0.5364924865839116,-2.2448600529250933,-1.0794179686149972,1.7359187884998077,-1.2414365678968582,0.9769780469225299,-0.21523133702472108,-1.6079502432327795,0.09937297077664191,-0.08167394316086542,-0.36663010916934025,-0.15592447006058985,-0.7898086828873634,1.5125552258154453,-1.503424783582339,-0.7704640074810454,0.8104341596225166,0.40048066498313795,1.0614841908987782,-0.774888904571695,0.8955264795801574,0.5412831762904534,-0.6093643828692316,-0.4569939677850886,-0.7287796674835855,-0.2768129167958465,-0.45597841245178566,-0.6541863170281734,0.5695774941389576,0.30940339356114366,1.590076937507215,-0.4258777171608459,-1.7086053467119935,-0.31584757244635336,0.16820743531834648,0.5047624056499761,0.5341843255870841,-0.8583918773842888,0.46895109495587994,0.13563495610509002,-0.06468894797848723,-0.44050927824865843,-0.24475625331445722,-0.19898751059241898,0.1373932499998029,-1.1061699555651088,1.1106850782345092,0.4333898132097968,2.108300021576806,-0.4065422260568493,-1.6601608426264962
A1,6,0,-1,-0.22828198297483293,2.613537106439376,0.3142153761376843,3.5861257625276415,-0.5551385408888576,-0.18050952751643967,-0.06042617683509056,-2.651706803567315,1.5545068621696343,-2.405605123799861,-1.0756350798866985,-1.5745064652956513,-0.38622299057697673,-1.1824017800595932,0.256663954678669,-1.3080551650006365,0.5069877558755214,-0.09014120902543596,-2.4580181132174164,2.707102282166198,0.7652927874496623,2.0084874390521,0.8743549411206083,0.8356482112144679,1.901211191212491,-1.985585148246308,-0.6871838027012948,-2.1382719505995564,-0.915338680023073,-1.8302749606746835,0.8314470052886415,-0.8500958737572152,-0.9371213833461565,0.08313941309931726,-1.9256336349910155,0.7370222623939754,-0.8689882718127995,1.1455453112364309,-0.06959161854743279,1.2599192954939449,0.5889976971007027,0.472809774092541,0.36461939366116014,-0.4846472859674671,0.22034357804149873,-0.5544820777462878,0.1356271815924317,-0.31062730021790097,-0.08246427776465681,-0.08580223349657023,-0.13992955708122934,1.0149815536946032,-1.5460673416442763,0.932092662594118
A1,7,0,-1,0.6841581238501316,-0.20510760484638552,0.27463806873285684,1.39872998695315,-0.8898891032596961,-0.3187439815909382,-0.5569817709369799,0.14347223269921988,-0.16932495300735773,0.5180406079355264,-0.8706860436232527,0.7886279023984716,-0.5122569337624143,0.36605184015012865,1.3475918015199904,-0.7948313167642664,0.6961426138892333,0.5133672012005952,-0.17593404112857344,-0.1575035699136503,0.6826037992488931,0.9184098460667418,0.05967807329667884,0.24040140799322302,0.12875281028437277,0.039970581539201265,-0.6794075243028705,-0.01664555864180535,-0.48683498151957655,0.22711673326220988,0.40632392746244805,-0.07642619663259405,-0.02266306772367969,0.4984409794910704,-0.46070721692358335,-1.233193826872348,-0.24666816924156976,-0.04859149588862138,0.6766844386542893,0.9083316853391538,0.36393957785166176,0.12366156453473456,0.18017508001170185,-0.1235404714521495,-0.5158313406775575,-0.11483116769781529,-0.29281483495069605,0.09506913999727137,0.3787150257128169,-0.27510687284261,0.07340497142818635,0.5927461379590344,-0.14352633055441516,-1.252222041836774
A1,8,0,-1,0.12395076502874086,0.3517228929615247,0.6988731384127692,2.834593463297597,0.38023937856211465,-0.4792119255889887,-0.38452099939144674,-0.2201708601421469,-1.1216733033732196,0.314087818277814,-0.3025918845190587,0.36790430871173563,0.18489299587690747,0.4032856765612239,-0.6030718298390008,-0.366684795139412,0.71890065916582,-0.7303474648987949,0.20009340745533175,-0.2926681600710627,0.14749712613716248,-0.06262141332061803,-0.08915665199912579,-0.04365554548832172,-0.14322986834852988,0.2428107897694115,-0.24819887387153766,0.5806191761292512,-0.37816692769731497,0.4005550721153265,-0.5266536842539302,0.840647387255294,-0.030697226566219746,0.3189011537752244,0.4374648075190528,0.9188452594372085,0.2991221264704655,-0.3230444402404619,0.1446729103132924,-0.009157393855477279,0.09029765058647357,0.01713838414083834,-0.23198201424667375,0.20440556580786653,-0.06740834408185614,0.6164416668050225,-0.07289138405545725,0.40165101236525586,-0.6625002727718531,0.9272798892278084,0.13550536499558313,0.6431674719198184,0.5713817376134214,0.8937025202084796
A1,9,0,1,0.31666301008299547,0.3489564949167897,-0.3843599177090202,0.5029045266885804,-0.9277939562744069,-0.5434450579877457,0.09373722526508944,-0.10499067020248991,0.5705292289176048,0.07669878170674771,-0.879725258685502,-0.26909876331234417,-0.8004151171123283,0.5294190843930437,0.38641631612506955,-0.7047924811759498,1.61780783977311,0.16226768675035871,-0.012493738786335197,-0.023081555665360923,0.17558121148094202,0.14703251900338504,0.5126004523945691,-0.8508503693107273,0.05564151866993656,-0.05813102907926031,0.018254954101024054,-0.1250221619642879,-0.25439343793431396,0.13938241020740047,0.29789626750986004,-0.16817640417388452,-0.1305990909264808,-0.6359371930200493,0.10797762523436367,-0.013492290142013945,0.18950638429693914,-0.23272307977441598,0.17757410275494795,-0.12061458808327041,0.7472946244531133,-1.152856590334624,-0.13438267969426848,0.11321168837195598,0.21198623529696625,0.058500738980636985,-0.03387810438541061,0.34964964030518286,0.35551529133297954,-0.3105699909216586,-0.10021876708456973,-0.6723531930188807,0.343171283992949,-0.16326337451193607
A1,10,0,1,-0.071863138036577,-0.1522748288643168,0.2763711248657831,0.16190468163649763,0.038263219523357046,-2.104725371167987,0.16257299260065308,-0.0027861217658612268,0.42392769951702364,0.7084339049179559,-0.29000616218725966,-2.384731159348965,0.02623932354235627,0.022969736443132965,-0.3290669418510227,-0.8412706617101811,-0.10712173452637684,2.4566725519878028,0.1473757670135349,-0.33497759751325107,-0.3366901024714092,0.24958409965128406,-0.17878832122505223,-0.208439744263586,-0.12827603832669907,0.17898993334019636,-0.24325132681697065,0.34068690799944074,-0.16478185529127348,0.15696881736877452,-0.23806308580061625,0.31154192548708487,0.022774643844876676,0.2731762845747443,1.1940222451428502,0.7214958842082011,0.16525336761599818,-0.3299677338557516,-0.44925849342470536,0.030721641598541016,-0.10316443077376122,-0.3062533536993739,-0.12902027966326568,0.2532680581575844,-0.28552597182339906,0.39255628254754893,-0.24430093377376735,0.27457619311755893,-0.12874340984972807,0.034057556385460264,-0.03762240209946467,-0.03930824393492466,1.3584152291164941,0.5126244279294258
A1,11,0,1,0.5791035821454994,2.179427831217471,0.5435587423225583,3.098102031904164,0.12023454487397879,-0.5860976294264453,-0.5835244853642646,-2.3057259427607795,-0.20086818060069003,-2.0497278683279845,0.6483646050990414,-2.5500578816163992,2.9375828873132663,1.641685448156377,1.250832336631489,0.8023790801584252,-1.0099369914758534,0.8245021858208791,-1.1155260008605925,1.6427732072893497,-0.5855825746973322,1.8096695717381786,-0.6093563927473606,1.0997029072300895,0.855653397477429,-1.1941521698407984,0.3821069995248417,-1.3596467941806054,0.6761092550687083,-0.5638618354185625,-0.48610340954555686,0.9330307512425381,-0.8337168194691759,0.7406395936652114,-0.6884247679520699,-0.1376235311981718,0.041956223170600104,0.4653999478196551,-1.5635259271095545,1.4091128775264927,-0.6886162717344761,0.7646675014575064,-0.34190966945772705,0.06721830049833,1.0802238941359088,-0.11466675583278607,1.4422125200839364,0.6005852708672927,0.014804098641376662,0.47559139918746673,-0.8350402366359492,0.6839020961075518,-1.1974972079839104,-0.4005687258793378
A1,12,0,1,-0.0546318419643141,0.11269856291843185,0.6585608240716201,0.19815768991817886,0.9290571795825483,-0.7268359317634788,-0.482248564639833,-0.31977494615923924,-0.23653754709639302,0.10689077609532911,0.2635700607719242,-2.0982657190864753,-0.3268112705320961,-0.6159161331512756,0.3537984054290458,-1.713572952131618,0.03197927877739161,1.4768920551387126,0.052849995660407594,-0.069688489402344,-0.5379686807024927,0.2988447784057831,-0.2644077795937884,0.5866443750683304,-0.048760795757702355,0.023779310618113298,-0.06241624168188863,0.21230029678901405,-0.08559780848748899,-0.3841287740489865,-0.38297559470834225,0.7172018641043282,0.11823087802203575,0.12017976775837452,0.925303577497796,-0.4442786171780603,0.2328980768140345,-0.20136687231289474,-0.6850835181861361,0.18066454086700295,-0.06784380411316401,0.5009078299265873,-0.1942007478081016,0.16122479701130557,-0.008300411625071343,0.3963241823493775,-0.09560594194460187,-0.23717802196618387,-0.7089246998910694,0.8722754165927352,0.26359478559274485,0.19581947944929556,1.4584198333099185,-0.413615650062282
