dataset,feature,right_minus_left,pooled_sd,standardized_difference,interpretation
A1,kernel_common_1,1.3121296391319772,20.66294806434414,0.06350156981695078,descriptive_in_sample_not_neural_specific
A1,kernel_common_2,17.6471294697014,54.38240030464672,0.3245007460289232,descriptive_in_sample_not_neural_specific
A1,kernel_common_3,32.03598136037046,100.2182874673721,0.3196620314510998,descriptive_in_sample_not_neural_specific
A1,kernel_midline_1,-2.001454823956042,11.159696854916362,-0.17934670179453024,descriptive_in_sample_not_neural_specific
A1,kernel_midline_2,-15.517765559895317,45.91918233333507,-0.3379364520746307,descriptive_in_sample_not_neural_specific
A1,kernel_midline_3,-27.898839221496406,84.93605074162926,-0.32846875947132415,descriptive_in_sample_not_neural_specific
A1,kernel_lateral_1,-0.7788919147287188,6.498354785281921,-0.11985986306762224,descriptive_in_sample_not_neural_specific
A1,kernel_lateral_2,5.6336071756142605,17.765393004208125,0.3171113171704007,descriptive_in_sample_not_neural_specific
A1,kernel_lateral_3,11.243472489481636,32.7358089624786,0.34346096356955075,descriptive_in_sample_not_neural_specific
A1,window_common_50_250,34.11145366561961,105.07562785763491,0.3246371624049357,descriptive_in_sample_not_neural_specific
A1,window_common_250_500,57.38839794233527,176.6114195371052,0.324941603961675,descriptive_in_sample_not_neural_specific
A1,window_common_500_750,72.78320644249285,228.66852075468321,0.31829132493744106,descriptive_in_sample_not_neural_specific
A1,window_midline_50_250,-31.866905069669777,85.87207467363814,-0.3710974166023334,descriptive_in_sample_not_neural_specific
A1,window_midline_250_500,-50.87817692189485,147.71650796416927,-0.3444312191176092,descriptive_in_sample_not_neural_specific
A1,window_midline_500_750,-63.95636775208452,193.627567517451,-0.3303061055410942,descriptive_in_sample_not_neural_specific
A1,window_lateral_50_250,9.16204450152587,38.400557906566036,0.23859144244253988,descriptive_in_sample_not_neural_specific
A1,window_lateral_250_500,17.64915379851491,58.90203589510948,0.29963571768459507,descriptive_in_sample_not_neural_specific
A1,window_lateral_500_750,25.562759620697435,75.05731144852564,0.3405765424761903,descriptive_in_sample_not_neural_specific
A2,kernel_common_1,-1.8990310139839153,41.75850867791109,-0.04547650464798427,descriptive_in_sample_not_neural_specific
A2,kernel_common_2,12.706408512886817,64.93434441934622,0.1956808623619696,descriptive_in_sample_not_neural_specific
A2,kernel_common_3,29.189186134033903,126.15182818176429,0.23138139616951908,descriptive_in_sample_not_neural_specific
A2,kernel_midline_1,3.1587641400800877,13.025506014392901,0.2425060597714762,descriptive_in_sample_not_neural_specific
A2,kernel_midline_2,-4.960531987215923,23.849768084420745,-0.20799078505322088,descriptive_in_sample_not_neural_specific
A2,kernel_midline_3,-10.443092307127095,43.73146014318232,-0.23880044876011672,descriptive_in_sample_not_neural_specific
