dataset,trial_id,block,kernel_common_1,kernel_common_2,kernel_common_3,kernel_midline_1,kernel_midline_2,kernel_midline_3,kernel_lateral_1,kernel_lateral_2,kernel_lateral_3,window_common_50_250,window_common_250_500,window_common_500_750,window_midline_50_250,window_midline_250_500,window_midline_500_750,window_lateral_50_250,window_lateral_250_500,window_lateral_500_750
A1,2,0,-16.069927539557934,-5.161450982667728,4.950115787086972,16.132972083492213,2.4753685131681147,-1.3591352411786966,-3.934993914529156,52.860857528831886,101.65511466793464,-35.21299081781678,-25.150056689135283,11.63683172069862,32.491388905370606,21.33085725349257,-0.5360899038859033,93.52768950005368,165.22766307337224,232.02151304585945
A1,4,0,6.535877686755004,-63.10521262733806,-116.89995485170871,-6.301215110155525,43.250590108624955,82.28875578170118,-1.520448627531951,-11.87517816887865,-16.227651117577917,-99.47018742580586,-195.5372656781328,-262.51278674977533,67.47258516605025,132.29441303054975,186.70925029779144,-25.363491841146256,-35.735190939458704,-35.92118958114567
A1,5,0,5.610404066732205,-40.61799035476099,-80.23503849931353,-3.7313849271181394,25.59499272693043,49.625974010782784,-4.620956073103909,-11.316367632550843,-22.143081460677813,-67.1839608386132,-127.24119670376378,-180.4129524195127,37.735240818641834,79.60576944341499,112.38579399788189,-25.466554766305816,-43.6223004961161,-51.34977270033638
A1,6,0,13.00542606554158,-133.70423825427252,-264.1418972174995,-4.320202737780624,89.51359713973687,174.85641961884556,-0.1750881811653786,16.12776245230294,27.138399406235184,-230.65646622480955,-419.71846758554005,-604.9928391372989,164.42871408743244,285.028954853691,399.7047561604222,25.65803302020666,49.03746689244085,62.14501979556071
A1,7,0,-14.886097455740352,-6.223075346013004,-4.593807309371858,5.234947858056444,5.970172705165823,4.944669682399896,2.9598556927182,6.312389428556534,9.909091921699794,-25.589979928401153,-32.32222842037521,-10.006711180590177,11.61664598723114,21.621216653016834,10.764548392731369,20.612914165215035,21.25417108105828,23.509079176969937
A1,8,0,2.0483154064046523,12.791453203893578,26.15038646054738,1.1905368623614037,-7.483784682418998,-17.655102101864458,2.779251291020084,-10.277167662576497,-21.896305125821637,25.945942468860096,45.838989848359006,59.92668977400426,-14.217753883351392,-25.17365861808054,-40.6083540888571,-16.432388335175418,-30.849768961880766,-50.07583075980192
A1,9,0,3.005397218312791,1.4798671491195583,2.2119429043761,-1.7718544419229931,0.7040428588148249,3.5925001193290496,2.1007293336083963,4.367777887267787,7.888156995801609,8.275542711210297,10.84193885479611,2.1379123577971817,-0.054348104554165014,1.155193301641302,8.898211000722881,11.17150923762055,15.950384999681582,18.36503562713419
A1,10,0,-3.2154950899964496,14.714501831412244,23.109449322942655,-0.3087372616602592,-6.7183939272285595,-14.871146083140529,-0.6747041412287498,-4.469393512586267,-9.563969749353626,7.098920251086078,44.14897482852282,49.874947780364174,-16.63643687099425,-22.725683016952992,-34.36983421122988,-9.715604379165805,-15.250865856050478,-22.96993598177816
A1,11,0,26.031951791957066,-55.35711804227434,-133.30465430769016,-15.106997256849732,38.49178140052673,86.8897047947842,4.8965871766043385,-8.406148409588805,-22.205104204631315,-81.77546482778541,-165.7839502778898,-304.52945122656166,57.60707008772125,116.02915212101179,197.73525829565705,-13.584187092882178,-25.8161074201674,-50.828890955070705
A1,12,0,5.231929869406775,9.371474959120695,7.434050484528912,-3.2474200390433925,-3.3180697439077544,-5.351128067931228,3.129641680350069,-8.136176981708825,-17.064483968143552,5.847601767229213,33.29465733722854,14.342240996511178,-11.478208923091296,-14.148019588018048,-12.288655286133405,-9.42503725702556,-23.276584253751906,-39.28035123185428
A1,13,0,7.451246514415617,9.62545537908845,11.24292407183178,-0.290138787519112,-5.944325865817597,-10.611779107650097,-0.3122851780444718,-1.6708183245273729,-3.0460365269986984,12.872125495404623,38.241998582584664,24.48395514738641,-10.261136259405921,-19.46064499764721,-23.769182477292063,-0.08272188446373328,-6.078454228321334,-6.667522852349599
A1,15,0,11.109739240218417,-25.132890013298066,-47.3260958294491,-3.8479829897167424,15.799711418933661,30.307574279018322,1.0438537586971688,4.9118880986794915,6.393989079272674,-36.07952528156496,-64.5793095217243,-108.65419794986819,21.283904094422684,45.67656311509339,69.34489527904121,12.40033185835615,14.519303320400157,14.401418564624223
A1,16,0,0.3886555528714896,-19.29875238634364,-41.085098580502525,4.359560204568882,16.653252797249273,30.665690437518663,0.3921747961704502,9.708338797654223,17.75211963810264,-51.095741290949995,-59.58856104196217,-96.82493709199656,38.15163085501321,56.88841934646216,71.5108079383173,19.011393440526344,31.775735503092946,39.81065150649259
A1,17,0,-13.122116983605942,15.672871703939478,32.039720390891965,4.535452348234529,-8.919579039750229,-19.770424028309407,-0.5996035815256978,-0.27801765295951275,-2.123125420376846,2.997955369242239,39.455853474267585,70.67465361303026,-12.966265140812174,-25.099059600771035,-44.92690817888209,-1.1805729308461224,-1.9855456238521252,-5.686564314826835
A1,24,1,40.6223459577109,1.5211987133326343,1.6596811158747542,-0.39460596626847505,-2.199489796718106,-4.035130837498836,1.9714321200023646,-1.5110552233038812,-3.5697972360090517,36.614618588294476,45.27175013139152,15.494392759823587,-5.150171743739672,-6.955378180926452,-9.409185643362811,-1.8405629349489172,-3.5340010450792594,-7.338587803117524
A1,25,1,-14.589300473612756,-60.23770533832577,-108.4311882335805,4.64760232674184,44.41959005432908,80.31037917343015,-1.861203902683915,41.99661493729746,77.49363502870143,-128.42504235930232,-208.76038059013746,-246.08598782438054,89.13935093261861,145.00055028925055,183.60395713821222,72.2054013325756,132.5023013905215,175.55807410518355
A1,26,1,44.35039954720034,-10.72799303105402,-19.93358103735694,2.1734733414761425,2.2735555318276006,1.724016164162619,-2.978969182826917,-2.4160144788972433,-0.19256619497453306,25.57366871604189,11.14125809143368,-33.72184994059376,6.167967615102643,7.964756182414554,4.000082680530872,-10.727093365088088,-7.540761126273535,-0.5710814878144139
A1,28,1,96.90906672862467,-2.470147104647881,-69.37102376562996,-8.908520418615453,-6.419314580373309,-2.8347060789621907,-3.4403364845081095,0.6307848347395544,8.53327838555484,74.73635113004657,69.89829463703259,-160.74621153160933,-17.256426506781455,-25.749058798729752,-5.267979567349798,1.7127438769395626,1.8939057912258659,21.49439124526276
A1,29,1,5.466306869182069,32.62005090178997,55.89306646244419,3.69715896028133,-14.308175275018634,-31.066164618181034,6.179813749811662,-8.250038011612313,-17.091338798973037,61.19930470099966,106.97600809948197,128.3052124926402,-21.656414914912464,-44.84530749409562,-70.64865587993529,-0.9892896016629045,-22.00785766158852,-37.026267842352475
A1,30,1,10.065128598691805,-0.3313057813957283,-6.276484797207434,-0.7436008177240692,2.7203792906816484,7.282661672477346,-3.052667073206952,-5.048138829285919,-8.645998845789865,17.838238095810286,8.736408007225105,-14.025204309883831,7.0038340947371225,8.487492788594608,17.256516971450534,-14.815111346890907,-19.105151313501796,-19.12789071193699
A1,31,1,-7.549120691093048,-17.996923154857406,-33.47950253651718,9.13556964917853,13.015656189886608,20.530653486774575,3.53823198019958,14.217738706880821,24.12602413089538,-53.681127865850705,-63.86461868381943,-77.9066208962337,37.40237757571767,48.746273012922344,48.448093487792406,31.729784090465156,46.69169171448331,56.21641172807027
A1,32,1,2.488872522989634,0.6028376808061666,-15.233040981079881,-1.51790025796895,5.2846083320731685,10.531454377141763,-5.119180105192028,-1.8681883653394884,-7.148204099704447,-10.71095994486642,-0.48020882347799143,-41.989094302619236,8.408863945532614,14.935887621810528,24.306392529745747,-23.07467936763591,-13.254168661054896,-18.072942352373744
A1,33,1,8.433669515364077,-0.5009210259288623,-4.852204773865721,-0.3535807602428438,-0.9437726960225326,-0.4364441731814347,-3.9086643898268556,-0.32422748155854475,2.477858344329055,9.58850857846544,6.66725687509082,-11.868708595159019,-0.2672759632202195,-3.323330628582493,-0.09784136750772855,-4.944987724569202,-3.76130164933012,5.789476828249954
A1,34,1,-12.049524733554081,-10.912430617877613,-24.90454575673233,1.421147912192418,4.143464039130142,6.931920711293784,-1.8293653911222254,-2.554991953545642,-2.5860944503802163,-51.12777949282011,-46.34387490076775,-66.01691722191437,10.225076297525037,14.040467133424855,15.940780690631234,-2.054722166950826,-10.030929140402742,-5.275491261142254
A1,35,1,6.942888432524124,-3.2182968089149013,-18.04540832615426,1.1489576060783577,5.3843522764738525,9.306450179988499,2.0594575460527134,0.3287101228346351,-1.9298759793736933,-13.834499163254943,-6.340905724248609,-44.70753062911886,10.96003307288268,18.355641318633126,20.856418106601833,0.9883430289685773,0.7857739803568917,-3.483540863233789
A1,37,1,-12.893058402650524,2.9307304444677365,10.06660179626773,2.2621039376274723,0.11386540840680653,-2.3352446455098184,-7.6461842107021125,-0.23790328303152464,-5.928921242033809,-0.0727664423047139,-6.387620869174106,24.280793804783894,2.432438878534142,0.8764587014146168,-4.857362021783772,-24.22253294522855,-10.254854365493395,-17.626486454801515
A1,44,2,11.353456096574996,7.991822656013094,7.571661181775493,-3.933837951943084,-5.494481603347482,-6.751504616581535,-0.740357020711822,-3.670293016930511,-8.588203905829916,15.610884737612214,36.691493384355454,17.374804679238675,-16.28321049224968,-18.938684542268163,-15.925436491443833,-6.452434879189863,-14.823050237046044,-18.780515986133103
A1,45,2,11.453325808988561,-37.58607291041275,-73.49152769139856,-7.65499896467841,28.094934984431347,58.27936714397192,-2.638456110939508,-21.74548423667149,-42.01557319176437,-48.040347279321594,-110.44650430424777,-164.0913527992045,42.77555957642503,84.63818815615946,132.55592454821712,-49.66628110543663,-71.39539214956713,-98.02145785317643
A1,47,2,3.150760114745822,-3.2533823860977256,-6.6243380469910615,0.40827727826460736,4.739078166541732,8.615065125823929,-1.7172277795319042,0.26045121028258655,1.4518841925853119,-12.961065224795211,-6.492810378334431,-13.409304361514575,8.926355077299492,15.288976568271721,20.021499835066663,-5.297413617169306,-1.3003983343926653,3.58527935346972
A1,48,2,3.5501790570360354,-2.138895310503324,-1.5254038687250173,0.2505758015355076,4.166984971364696,8.027789952080685,-0.9095378206627339,2.004944666143685,5.603564669966149,3.1538445847069414,1.0651204398817338,-5.303273212650318,9.22987083390147,13.51285446557225,18.446367142587405,5.993171845276206,4.968402770891426,14.000702529361401
A1,49,2,-11.715121492469802,13.027617978889712,27.48742951039663,1.137697363285634,-8.691700073466055,-19.121653505818827,4.212482706679652,-3.816879797115267,-9.217918471125868,0.7036365468477211,31.28421078121451,61.576149722915325,-17.715150344735754,-28.13095916261044,-43.86274733965607,-4.458991463374715,-8.079350290372867,-21.029887765921163
A1,50,2,-0.7605401178991296,-8.57818138474957,-14.625478966887476,-0.016262733173888322,8.23881734356132,14.196815204338387,12.241298176809636,18.230623878097305,28.81516812582598,-2.0716329673932328,-29.053700192471368,-32.86239130708143,13.66223780910179,25.67324824941679,31.93409934539952,58.57356112647197,66.3445776927389,68.1914143417873
A1,51,2,62.68071551937364,52.07348160749978,62.06481102068942,-40.35535386674593,-36.628115445301354,-45.53476354793446,-6.229861828898645,-18.567082586867542,-30.10351385821097,176.25054057015157,215.7788093911466,146.64365331426936,-129.8491910000175,-145.06349046861394,-108.56386535232697,-40.03081246929625,-63.012044254524504,-69.63010913695135
A1,52,2,30.999434539786417,244.8781026476541,433.46422933406143,-8.503619282893775,-217.52848923743642,-394.24015165051384,17.48317241130622,21.1591475048624,38.34838265512917,469.0493331309229,802.0986985956838,989.1698089604984,-395.9133933996714,-696.9456793127957,-897.4696417837355,81.41829954816316,82.81583487783622,92.50837763267327
A1,53,2,26.139838354015946,211.8888104227589,369.9189291380772,-17.71440746683675,-190.00590307226474,-336.9410930439129,12.487537018513892,36.565952072874595,62.381904974719596,399.0574761175312,692.3636203501324,841.3107226530487,-354.89882133914693,-615.6386342514128,-767.8193978467056,91.86802774421615,124.880085627361,144.92440380707535
A1,54,2,24.933233504090207,147.53208588333854,255.07340538026492,-21.919574124743566,-123.90838754839925,-217.00796956087726,-24.71394730104311,-96.82386141760404,-170.2798951277246,294.194003515763,485.382026892387,583.898389311469,-253.90002877350835,-410.5092739637379,-496.18507006296323,-211.41526251809802,-330.25527427512753,-390.57340412748323
A1,55,2,-0.7476033064089793,17.368004235442772,27.92550179023408,-4.960477974675496,-9.448087033702079,-12.95726958125253,-14.708972746284113,10.336333822740823,16.536484633871126,8.112770280327808,56.50240630755623,60.48996702514051,-22.211711515611714,-33.881131318827535,-28.673262440394485,-20.128808734316227,20.30135192753098,29.939923654908466
A1,56,2,1.1951014685910981,30.594435782586775,61.163431876430714,4.27678155155959,-22.30709182100601,-43.072277102305776,-0.06905730138012052,18.231787093897477,28.295520429381487,65.17880218768637,100.93938150315712,139.4587943842137,-29.05807314835646,-67.38945996244723,-97.69569646106117,19.392612588568642,55.365339232047894,63.19619723037435
A1,57,2,-11.147926658788649,-1.020578566140959,34.96766614868253,-5.477324306706473,4.450411394971576,10.431496126873263,-0.1696013428800386,-1.902988916809095,-5.376107192285498,12.614001751388255,14.443243861255159,79.25495331859497,-0.7581933712352693,10.266070972818433,22.68421522263721,-4.555690543772187,-7.070754128302098,-13.084582277810979
A1,64,3,28.926394491592227,-65.58245849226283,-138.92257181704463,-9.97283229244672,54.64442607840222,110.69917625767485,-19.1348614863599,-5.218760798036045,6.252295823478503,-104.79687785251502,-183.86596386244298,-315.8971831842035,90.37206093127597,169.08544055974858,252.04482079524078,-33.97175952410288,-28.335663751153756,14.451817905032087
A1,65,3,7.1395591847415,-7.837574713733239,-16.35553976712732,-0.7258505867225246,8.62681931326048,20.569139717136213,-1.5134389769424552,1.3793914812700403,2.9127453301565005,-10.078258493356383,-16.77210994129123,-35.86215033799755,18.35794552158593,29.472506621462205,47.98558004970703,-0.23502714233856647,2.369509860830185,6.843042994009522
A1,66,3,35.888781978971615,-3.3614166439861024,-28.071723587745325,-25.034068164220276,-0.5953982715203905,17.0256167042022,-1.8602143125483532,14.543803077333541,28.032856308948425,57.34483165183793,12.948508014950296,-60.24051002960089,-33.20066260678707,-18.220586109477264,37.43571407485154,25.972696509974714,43.72496665612966,64.70400629972035
A1,67,3,-1.0472003073955516,-22.36500328958391,-40.764078678495714,4.156992611628819,19.87473927848084,36.55670108407164,-1.8103140437784997,0.5113114839831299,-1.083944106112284,-45.45807638754145,-73.43109361734477,-91.17316657720991,45.62615141537119,67.58669036571801,84.22775936114854,-1.1377006120149424,-2.5572624594977764,-2.375433503785219
A1,68,3,8.54445507880228,-10.789436786070578,-0.23186116639672383,0.0009702767772999544,-1.3549904396191383,-3.177167305931232,-2.8799308486630464,1.699214426392747,3.021242059760732,3.7212187614055643,-6.765000267193139,1.4078622067781632,-1.9360664449763783,-5.406407293848405,-6.697088403896288,-0.7210352205880294,2.799031232167902,5.931243072381748
A1,69,3,0.4790795530743031,-4.980143968276366,10.219688723452371,-0.32704495676325507,0.47304865244229055,1.7172423477821883,-10.096084810334794,-2.2434293279595767,-3.9829231857714453,1.9566549791924557,1.0490745448128973,24.97415917605189,0.257789199964079,1.4042350824224332,4.113710194325987,-35.44204575515555,-14.97862465664908,-12.252516093446282
A1,70,3,-8.915297774164005,14.158235222267876,32.573252704913855,11.585306599359827,-9.90786582773675,-26.524607273296066,-0.3742568591880382,-3.2229022428863505,-4.080219314201465,9.66799776760671,41.989834622964494,72.20891756804154,-6.002438079021718,-23.390818344697777,-59.997248544056724,-2.5876102781657555,-10.565768111118434,-8.378430937002706
A1,71,3,5.1854868135031955,-14.672003526009176,-26.194229669561704,-4.989339609801397,7.745325310604173,17.25465665476744,-3.0284970917569134,-0.07944749354833741,1.0019574686438004,-24.945314002498982,-34.515412181830705,-62.04939430079761,8.419781620803175,21.246834761626868,38.70675497433244,-5.225293020928683,-3.311749132889103,2.052685993855066
A1,72,3,4.126314089053121,-18.051779442445696,-41.33693032622463,-3.477096068089974,16.17564122381122,34.70145171159955,0.8170797377146517,2.0226868375758045,5.459585589585165,-29.68137884903424,-61.748786251405605,-92.94952363811946,28.75339183231217,50.616379454939654,79.22272627893959,6.296835087610274,7.629979792368616,14.031402493696683
A1,73,3,-12.278228953300877,3.868499389134116,9.311343156064245,8.877621600242925,-2.4849049282844673,-9.863566432078958,3.3991978912675784,1.03725812847312,2.0537562571048635,-29.02271168050753,4.044092779540809,17.29598104931856,8.02608031864243,-1.5370562845831266,-21.546310887541484,10.038654171533326,5.572297999072591,6.215878425328886
A1,74,3,18.36971118510254,-51.77258306945117,-115.03510130182258,-23.885356816977797,41.94955964231356,95.58689567266138,-1.884339964666138,15.86943526715252,32.72674848060214,-79.27361593960954,-156.81090345088,-261.7034048322487,46.95038925310543,118.8934633535754,216.13445083221245,30.29235665231086,50.68734940300858,74.45010328080556
A1,75,3,-15.380233648271076,-6.129573438669317,-1.4349759845514634,9.426848177000863,9.455567656232759,9.421800329357382,-5.447085936646564,10.065425651617876,27.200882144460543,-27.53099319439534,-28.18542605062483,-7.022273366543363,26.217766371583156,34.98534967600933,22.097811072438045,16.742540093181166,31.225085559106258,62.81806801108643
A1,76,3,-9.517279224404662,-29.708051941252485,-54.12801670704719,1.7117412077378527,26.029299945601434,47.46084199809498,0.7714232755481238,4.684130152661777,3.3527772688317365,-67.14075835605898,-101.06275268141853,-127.80283761437892,47.90237698529308,85.5147652659053,107.86892293752533,6.36737046756069,11.49689001204645,6.645624501929577
A1,84,4,0.5662554182895208,-79.01557993864928,-140.7619647971335,-14.575284551308291,57.65310209159429,119.42682731319391,-9.341169281292728,18.98220219093934,42.23182508392046,-143.4811839410244,-241.75800009890997,-324.1569639912552,91.0497301048341,174.6421872162537,271.99772353949237,23.498350547405014,55.35970271398581,95.76481634798425
A1,85,4,32.34456879388993,-35.151374450079295,-89.43844307004062,-19.92854703254291,31.420660181962855,73.56420602764814,12.896230351882318,-23.684851648229944,-51.07861868633396,-33.91490166168109,-86.45992460673658,-205.3217153112879,31.606085005097565,88.4261287592343,166.2006714054437,-23.055671476383655,-67.56214118312734,-113.7210226294189
A1,86,4,13.435942255692824,-3.2601740406145856,-16.064479569368338,-6.652326730925113,6.368967797409448,15.8830768128579,4.0365688565156574,8.069401209640612,15.025521972099352,57.204121723942826,-6.065279201663497,-34.80626140523805,1.1515866093009721,16.009785664114187,35.36542060463434,20.496593645312505,29.391992015808484,35.56829264529482
A1,87,4,6.774740503279831,4.004184226503888,4.708843007916562,-1.5515508791014667,-4.63722570574355,-6.196537956490656,0.6267775401173323,-5.553086821664342,-10.91262875430981,9.357274476879368,17.504105201005782,13.076702521429786,-10.163707358962611,-15.124966900445058,-13.711518045755287,-13.597630190783764,-16.55847275058567,-25.219819131915663
A1,89,4,-1.0131372828484624,21.209394446432565,62.172098341759316,3.718141562940892,-19.29358002959836,-38.96615263033328,1.836722963977173,-9.071679067360032,-21.521491793625074,43.02551463433605,89.40017013934636,139.96198382720544,-31.657728368862657,-59.45845388614405,-88.87759586324721,-18.14150988374547,-30.139892944606736,-48.370112354070294
A1,90,4,-12.875728127203395,-1.3037875923142481,3.4074515332801467,2.6555596641777615,4.436374020519067,8.053420281037305,-3.6696780063048644,-2.5315883748364665,-5.4896144704585295,-23.794024655136965,-14.671703244098211,5.307150667263251,12.505350656574427,16.66791762704168,18.831331278463157,-12.844687784153654,-12.91411787228784,-12.312524037406163
