dataset,observed_BA,p_raw,permutations,null_mean,null_95,p_holm
A1,0.5254464285714285,0.335,999,0.49731204418704417,0.5982142857142857,0.9750000000000001
A2,0.607232968881413,0.062,999,0.4994978157299436,0.6152228763666947,0.248
B1,0.5243697478991597,0.325,999,0.49823647176588354,0.5966386554621849,0.9750000000000001
B2,0.5358952702702703,0.327,999,0.49688413075237403,0.6078969594594592,0.9750000000000001
