dataset,channel,N100_amp,N100_lat_ms,N100_fwhm_ms,N200_amp,N200_lat_ms,N200_fwhm_ms,P300_amp,P300_lat_ms,P300_fwhm_ms,R2,RMSE
VisualCogA_Task-1,Fz,-1.2600972937289125,129.96601279230046,23.550059798490643,-1.415775704158947,243.17811712580868,40.639640514440664,7.114336436645399,339.6382002901055,97.0691093919585,0.5366357012867287,1.9642259357212426
VisualCogA_Task-1,F3,-4.387196506840572,122.29966900156889,65.51583872553049,-6.574920446556371,238.83904614391548,85.94788499995475,7.272269619150644,294.8589466657974,353.24999999999886,0.9637315847013668,1.0148478559655854
VisualCogA_Task-1,F4,-4.08332789153871,131.29351385422513,34.60508088637691,-10.108171001793869,249.0442722997356,118.05584163754428,11.66820765192944,250.00000000000003,271.62291304615786,0.9617973774246095,1.7461256917417332
VisualCogA_Task-2,Fz,-22.574103400016995,87.0488018882456,124.9205920006098,-34.24256986360958,259.99999999999994,188.39999999999998,1.1753193215060984e-20,519.9999999999054,353.24999999884193,0.6783574382198914,17.117179823672316
VisualCogA_Task-2,F3,-24.665145187635574,80.00000000003712,101.40850848375868,-56.18616392688902,238.6305412815516,188.399999293773,3.0788421918717243e-14,519.9999999673611,353.2499998047435,0.9390927108919224,7.627758546050378
VisualCogA_Task-2,F4,-26.61174030329016,80.00000000000001,91.16943815035482,-149.99999999999997,259.99999999999994,188.39999999999998,119.48397131672242,258.76107445558495,147.3592513097419,0.7084228339148293,18.618650077784707
VisualCogB_Task-1,Fz,,,,,,,-22.449148397919338,250.0,100.0,0.85,1.3354035572801175
VisualCogB_Task-1,F3,-0.7347587108953036,179.9985695690705,35.18479140428157,-3.0198808620518656,242.688053094678,94.86866897322467,2.410179552264756,340.812131158679,47.10000000000001,0.28703389059738116,4.62697088931988
VisualCogB_Task-1,F4,-3.902176756386958e-29,144.3014546379393,24.864473033741948,-6.977828763045744e-22,180.29329599733262,35.37585039479982,4.786467228486845,299.22249956347054,98.15268340870986,0.26915838490408706,7.609463171530246
VisualCogB_Task-2,Fz,-34.066899975215634,88.35278115940265,141.29999996740165,-47.32987930762404,259.99999999927275,188.3999999990536,2.9465794376597075e-12,519.9999999972098,353.2499995613229,0.639774737678136,23.24290423948687
VisualCogB_Task-2,F3,-6.9586431689592585,80.00000000000001,62.7510736498232,-59.077561614663594,259.99999999999994,188.39999999999998,52.32500489254476,282.6252809253886,118.66458644263862,0.8119693096804372,9.046710807422945
VisualCogB_Task-2,F4,-44.563125963656,80.0000000062542,141.29999813070825,-149.9999999999977,259.99999999946846,188.39999999987444,134.69061035178288,252.91834232152422,134.59462520690965,0.585198576771681,29.814730451291883
