model,n,BA,AUC,balanced_logloss,p_raw,p_maxT_three
post_9,275,0.5408730158730158,0.5596296296296296,0.8111707922571225,0.1055,0.303
post_residual_9,275,0.5419312169312169,0.5460317460317461,0.8004209474338286,0.1245,0.2875
pre_9,275,0.564021164021164,0.5957671957671957,0.7182957632586402,0.035,0.087
