iteration,model,n,BA,AUC,balanced_logloss
1,post_9,275,0.4023809523809524,0.34058201058201054,0.7394007472290335
1,post_residual_9,275,0.5085978835978836,0.5122222222222221,0.7872273617727044
1,pre_9,275,0.49378306878306877,0.5282010582010582,0.7177496587798022
2,post_9,275,0.4992063492063492,0.4921693121693121,0.734108736010017
2,post_residual_9,275,0.5015873015873016,0.5408465608465609,0.7469423956687196
2,pre_9,275,0.4548941798941799,0.41354497354497355,0.7300022635152713
3,post_9,275,0.5567460317460318,0.5703703703703704,0.7658153571203375
3,post_residual_9,275,0.5455026455026455,0.5459259259259259,0.7360237473959219
3,pre_9,275,0.5174603174603174,0.5260317460317461,0.7377650308426213
4,post_9,275,0.5084656084656085,0.5066666666666667,0.7503521622800322
4,post_residual_9,275,0.5161375661375661,0.5305291005291005,0.756839966073142
4,pre_9,275,0.5326719576719576,0.5076719576719577,0.7211750393675833
5,post_9,275,0.47896825396825393,0.45084656084656083,0.7362114785460777
5,post_residual_9,275,0.45079365079365075,0.43042328042328043,0.7260873735804902
5,pre_9,275,0.4976190476190476,0.5121693121693122,0.7229382044346772
6,post_9,275,0.45859788359788356,0.4825925925925926,0.7559796112362587
6,post_residual_9,275,0.5197089947089947,0.5213756613756614,0.784003028709191
6,pre_9,275,0.4677248677248677,0.4805291005291006,0.7221603854664007
7,post_9,275,0.46732804232804237,0.4303174603174604,0.7545575136977285
7,post_residual_9,275,0.5021164021164021,0.5056084656084656,0.7932905208014585
7,pre_9,275,0.5214285714285714,0.5340211640211641,0.7236251145443788
8,post_9,275,0.43187830687830686,0.40714285714285714,0.7434310396194879
8,post_residual_9,275,0.39616402116402116,0.3517460317460317,0.7334190518161774
8,pre_9,275,0.42103174603174603,0.42920634920634926,0.7321562999403767
9,post_9,275,0.525,0.5225396825396825,0.760715874225236
9,post_residual_9,275,0.47989417989417993,0.4673544973544974,0.749821773294546
9,pre_9,275,0.555952380952381,0.5753439153439153,0.6911224872682861
10,post_9,275,0.5162698412698412,0.5033333333333333,0.7435248821008205
10,post_residual_9,275,0.5412698412698412,0.5525925925925925,0.7445520652997246
10,pre_9,275,0.5125661375661376,0.47640211640211644,0.7139093587372876
11,post_9,275,0.5436507936507937,0.5561375661375662,0.7831668919291795
11,post_residual_9,275,0.5714285714285714,0.5647619047619047,0.8067189871866657
11,pre_9,275,0.48928571428571427,0.4757142857142857,0.7275630420420762
12,post_9,275,0.5095238095238095,0.5402645502645502,0.7283972299987814
12,post_residual_9,275,0.5128306878306879,0.5204761904761905,0.7421308291128437
12,pre_9,275,0.531084656084656,0.5147619047619048,0.717052085090558
13,post_9,275,0.5198412698412698,0.5168253968253969,0.7377524940343352
13,post_residual_9,275,0.5126984126984127,0.5256084656084656,0.7918936568603272
13,pre_9,275,0.5740740740740741,0.5941269841269842,0.7230659238546873
14,post_9,275,0.5005291005291005,0.4691005291005291,0.7548896721979832
14,post_residual_9,275,0.4386243386243386,0.4162962962962963,0.7596957346181906
14,pre_9,275,0.46150793650793653,0.4394179894179895,0.7277139591645658
15,post_9,275,0.48134920634920636,0.4900529100529101,0.750412454085601
15,post_residual_9,275,0.5052910052910052,0.48529100529100533,0.7448824324404864
15,pre_9,275,0.4707671957671958,0.4144444444444444,0.7352336664666683
16,post_9,275,0.4906084656084656,0.4886772486772487,0.7439636907558184
16,post_residual_9,275,0.5382275132275132,0.5321693121693122,0.7562305891408871
16,pre_9,275,0.49933862433862436,0.5120634920634921,0.7237859945888157
