dataset,model,MSE,zero_MSE,S_delta,RMSE
A1,prestim_only_polynomial,108.94401284578313,92.94991540486582,-0.17207221083796753,10.437624866116963
A2,prestim_only_polynomial,148.1492806122618,117.06745599318347,-0.26550354541648313,12.171658909625336
B1,prestim_only_polynomial,188.95033214635583,188.4910438645275,-0.002436658381277823,13.745920563802041
B2,prestim_only_polynomial,263.6635253948001,259.1358572172078,-0.017472179366505802,16.237719217759622
