dataset,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
B1,2,0,-1,M0,encoding,0,205,973.961310587546,1028.0596442798471,1150.1446171810605,0.011932453125551629
B1,2,0,-1,M0,encoding,1,205,2424.369035509467,2427.5414767490415,861.3043737150209,0.030669040445160643
B1,2,0,-1,M0,encoding,2,205,305.3103052522844,275.2097722087127,1454.514898301205,0.0037867405756572565
B1,2,0,-1,M0,maintenance,0,363,1005.4600950627383,971.5772713016715,3267.8692362465126,0.012318359388127248
B1,2,0,-1,M0,maintenance,1,363,21122.800294122393,21111.310490446205,13120.17498387342,0.2672101511968684
B1,2,0,-1,M0,maintenance,2,363,1764.0833231178844,1776.3728806535803,1435.7558328932482,0.021879791751447275
B1,2,0,-1,M0,retrieval,0,284,1667.0077135848233,1673.5306624527198,7301.52865572354,0.020423287030040534
B1,2,0,-1,M0,retrieval,1,284,13284.669075118894,13291.911098313958,3125.48856440389,0.1680552948820259
B1,2,0,-1,M0,retrieval,2,284,16192.243218966567,16175.779236475131,7713.102997408106,0.20083116538600024
B1,3,0,1,M0,encoding,0,205,27223.463497175184,27073.834143808774,26492.947717736857,0.33352731629477783
B1,3,0,1,M0,encoding,1,205,58063.0423506056,58172.96910128798,45341.12129430885,0.7345159784412056
B1,3,0,1,M0,encoding,2,205,130387.83744945054,130412.34894993603,111778.51956338949,1.617190465398949
B1,3,0,1,M0,maintenance,0,362,138087.02809483974,138451.38069961197,117859.47665975617,1.691768422499673
B1,3,0,1,M0,maintenance,1,362,167043.03240702965,166856.30089315234,142390.90765913122,2.1131475620818154
B1,3,0,1,M0,maintenance,2,362,484619.85997749097,484578.61190955836,529445.2697527512,6.010703392503231
B1,3,0,1,M0,retrieval,0,254,182659.80643496657,182525.90718209045,145877.13591330728,2.2378502662418214
B1,3,0,1,M0,retrieval,1,254,177331.2764134677,177389.14204504734,130811.97823840042,2.243297125502891
B1,3,0,1,M0,retrieval,2,254,433665.30264455563,433484.35142499296,487514.28760337224,5.378717879902076
B1,4,0,-1,M0,encoding,0,205,66011.93924613507,65704.85582198881,64780.75935849698,0.8087429779999115
B1,4,0,-1,M0,encoding,1,205,37814.29750646967,37830.415592298974,27552.3255268929,0.4783629070677127
B1,4,0,-1,M0,encoding,2,205,50711.2786409042,51251.20817148876,39640.09870766429,0.6289681454227175
B1,4,0,-1,M0,maintenance,0,362,284655.77685478545,285328.6145673192,255191.16092851805,3.4874503507620602
B1,4,0,-1,M0,maintenance,1,362,46531.491909438824,46513.579505836446,34273.31392968702,0.5886381926356987
B1,4,0,-1,M0,maintenance,2,362,79444.58878499805,78740.82239533214,97220.33980925562,0.9853452133558683
