dataset,trial_id,block,gap_s,model,stage,MSE,method
B1,2,0,0.05,M0,encoding,1234.5468837830992,frozen_main_fit_common_trial_rescore
B1,2,0,0.05,M0,maintenance,7964.114570767672,frozen_main_fit_common_trial_rescore
B1,2,0,0.05,M0,retrieval,10415.933312381754,frozen_main_fit_common_trial_rescore
B1,2,0,0.05,M1,encoding,1304.6821963497164,frozen_main_fit_common_trial_rescore
B1,2,0,0.05,M1,maintenance,8255.907889519885,frozen_main_fit_common_trial_rescore
B1,2,0,0.05,M1,retrieval,9692.356786788541,frozen_main_fit_common_trial_rescore
B1,2,0,0.05,M2,encoding,1566.5059286415444,frozen_main_fit_common_trial_rescore
B1,2,0,0.05,M2,maintenance,8211.302981051544,frozen_main_fit_common_trial_rescore
B1,2,0,0.05,M2,retrieval,8144.902145557453,frozen_main_fit_common_trial_rescore
B1,2,0,0.05,M3,encoding,1297.7907308036704,frozen_main_fit_common_trial_rescore
B1,2,0,0.05,M3,maintenance,7851.9212493099685,frozen_main_fit_common_trial_rescore
B1,2,0,0.05,M3,retrieval,9143.434208573259,frozen_main_fit_common_trial_rescore
B1,2,0,0.05,M2_no_feedback,encoding,1568.0915251501838,frozen_main_fit_common_trial_rescore
B1,2,0,0.05,M2_no_feedback,maintenance,8205.250939342126,frozen_main_fit_common_trial_rescore
B1,2,0,0.05,M2_no_feedback,retrieval,8350.410071887596,frozen_main_fit_common_trial_rescore
B1,2,0,0.05,M2_no_direct_memory,encoding,1235.3558104522667,frozen_main_fit_common_trial_rescore
B1,2,0,0.05,M2_no_direct_memory,maintenance,8323.955369763979,frozen_main_fit_common_trial_rescore
B1,2,0,0.05,M2_no_direct_memory,retrieval,9351.726562456986,frozen_main_fit_common_trial_rescore
B1,3,0,0.05,M0,encoding,71891.44776574375,frozen_main_fit_common_trial_rescore
B1,3,0,0.05,M0,maintenance,263249.9734931201,frozen_main_fit_common_trial_rescore
B1,3,0,0.05,M0,retrieval,258827.45090670866,frozen_main_fit_common_trial_rescore
B1,3,0,0.05,M1,encoding,66279.1543275528,frozen_main_fit_common_trial_rescore
B1,3,0,0.05,M1,maintenance,270040.5390028676,frozen_main_fit_common_trial_rescore
B1,3,0,0.05,M1,retrieval,262649.9439788114,frozen_main_fit_common_trial_rescore
B1,3,0,0.05,M2,encoding,63438.84082317803,frozen_main_fit_common_trial_rescore
B1,3,0,0.05,M2,maintenance,268698.31016611104,frozen_main_fit_common_trial_rescore
B1,3,0,0.05,M2,retrieval,269597.879360583,frozen_main_fit_common_trial_rescore
B1,3,0,0.05,M3,encoding,69969.80841552847,frozen_main_fit_common_trial_rescore
B1,3,0,0.05,M3,maintenance,263515.8878545997,frozen_main_fit_common_trial_rescore
B1,3,0,0.05,M3,retrieval,263999.5023809964,frozen_main_fit_common_trial_rescore
B1,3,0,0.05,M2_no_feedback,encoding,63699.50063536325,frozen_main_fit_common_trial_rescore
B1,3,0,0.05,M2_no_feedback,maintenance,269872.8283206774,frozen_main_fit_common_trial_rescore
B1,3,0,0.05,M2_no_feedback,retrieval,268109.8923662799,frozen_main_fit_common_trial_rescore
B1,3,0,0.05,M2_no_direct_memory,encoding,66606.28675088125,frozen_main_fit_common_trial_rescore
B1,3,0,0.05,M2_no_direct_memory,maintenance,269575.7829772339,frozen_main_fit_common_trial_rescore
B1,3,0,0.05,M2_no_direct_memory,retrieval,261441.29215514043,frozen_main_fit_common_trial_rescore
B1,4,0,0.05,M0,encoding,51512.505131169644,frozen_main_fit_common_trial_rescore
B1,4,0,0.05,M0,maintenance,136877.28584974076,frozen_main_fit_common_trial_rescore
B1,4,0,0.05,M0,retrieval,90255.91183398257,frozen_main_fit_common_trial_rescore
B1,4,0,0.05,M1,encoding,47385.12129313111,frozen_main_fit_common_trial_rescore
B1,4,0,0.05,M1,maintenance,139602.25256897628,frozen_main_fit_common_trial_rescore
B1,4,0,0.05,M1,retrieval,90683.07985043772,frozen_main_fit_common_trial_rescore
B1,4,0,0.05,M2,encoding,46076.97665493296,frozen_main_fit_common_trial_rescore
B1,4,0,0.05,M2,maintenance,138881.5726397267,frozen_main_fit_common_trial_rescore
B1,4,0,0.05,M2,retrieval,90604.543649967,frozen_main_fit_common_trial_rescore
B1,4,0,0.05,M3,encoding,50703.35173546743,frozen_main_fit_common_trial_rescore
B1,4,0,0.05,M3,maintenance,136783.25448802576,frozen_main_fit_common_trial_rescore
B1,4,0,0.05,M3,retrieval,89418.33166435959,frozen_main_fit_common_trial_rescore
B1,4,0,0.05,M2_no_feedback,encoding,46224.01616623659,frozen_main_fit_common_trial_rescore
B1,4,0,0.05,M2_no_feedback,maintenance,139233.4214917782,frozen_main_fit_common_trial_rescore
B1,4,0,0.05,M2_no_feedback,retrieval,90482.37509203596,frozen_main_fit_common_trial_rescore
B1,4,0,0.05,M2_no_direct_memory,encoding,47369.726676968436,frozen_main_fit_common_trial_rescore
