dataset,contrast,MAE_gain,ci_low,ci_high,n_bootstraps
A2,cognitive_vs_median,0.0009386285937850311,-0.011858356294474508,0.008657721023585543,2000
A2,cognitive_vs_ordinary,-0.002688773946394917,-0.010035377803598963,0.0007583148982411303,2000
B2,cognitive_vs_median,0.0006351408076166031,-0.0032317047431913376,0.0045698676123485165,2000
B2,cognitive_vs_ordinary,0.0022740413325191004,-0.0004916607501115768,0.006217051824225221,2000
pooled,cognitive_vs_median,0.0007836096526486398,-0.005327196601564764,0.005352313913395554,2000
pooled,cognitive_vs_ordinary,-0.00015381074637408807,-0.003638096203152302,0.0026274059879354095,2000
