dataset,trial_id,block,gap_s,model,stage,MSE,method
A2,5,0,0.05,M1,retrieval,90091.12904177686,frozen_main_fit_common_trial_rescore
A2,5,0,0.05,M2,encoding,23852.72855577272,frozen_main_fit_common_trial_rescore
A2,5,0,0.05,M2,maintenance,236612.57754211352,frozen_main_fit_common_trial_rescore
A2,5,0,0.05,M2,retrieval,127460.62939917673,frozen_main_fit_common_trial_rescore
A2,5,0,0.05,M3,encoding,30975.229517515392,frozen_main_fit_common_trial_rescore
A2,5,0,0.05,M3,maintenance,194777.09588939205,frozen_main_fit_common_trial_rescore
A2,5,0,0.05,M3,retrieval,120722.59792503556,frozen_main_fit_common_trial_rescore
A2,5,0,0.05,M2_no_feedback,encoding,23852.72855577272,frozen_main_fit_common_trial_rescore
A2,5,0,0.05,M2_no_feedback,maintenance,236612.57754211352,frozen_main_fit_common_trial_rescore
A2,5,0,0.05,M2_no_feedback,retrieval,127460.62939917673,frozen_main_fit_common_trial_rescore
A2,5,0,0.05,M2_no_direct_memory,encoding,26497.823958001336,frozen_main_fit_common_trial_rescore
A2,5,0,0.05,M2_no_direct_memory,maintenance,235384.81685356633,frozen_main_fit_common_trial_rescore
A2,5,0,0.05,M2_no_direct_memory,retrieval,103344.57126470911,frozen_main_fit_common_trial_rescore
A2,6,0,0.05,M0,encoding,6355.668186058663,frozen_main_fit_common_trial_rescore
A2,6,0,0.05,M0,maintenance,19765.19047297834,frozen_main_fit_common_trial_rescore
A2,6,0,0.05,M0,retrieval,2861.615371182032,frozen_main_fit_common_trial_rescore
A2,6,0,0.05,M1,encoding,3228.789833965982,frozen_main_fit_common_trial_rescore
A2,6,0,0.05,M1,maintenance,12162.753135759353,frozen_main_fit_common_trial_rescore
A2,6,0,0.05,M1,retrieval,5549.702677209142,frozen_main_fit_common_trial_rescore
A2,6,0,0.05,M2,encoding,3115.7356439539276,frozen_main_fit_common_trial_rescore
A2,6,0,0.05,M2,maintenance,11297.65300379464,frozen_main_fit_common_trial_rescore
