dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,target_sample,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_status,target_s,response_s,rt_s,correctness,correctness_reason,timeout,timeout_reason,cue_platform_disagree,valid_events,n_platforms,n_clicks,end_s,gap_s,filter_mode,pretarget_only,filter_start_sample,filter_stop_sample,retained,reason,epoch_start_sample,epoch_end_exclusive,saturation_fraction,PTP,max_jump
A1,16,0,-1,37789,37841,0.203125,38356,platform_onset_hypothesis,38614,-1.0,,,38614,platform_end_proxy,2.21484375,3.22265625,1.0078125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.12265625,0.1,causal,False,0,47511,True,retained,37725,38589,0.0,466.18750081272225,11.337703668042082
A1,17,0,1,39897,39949,0.203125,40465,platform_onset_hypothesis,40824,1.0,,,40824,platform_end_proxy,2.21875,3.62109375,1.40234375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.52109375,0.1,causal,False,0,47511,True,retained,39833,40799,0.0,380.426445510353,8.12448667314652
A1,18,0,-1,42110,42162,0.203125,42677,platform_onset_hypothesis,42997,-1.0,,,42997,platform_end_proxy,2.21484375,3.46484375,1.25,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.36484375,0.1,causal,False,0,47511,False,block_boundary_24s_buffer,42046,42972,,,
A1,19,0,-1,44282,44334,0.203125,44849,platform_onset_hypothesis,45160,-1.0,,,45160,platform_end_proxy,2.21484375,3.4296875,1.21484375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.3296875,0.1,causal,False,0,47511,False,block_boundary_24s_buffer,44218,45135,,,
A1,20,0,1,46443,46495,0.203125,47010,platform_onset_hypothesis,47295,1.0,,,47295,platform_end_proxy,2.21484375,3.328125,1.11328125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.228125,0.1,causal,False,0,47511,False,block_boundary_24s_buffer,46379,47270,,,
A1,21,1,-1,48579,48631,0.203125,49147,platform_onset_hypothesis,49392,-1.0,,,49392,platform_end_proxy,2.21875,3.17578125,0.95703125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.07578125,0.1,causal,False,47511,90403,False,block_boundary_24s_buffer,48515,49367,,,
A1,22,1,-1,50676,50728,0.203125,51243,platform_onset_hypothesis,51571,-1.0,,,51571,platform_end_proxy,2.21484375,3.49609375,1.28125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.39609375,0.1,causal,False,47511,90403,False,block_boundary_24s_buffer,50612,51546,,,
A1,23,1,1,52856,52908,0.203125,53423,platform_onset_hypothesis,53716,1.0,,,53716,platform_end_proxy,2.21484375,3.359375,1.14453125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.259375,0.1,causal,False,47511,90403,False,block_boundary_24s_buffer,52792,53691,,,
A1,24,1,-1,55001,55053,0.203125,55568,platform_onset_hypothesis,55850,-1.0,,,55850,platform_end_proxy,2.21484375,3.31640625,1.1015625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.21640625,0.1,causal,False,47511,90403,True,retained,54937,55825,0.0,151.67931936706572,7.811983771176955
A1,25,1,-1,57133,57185,0.203125,57700,platform_onset_hypothesis,58029,-1.0,,,58029,platform_end_proxy,2.21484375,3.5,1.28515625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.4,0.1,causal,False,47511,90403,True,retained,57069,58004,0.0,831.3409571498079,9.35094338557775
A1,26,1,1,59314,59366,0.203125,59881,platform_onset_hypothesis,60125,1.0,,,60125,platform_end_proxy,2.21484375,3.16796875,0.953125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.06796875,0.1,causal,False,47511,90403,True,retained,59250,60100,0.0,343.2408731148796,11.841317470640433
A1,27,1,1,61410,61462,0.203125,61978,platform_onset_hypothesis,62292,1.0,,,62292,platform_end_proxy,2.21875,3.4453125,1.2265625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.3453125,0.1,causal,False,47511,90403,False,quality,61346,62267,0.2854920264488526,1640.263890241777,12.359186047024082
A1,28,1,-1,63575,63627,0.203125,64142,platform_onset_hypothesis,64381,-1.0,,,64381,platform_end_proxy,2.21484375,3.1484375,0.93359375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.0484375,0.1,causal,False,47511,90403,True,retained,63511,64356,0.0,465.5813132371344,22.473293960632745
A1,29,1,-1,65663,65715,0.203125,66231,platform_onset_hypothesis,66575,-1.0,,,66575,platform_end_proxy,2.21875,3.5625,1.34375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.4625,0.1,causal,False,47511,90403,True,retained,65599,66550,0.0,809.813673642326,9.272885165766724
A1,30,1,-1,67860,67912,0.203125,68427,platform_onset_hypothesis,68692,-1.0,,,68692,platform_end_proxy,2.21484375,3.25,1.03515625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.15,0.1,causal,False,47511,90403,True,retained,67796,68667,0.0,131.20162427370974,7.108672142546709
A1,31,1,-1,69976,70028,0.203125,70544,platform_onset_hypothesis,70795,-1.0,,,70795,platform_end_proxy,2.21875,3.19921875,0.98046875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.09921875,0.1,causal,False,47511,90403,True,retained,69912,70770,0.0,607.9446443524309,10.593554120468866
A1,32,1,1,72081,72133,0.203125,72648,platform_onset_hypothesis,72986,1.0,,,72986,platform_end_proxy,2.21484375,3.53515625,1.3203125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.43515625,0.1,causal,False,47511,90403,True,retained,72017,72961,0.0,182.3476031954759,10.18850276037093
A1,33,1,1,74269,74321,0.203125,74837,platform_onset_hypothesis,75138,1.0,,,75138,platform_end_proxy,2.21875,3.39453125,1.17578125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.29453125,0.1,causal,False,47511,90403,True,retained,74205,75113,0.0,110.79097446525638,13.662672640256126
A1,34,1,-1,76422,76474,0.203125,76989,platform_onset_hypothesis,77391,-1.0,,,77391,platform_end_proxy,2.21484375,3.78515625,1.5703125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.68515625,0.1,causal,False,47511,90403,True,retained,76358,77366,0.0,146.16506098643976,10.088925619740486
A1,35,1,1,78674,78726,0.203125,79241,platform_onset_hypothesis,79509,1.0,,,79509,platform_end_proxy,2.21484375,3.26171875,1.046875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.16171875,0.1,causal,False,47511,90403,True,retained,78610,79484,0.0,114.88533162696865,7.495258831453774
A1,36,1,-1,80791,80843,0.203125,81358,platform_onset_hypothesis,81646,-1.0,,,81646,platform_end_proxy,2.21484375,3.33984375,1.125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,0,3.23984375,0.1,causal,False,47511,90403,False,quality,80727,81621,0.24417670682730924,1083.7960630468965,12.581197794470881
