dataset,stage,control,S_cog,ci_low,ci_high,n_blocks,n_bootstraps
A2,encoding,M0,0.053290936892899876,-0.030663113862423375,0.23716667533897165,5,2000
A2,encoding,M1,-0.0030747718540184987,-0.00922392355192092,0.014865074522657479,5,2000
A2,encoding,M3,0.016476134348582305,-0.01245776510034946,0.0991434633835595,5,2000
A2,encoding,M2_no_feedback,0.0012855368022243185,0.0,0.004263025647278762,5,2000
A2,encoding,M2_no_direct_memory,0.001597704218674334,-0.008185659287245572,0.03206407096340058,5,2000
A2,maintenance,M0,0.0029624858738046544,-0.027817660532114173,0.02784879500084758,5,2000
A2,maintenance,M1,-0.013647881051004562,-0.0282447745870249,-0.0006399004966310962,5,2000
A2,maintenance,M3,0.0012669533738085548,-0.03847993218411094,0.03499411681849185,5,2000
A2,maintenance,M2_no_feedback,0.0003795078743147329,-0.0004682299083731467,0.001491108121497553,5,2000
A2,maintenance,M2_no_direct_memory,-0.015437428433877631,-0.028042627588977496,-0.004572779669361315,5,2000
A2,retrieval,M0,0.006586273834649492,-0.053151153734440904,0.048182190739306185,5,2000
A2,retrieval,M1,-0.00034476475092981573,-0.0324449890155738,0.020330485861243086,5,2000
A2,retrieval,M3,-0.02370605001413484,-0.03457044381274588,-0.010605245952206577,5,2000
A2,retrieval,M2_no_feedback,0.00017343840985473147,0.0,0.00045616183406060884,5,2000
A2,retrieval,M2_no_direct_memory,0.0008652193681858433,-0.021448005052595365,0.01761740694283631,5,2000
