dataset,model,stage,MSE,zero_MSE,baseline_MSE,normalized_MSE,RMSE,NRMSE,S_zero,S_train_baseline,n_trials
A1,M0,encoding,14247.08045494314,14101.802634763324,14074.293121942592,0.2902090811952596,119.3611346081426,0.5387105727524378,-0.010302074418605311,-0.012276803637915057,65
A1,M0,maintenance,66420.7892140591,66262.2424471788,70149.22938719629,1.3302504604729655,257.72231027611696,1.1533648427418643,-0.0023927165913029125,0.053150123040663244,65
A1,M0,retrieval,80317.83847775742,79958.28338089834,82426.64834710919,1.7352053734438502,283.40401986873337,1.3172719436182683,-0.0044967835933429345,0.025584078834205437,65
A1,M1,encoding,14475.138135799085,14101.802634763324,14074.293121942592,0.2933647222531545,120.31266822657989,0.5416315373509509,-0.026474310462651474,-0.02848064981903442,65
A1,M1,maintenance,66980.36727717887,66262.2424471788,70149.22938719629,1.3393663324331846,258.8056554196196,1.1573099552121655,-0.01083761737421618,0.04517315639387198,65
A1,M1,retrieval,81479.59442130956,79958.28338089834,82426.64834710919,1.7542428670923504,285.44630742279634,1.3244783377210632,-0.019026309421428245,0.011489657104720052,65
A1,M2,encoding,14554.750153037312,14101.802634763324,14074.293121942592,0.2948449162298661,120.64306922918246,0.5429962396093237,-0.03211983106027838,-0.03413720511090257,65
A1,M2,maintenance,67245.36398188911,66262.2424471788,70149.22938719629,1.3447754242915313,259.3171108544307,1.1596445249694112,-0.01483682861312774,0.04139554248385224,65
A1,M2,retrieval,83045.15522662009,79958.28338089834,82426.64834710919,1.7792512228985664,288.17556320170536,1.333885760812584,-0.03860602948435976,-0.007503724728758598,65
A1,M3,encoding,14268.884054980676,14101.802634763324,14074.293121942592,0.2910693708024914,119.45243427817064,0.5395084529481363,-0.01184823136054014,-0.013825982687166505,65
A1,M3,maintenance,67881.28809019933,66262.2424471788,70149.22938719629,1.3555075577934361,260.5403770823235,1.164262667010085,-0.024433909617700644,0.03233023821942227,65
A1,M3,retrieval,82965.89729859379,79958.28338089834,82426.64834710919,1.7786844291137944,288.0380136346482,1.3336732842468557,-0.037614788493745444,-0.006542167639933094,65
A1,M2_no_feedback,encoding,14555.353851382171,14101.802634763324,14074.293121942592,0.2948403389967302,120.645571205006,0.5429920248003005,-0.0321626410726219,-0.034180098799390546,65
A1,M2_no_feedback,maintenance,67263.16661964635,66262.2424471788,70149.22938719629,1.3450514061481804,259.3514345818167,1.1597635130267638,-0.015105498025748787,0.04114176011285886,65
A1,M2_no_feedback,retrieval,82855.77106296302,79958.28338089834,82426.64834710919,1.776227023699423,287.8467840066361,1.3327516736809686,-0.03623749234662621,-0.005206116279855566,65
A1,M2_no_direct_memory,encoding,14452.088840296876,14101.802634763324,14074.293121942592,0.29311453574675106,120.21684091797154,0.5414005317200483,-0.02483981761807086,-0.026842962206413024,65
A1,M2_no_direct_memory,maintenance,66941.69545711298,66262.2424471788,70149.22938719629,1.3385982111105008,258.73093254791354,1.156978051265667,-0.01025399963600404,0.04572443572229401,65
A1,M2_no_direct_memory,retrieval,81983.50787837672,79958.28338089834,82426.64834710919,1.7624169818050381,286.327623324011,1.3275605379059134,-0.025328513968100097,0.00537617964115622,65
A2,M0,encoding,44436.614677503305,44697.977958956806,44431.121155594,0.5015824283761452,210.7999399371435,0.7082248430944408,0.0058473177845649316,-0.0001236413074083842,68
A2,M0,maintenance,103665.5092549778,103906.94634634843,106218.9977643507,1.2176719249262506,321.97128638277326,1.103481728406162,0.0023235895179313237,0.02403984751426358,68
A2,M0,retrieval,119818.06850126635,119659.49333398242,117714.05526161636,1.4107184779202588,346.14746640885056,1.1877367039543145,-0.0013252201130529162,-0.017873933872840198,68
A2,M1,encoding,42175.980552413435,44697.977958956806,44431.121155594,0.47202012391793274,205.36791509973858,0.6870372070841089,0.056423075980286064,0.05075587886434951,68
A2,M1,maintenance,101841.55890446779,103906.94634634843,106218.9977643507,1.1963995228481343,319.1262428952965,1.0938004949935496,0.019877279763339084,0.04121144947718636,68
A2,M1,retrieval,118820.78725030417,119659.49333398242,117714.05526161636,1.3989494417829214,344.70391243834786,1.1827719314318046,0.007009106091877992,-0.009401867824773591,68
A2,M2,encoding,42297.733028762246,44697.977958956806,44431.121155594,0.4737634023116263,205.66412674251737,0.6883047307055402,0.05369918371695792,0.04801562669014836,68
A2,M2,maintenance,103242.22563034542,103906.94634634843,106218.9977643507,1.2130022059765677,321.31328268583206,1.1013637936561052,0.006397269281567808,0.028024856161882772,68
A2,M2,retrieval,119026.8680663484,119659.49333398242,117714.05526161636,1.3961812988993088,345.0027073319112,1.1816011589784892,0.005286879043255643,-0.011152557796215046,68
A2,M3,encoding,42888.23733718078,44697.977958956806,44431.121155594,0.4823106517737536,207.09475448977645,0.6944858902625406,0.04048819889431676,0.03472529565504723,68
A2,M3,maintenance,103492.94450120027,103906.94634634843,106218.9977643507,1.2155311022644182,321.70319317843314,1.1025112708106064,0.003984351958224108,0.025664460412234802,68
A2,M3,retrieval,116311.161085647,119659.49333398242,117714.05526161636,1.3682592176114698,341.04422159838305,1.16972612931894,0.02798216969705747,0.011917813661685983,68
A2,M2_no_feedback,encoding,42355.368782158264,44697.977958956806,44431.121155594,0.47446929547170535,205.80420010815683,0.688817316472013,0.05240973493140122,0.04671843337390991,68
A2,M2_no_feedback,maintenance,103287.40841352408,103906.94634634843,106218.9977643507,1.2135791676195544,321.38358454271446,1.1016256930643704,0.005962430372645766,0.027599482319823898,68
A2,M2_no_feedback,retrieval,119047.02099330115,119659.49333398242,117714.05526161636,1.3963897118947874,345.0319130070451,1.1816893466113618,0.005118460087172427,-0.011323760180738773,68
A2,M2_no_direct_memory,encoding,42332.78146373238,44697.977958956806,44431.121155594,0.4737682474917581,205.74931704317365,0.6883082503441014,0.052915066927551546,0.04722680043371885,68
A2,M2_no_direct_memory,maintenance,101694.61650796556,103906.94634634843,106218.9977643507,1.1946686932811748,318.89593366483297,1.0930090087831732,0.02129145274858335,0.04259484039213568,68
A2,M2_no_direct_memory,retrieval,119087.62346714536,119659.49333398242,117714.05526161636,1.4017094723890005,345.0907467133035,1.1839381201688712,0.004779143308261458,-0.011668684784295946,68
B1,M0,encoding,26656.822787604524,26634.761749932135,26642.810688924143,0.3873740138312048,163.26917280247525,0.6223937771469159,-0.0008282798952554682,-0.0005259241918573743,64
B1,M0,maintenance,91461.68676122678,91434.57311776378,94087.89362133945,1.3232670145988579,302.4263327840795,1.1503334362691793,-0.0002965360097222369,0.02791227180280964,64
B1,M0,retrieval,102996.40260604846,102974.56045988796,103381.47550049225,1.5037169530242869,320.9305261361849,1.2262613722303606,-0.00021211206013371786,0.0037247765383455755,64
B1,M1,encoding,26497.803689435812,26634.761749932135,26642.810688924143,0.38549471957769527,162.78145990694338,0.620882210711255,0.005142079429213298,0.00544263145436874,64
B1,M1,maintenance,91757.4898228157,91434.57311776378,94087.89362133945,1.3268754909423155,302.9149877817466,1.1519008164517965,-0.003531669630436385,0.024768370391014982,64
B1,M1,retrieval,103090.53324884867,102974.56045988796,103381.47550049225,1.505036278172043,321.0771453231274,1.2267992004285146,-0.001126227569632432,0.0028142590365929365,64
B1,M2,encoding,26586.674333774834,26634.761749932135,26642.810688924143,0.38684787886138733,163.0542067343705,0.6219709630371721,0.0018054381942208542,0.0021069982369632534,64
B1,M2,maintenance,91885.35219941231,91434.57311776378,94087.89362133945,1.3288619489911628,303.12596754387823,1.1527627461846444,-0.004930072578432032,0.023409403028952336,64
B1,M2,retrieval,103263.25662074768,102974.56045988796,103381.47550049225,1.5072598361786629,321.3460076315679,1.2277051096165816,-0.0028035677896598443,0.0011435209177683703,64
B1,M3,encoding,26834.07920660307,26634.761749932135,26642.810688924143,0.3902027492690094,163.81110831260213,0.624662108078447,-0.007483357971897142,-0.007178991732972095,64
B1,M3,maintenance,91883.31910378223,91434.57311776378,94087.89362133945,1.3295211782265224,303.12261397622945,1.153048645212561,-0.004907837054595188,0.023431011501114263,64
B1,M3,retrieval,103195.97417196562,102974.56045988796,103381.47550049225,1.506682482096475,321.24130209542733,1.2274699516063419,-0.0021501787537505646,0.0017943381793360524,64
B1,M2_no_feedback,encoding,26566.265975879473,26634.761749932135,26642.810688924143,0.3865156189762531,162.99161320718153,0.6217038032505938,0.0025716683594076972,0.00287299691982168,64
