dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,target_sample,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_status,target_s,response_s,rt_s,correctness,correctness_reason,timeout,timeout_reason,cue_platform_disagree,valid_events,n_platforms,n_clicks,end_s,gap_s,filter_mode,pretarget_only,filter_start_sample,filter_stop_sample,retained,reason,epoch_start_sample,epoch_end_exclusive,saturation_fraction,PTP,max_jump
B2,28,1,-1,64295,64347,0.203125,64862,platform_onset_hypothesis,65160,1.0,65160,1,65160,explicit_click,2.21484375,3.37890625,1.1640625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.27890625,0.1,causal,False,47907,91728,True,retained,64231,65135,0.0,217.8398405298148,12.741780470781293
B2,29,1,-1,66447,66499,0.203125,67015,platform_onset_hypothesis,67343,-1.0,67343,-1,67343,explicit_click,2.21875,3.5,1.28125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.4,0.1,causal,False,47907,91728,True,retained,66383,67318,0.0,1215.2020466283411,17.520956739080702
B2,30,1,1,68632,68684,0.203125,69199,platform_onset_hypothesis,69559,-1.0,69559,-1,69559,explicit_click,2.21484375,3.62109375,1.40625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.52109375,0.1,causal,False,47907,91728,True,retained,68568,69534,0.0,872.5828933818991,7.59217983007693
B2,31,1,1,70844,70896,0.203125,71412,platform_onset_hypothesis,71758,1.0,71758,1,71758,explicit_click,2.21875,3.5703125,1.3515625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.4703125,0.1,causal,False,47907,91728,True,retained,70780,71733,0.0,775.2373470518395,12.42417510788141
B2,32,1,1,73045,73097,0.203125,73612,platform_onset_hypothesis,73902,1.0,73902,1,73902,explicit_click,2.21484375,3.34765625,1.1328125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.24765625,0.1,causal,False,47907,91728,True,retained,72981,73877,0.0,1663.0946825920169,14.21984231761462
B2,33,1,1,75189,75241,0.203125,75757,platform_onset_hypothesis,76087,-1.0,76087,-1,76087,explicit_click,2.21875,3.5078125,1.2890625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.4078125,0.1,causal,False,47907,91728,True,retained,75125,76062,0.0,768.8868993925928,11.733086536271173
B2,34,1,1,77369,77422,0.20703125,77937,platform_onset_hypothesis,78280,-1.0,78280,-1,78280,explicit_click,2.21875,3.55859375,1.33984375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.45859375,0.1,causal,False,47907,91728,True,retained,77305,78255,0.0,942.3409187657419,10.253842792570595
B2,35,1,-1,79566,79618,0.203125,80134,platform_onset_hypothesis,80496,1.0,80496,1,80496,explicit_click,2.21875,3.6328125,1.4140625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.5328125,0.1,causal,False,47907,91728,True,retained,79502,80471,0.0,853.6125474244238,8.252267030901322
B2,36,1,1,81783,81835,0.203125,82350,platform_onset_hypothesis,82675,1.0,82675,1,82675,explicit_click,2.21484375,3.484375,1.26953125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.384375,0.1,causal,False,47907,91728,True,retained,81719,82650,0.0,738.169469248837,12.215424866586204
B2,37,1,-1,83959,84011,0.203125,84527,platform_onset_hypothesis,84881,-1.0,84881,-1,84881,explicit_click,2.21875,3.6015625,1.3828125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.5015625,0.1,causal,False,47907,91728,True,retained,83895,84856,0.0,1089.8612917678197,11.398896084163596
B2,38,1,-1,86167,86220,0.20703125,86735,platform_onset_hypothesis,87125,1.0,87125,1,87125,explicit_click,2.21875,3.7421875,1.5234375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.6421875,0.1,causal,False,47907,91728,False,block_boundary_24s_buffer,86103,87100,,,
B2,39,1,1,88412,88464,0.203125,88979,platform_onset_hypothesis,89356,-1.0,89356,-1,89356,explicit_click,2.21484375,3.6875,1.47265625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.5875,0.1,causal,False,47907,91728,False,block_boundary_24s_buffer,88348,89331,,,
B2,40,1,1,90640,90692,0.203125,91208,platform_onset_hypothesis,91529,-1.0,91529,-1,91529,explicit_click,2.21875,3.47265625,1.25390625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.37265625,0.1,causal,False,47907,91728,False,block_boundary_24s_buffer,90576,91504,,,
B2,41,2,1,92817,92869,0.203125,93384,platform_onset_hypothesis,93692,1.0,93692,1,93692,explicit_click,2.21484375,3.41796875,1.203125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.31796875,0.1,causal,False,91728,135404,False,block_boundary_24s_buffer,92753,93667,,,
B2,42,2,-1,94977,95029,0.203125,95545,platform_onset_hypothesis,95858,-1.0,95858,-1,95858,explicit_click,2.21875,3.44140625,1.22265625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.34140625,0.1,causal,False,91728,135404,False,block_boundary_24s_buffer,94913,95833,,,
B2,43,2,-1,97142,97194,0.203125,97709,platform_onset_hypothesis,97976,-1.0,97976,-1,97976,explicit_click,2.21484375,3.2578125,1.04296875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,3.1578125,0.1,causal,False,91728,135404,False,block_boundary_24s_buffer,97078,97951,,,
B2,44,2,1,99262,99314,0.203125,99830,platform_onset_hypothesis,100213,-1.0,100213,-1,100213,explicit_click,2.21875,3.71484375,1.49609375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.61484375,0.1,causal,False,91728,135404,True,retained,99198,100188,0.0,508.23733941187345,12.10932462760104
B2,45,2,-1,101498,101551,0.20703125,102066,platform_onset_hypothesis,102392,1.0,102392,1,102392,explicit_click,2.21875,3.4921875,1.2734375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,3.3921875,0.1,causal,False,91728,135404,True,retained,101434,102367,0.0,601.5691478175745,10.9493378083896
