dataset,trial_id,block,prefix_end_s,cognitive_0,cognitive_1,cognitive_2,cognitive_3,cognitive_4,cognitive_5,cognitive_6,cognitive_7,cognitive_8,ordinary_0,ordinary_1,ordinary_2,ordinary_3,ordinary_4,ordinary_5,ordinary_6,ordinary_7,ordinary_8
A2,2,0,2.81640625,-0.012970176773949633,-0.005403436693195419,-0.05035688989457581,-0.0104896262107616,0.07653863212713251,-0.04628196439006066,-0.00017565919883622447,0.040718240198150284,-0.055789556692346774,112.91796135962012,113.06996887682723,161.3666334449037,296.3614051170609,494.47775310116185,534.5466226873476,317.53939397089675,472.8112648913335,547.3915466131563
A2,3,0,2.81640625,0.006061080598321058,0.001336575782013391,0.07865823494132443,0.01780995406080143,-0.012152005091212618,-0.006317979520200606,0.0002982453520050834,-0.0064648171575793535,-0.0076158668126674045,-7.810366923485085,-10.444245380036755,-6.715965306035909,-109.44508803926796,-158.55253351747774,-177.5332785139003,21.756377467476167,1.8485735222143709,8.92078555824025
A2,4,0,2.81640625,-0.0012788719308082289,-0.0006652641590663859,-0.0034936350610812847,0.007716600161980882,0.02889568395066194,0.07086698916806831,0.00012922212621860682,0.015372386036878202,0.0854250238059675,3.6634421421663323,-2.089427327158886,-5.167829501931015,24.603624153825635,35.89782515997499,76.87811330874315,38.21591922743026,67.32115680645526,97.56951278104368
A2,5,0,2.81640625,-0.008362372424480184,0.0003947539301383976,-0.048328237955894936,-0.03164846607937334,0.07575761064396358,-0.004272651823625811,-0.01683685490462425,0.0012686363578725724,-0.005150372381169334,127.98933621202414,229.39095981746186,228.02775967957194,357.6659672927612,475.0646469868611,481.58296413242937,288.578871606597,347.872247747797,365.6257308449702
A2,6,0,2.81640625,0.003614793626136415,0.0017882824684004313,0.08440615286460416,0.021107180458515232,-0.018203641205037178,-0.010556566947274741,0.000353460679583663,-0.00968426289401756,-0.012725177030472332,24.356980298170807,11.73893728179857,42.36065997208542,-103.93140596587342,-114.15177116890351,-96.52535663111931,4.882656801346653,6.116489316495831,43.2393506211246
A2,7,0,2.8203125,-0.005633507397255104,0.0018843245610530984,-0.05990185931085405,0.002228299259375074,0.009442343977549568,-0.0897125185527324,0.001190194395061966,0.0001662492844345368,-0.10819719767576239,4.276222109609386,14.167882425442794,-7.561221718562593,-19.870904144396487,-62.19203601774534,-108.29411372453406,136.57025908752928,218.45512956054012,160.40413641173663
A2,8,0,2.81640625,0.004330280441502705,0.005827624995629641,0.05622993999651722,0.005893592645807193,0.006599696098570366,0.11484884305514374,0.0031353672558901164,0.0001105184594707551,0.13844196384307753,41.34641009123772,44.50527315292246,55.149260910675174,-44.90671927091039,-68.65005635804238,-85.15756761472785,-49.95907034860105,-129.4729577508793,-162.0360071225965
A2,9,0,2.8203125,-0.002835806928849813,-0.000793760838857097,0.03194663760281016,0.000678710622856524,0.036885350626636046,0.055640238860404104,1.1949909435232733e-05,0.019701454995784323,0.06710454705568426,103.37204086102807,177.4886490063499,168.97839211380884,152.97691669247087,318.90815640168876,267.1185795906672,102.49445691965869,230.48752858052902,153.72570913496935
A2,10,0,2.81640625,0.002240854430333685,0.0027965289093768177,0.1569804079996842,0.0047325702443974,0.030162428555289902,0.053132524169934615,7.925158445723534e-05,0.016046289001269795,0.0640474104427305,144.4173366946632,297.4543399347353,234.6870229704164,77.50467320232576,255.84684542196297,160.76096205899154,-22.998182716741564,200.87127064178546,-28.814881303721734
A2,11,0,2.81640625,-0.01414948019864639,0.0011731887155365347,-0.0668190796361355,0.0033540952996184135,0.008915192723805483,-0.1499525277771121,0.0017843650227573876,0.00014929374792474194,-0.18075691383960585,56.7825340867292,48.210930801744695,69.24064857846494,31.281733153493185,11.335332187408845,-0.24042590759884053,204.3394475334267,357.29455269441155,267.9422429792991
A2,12,0,2.8203125,-0.006716393194040095,0.0009061891569438671,-0.011956967188605318,-0.03891658216591313,0.07586237274873175,0.015285851638017774,-0.020284077735260683,0.000980973654718969,0.01837398532600581,267.05731307759993,527.3437993452317,431.8571224668048,496.90311716436514,776.0034967556653,615.4560594783967,320.375102544631,479.88664011325807,334.2825001672338
A2,13,0,2.81640625,-0.0007650974275579194,0.00473530990245855,-0.021069513999837954,0.005423653799714513,-0.000817053826235303,0.12198395070616097,0.002885361705988734,-1.3682377011234276e-05,0.1470428194473809,41.12449810329611,59.464958750664195,-7.914397117459747,-35.255650931899986,-75.27621680019769,-181.82236719712927,-58.62643421994143,-121.28796890450626,-78.00155779979674
A2,14,0,2.8203125,0.009572756888968083,0.012125388507413074,0.17618497119631774,0.04197501372073931,-0.09695127379677936,0.4474792113643157,0.0007390448824778765,-0.05178427546549833,0.5396793833105971,-20.863379365339256,2.242234548128024,-41.95693772882037,-442.8444900321467,-300.91174279227977,-542.2594934570943,-710.3077836390919,-596.7281887823744,-849.270013174899
A2,15,0,2.81640625,-0.0010014150487017153,0.0009031210867269686,0.027133491651215185,0.016137278489954415,-0.014646719806647668,0.06790724047267677,0.0002702347399218356,-0.0077919952137564885,0.08185726107565203,28.6052801918622,23.484538815790213,30.43758899442527,-41.99797951778409,31.795660162406676,-41.60158301381944,-31.211006641295075,46.92675150780918,-14.842059836380718
A2,16,0,2.8203125,-0.007303399906101233,-0.002972466002176738,-0.041914880128843694,0.014642367268097199,0.004334627166684585,-0.15077975199971433,0.00025780495674983196,0.0023152406198430338,-0.18184693614443892,-19.413907306057197,-49.52962754525292,-36.815442555003536,-47.63880704283011,-132.3920908760329,-85.97369587547627,159.29259332358623,377.6607169872411,234.57151690575128
A2,17,0,2.8203125,0.023087730016965177,0.01095112883576293,0.11875450909509055,0.019957657476737282,-0.008708832116610677,0.391275717465963,0.01040231832142824,-0.00011261359960440115,0.4703234377377673,43.7953583559627,-0.9155440358565581,27.12605666829442,-214.42377634622824,-414.58468402477564,-336.0285343822528,-421.76046197167415,-739.783443767677,-632.9787023571582
A2,24,1,2.8203125,0.0023966919132235496,0.009874139926804856,0.006656391826361433,0.0008033012984784044,0.005661571809992259,-0.03621083182881789,0.0005482957474425897,0.0005827614454827573,-0.03904336052240674,-11.443559542627447,3.773562646246557,-11.174458077592668,-49.00365343923403,1.7396773630050382,-72.49708418363178,-88.86374326548741,-35.882467882273765,-154.2879292707466
A2,25,1,2.81640625,0.007878605461605783,0.002044203433112994,0.05546798750414579,0.007440878908572205,0.0033845675512990782,0.2068502051457172,0.0007419056246509637,0.002297701987827615,0.2229095616520022,68.47965705157387,69.34471848014914,125.36895414895949,-12.015483479412106,-22.80660220028504,26.5726285026892,25.705274947825956,24.59498280782844,45.170399022523505
A2,26,1,2.8203125,0.001250985267311043,-0.001187223150831195,-0.012988066507320348,0.010742767038381444,0.005129099672021178,0.13304698601998818,0.0011057831036819887,0.0035008825999725385,0.143454352723926,12.353255117289583,-41.21201720620125,14.094892217660432,-66.0319819272578,-188.8888029684651,-97.70562230700428,-18.940386612994708,-67.83280865528177,-23.07918248363851
A2,27,1,2.81640625,0.05018168642375917,0.017174074139805214,0.03423352360768673,0.021941928128204568,0.010995210420955944,0.008794486155172638,0.014895850389393245,0.001096296359040385,0.009477269081861117,62.56208108226583,135.7807408215234,118.83425030511611,-65.04602015812495,-206.77829259799813,-96.57722591874838,-113.08890451714352,-472.81184139796085,-228.17426334671572
