dataset,stage,control,S_cog,ci_low,ci_high,n_blocks,n_bootstraps
B2,encoding,M0,-0.05048157592301217,-0.08250385708445873,-0.018576028466766425,5,2000
B2,encoding,M1,-0.002001723347496931,-0.012483528143985678,0.006900496933864414,5,2000
B2,encoding,M3,0.0037922428824199717,-0.025733438269133664,0.03193478424412266,5,2000
B2,encoding,M2_no_feedback,0.005544560022275102,0.00035466203174316924,0.01308163522424044,5,2000
B2,encoding,M2_no_direct_memory,-0.016652566949900915,-0.022053486247240794,-0.012114804055499917,5,2000
B2,maintenance,M0,0.028540172430206567,-0.006330880559691918,0.04916001433176764,5,2000
B2,maintenance,M1,-0.015557600877386335,-0.032157337240604544,-0.003766344536685784,5,2000
B2,maintenance,M3,0.025872209376087918,0.0015595305987609054,0.05656446908869428,5,2000
B2,maintenance,M2_no_feedback,-0.0012204044505332856,-0.004334264460104764,0.0009616215629005983,5,2000
B2,maintenance,M2_no_direct_memory,-0.00988245651954589,-0.02900003017051822,0.0028934453434131813,5,2000
B2,retrieval,M0,0.12193857737712621,0.003925448398930054,0.21122798192595055,5,2000
B2,retrieval,M1,0.06271992550569372,-0.0013226413369302747,0.13197797737283912,5,2000
B2,retrieval,M3,0.002125538056840459,-0.006234723892970528,0.02268008160192103,5,2000
B2,retrieval,M2_no_feedback,0.005046462273307517,-0.0015241523481568375,0.012884596816468696,5,2000
B2,retrieval,M2_no_direct_memory,0.027560765609837667,-0.014285183703546922,0.06687110286241738,5,2000
