dataset,fold,seed,level,stage,n,candidate,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms,latency_pairs,objective
VisualCogA_Task-1,1,2027,0.0,预处理,18,中位数基线,3.969701898539267e-15,4.125932215913902e-17,4.861088017293574e-15,3.700743415417188e-17,0.0,4,6.690595823532296e-17
VisualCogA_Task-1,1,2027,0.0,V3,18,中位数基线,86.2197017069687,0.8961293669183813,41.3246980517543,3.852776924701074,34.1796875,4,1.1509287209300691
VisualCogA_Task-1,1,2027,0.0,V4,18,中位数基线,86.42469790660657,0.8982600065629778,41.32397828446367,3.7964516516174096,34.1796875,4,1.1524702001785203
VisualCogA_Task-1,1,2027,0.5,预处理,18,中位数基线,18.824001025846247,0.1956483238540263,11.555843571213119,2.7173095343725593,78.125,4,0.2839439931022393
VisualCogA_Task-1,1,2027,0.5,V3,18,中位数基线,88.12914536189845,0.9159752780011404,50.31200173707595,5.216365395554425,63.4765625,4,1.2316521918990513
VisualCogA_Task-1,1,2027,0.5,V4,18,中位数基线,88.33231598404672,0.918086943402407,50.12160460932298,5.111224749693574,63.4765625,4,1.231681620344767
VisualCogA_Task-1,1,2027,1.0,预处理,18,中位数基线,37.62195452784108,0.3910259212894193,22.917830305011513,5.561688322329313,76.171875,4,0.5679305302651189
VisualCogA_Task-1,1,2027,1.0,V3,18,中位数基线,89.63540999414077,0.9316307250112726,50.951520138642294,6.120657782324979,90.8203125,4,1.2600298886098145
VisualCogA_Task-1,1,2027,1.0,V4,18,中位数基线,89.76544814225475,0.9329822838897837,50.61425001622554,5.979162060810509,90.8203125,4,1.2581580855828542
VisualCogA_Task-1,1,2027,2.0,预处理,18,中位数基线,75.36692789281875,0.7833304458500134,46.47064340796603,12.533477982111188,85.9375,3,1.1550954970336604
VisualCogA_Task-1,1,2027,2.0,V3,18,中位数基线,90.22263139918041,0.9377340440383735,54.06345673851368,6.9115587575746025,84.63541666666667,3,1.2905255267493116
VisualCogA_Task-1,1,2027,2.0,V4,18,中位数基线,90.27002113440274,0.9382265919431151,54.15330643600587,6.729849932251352,84.63541666666667,3,1.2895964026242515
VisualCogA_Task-1,1,2039,0.0,预处理,18,中位数基线,3.969701898539267e-15,4.125932215913902e-17,4.861088017293574e-15,3.700743415417188e-17,0.0,4,6.690595823532296e-17
VisualCogA_Task-1,1,2039,0.0,V3,18,中位数基线,86.2197017069687,0.8961293669183813,41.3246980517543,3.852776924701074,34.1796875,4,1.1509287209300691
VisualCogA_Task-1,1,2039,0.0,V4,18,中位数基线,86.42469790660657,0.8982600065629778,41.32397828446367,3.7964516516174096,34.1796875,4,1.1524702001785203
VisualCogA_Task-1,1,2039,0.5,预处理,18,中位数基线,19.86451699319422,0.2064629856613362,14.659887679270607,3.463666848775643,82.03125,3,0.31864699142190583
VisualCogA_Task-1,1,2039,0.5,V3,18,中位数基线,86.73139634289228,0.9014476941807994,43.64314396702541,3.754895287562713,72.91666666666667,3,1.1672781594906212
VisualCogA_Task-1,1,2039,0.5,V4,18,中位数基线,86.78102894922081,0.901963553493777,43.58111239505829,3.8845359304678566,72.91666666666667,3,1.1688190818558455
VisualCogA_Task-1,1,2039,1.0,预处理,18,中位数基线,39.723109190262214,0.4128643916176096,29.382374625828078,5.083626631158366,82.03125,3,0.6183950435428193
VisualCogA_Task-1,1,2039,1.0,V3,18,中位数基线,88.33756184261684,0.9181414665314173,42.679269469857225,3.981519694869997,44.270833333333336,3,1.1813183233238131
VisualCogA_Task-1,1,2039,1.0,V4,18,中位数基线,88.32909858605319,0.9180535031936151,42.915441405661745,3.958973535378501,44.270833333333336,3,1.1822233584113317
VisualCogA_Task-1,1,2039,2.0,预处理,18,中位数基线,79.72907988118875,0.8286687203087364,59.55975756404623,6.921436973452072,106.4453125,4,1.2101259302258445
VisualCogA_Task-1,1,2039,2.0,V3,18,中位数基线,90.25089765285617,0.9380278309514586,41.37123121956226,3.7301782613698156,62.5,4,1.191794771353617
VisualCogA_Task-1,1,2039,2.0,V4,18,中位数基线,90.11824927504162,0.9366491425022953,41.052055962360804,3.9182951354159363,62.5,4,1.1907126032374342
VisualCogA_Task-1,1,2053,0.0,预处理,18,中位数基线,3.969701898539267e-15,4.125932215913902e-17,4.861088017293574e-15,3.700743415417188e-17,0.0,4,6.690595823532296e-17
VisualCogA_Task-1,1,2053,0.0,V3,18,中位数基线,86.2197017069687,0.8961293669183813,41.3246980517543,3.852776924701074,34.1796875,4,1.1509287209300691
VisualCogA_Task-1,1,2053,0.0,V4,18,中位数基线,86.42469790660657,0.8982600065629778,41.32397828446367,3.7964516516174096,34.1796875,4,1.1524702001785203
VisualCogA_Task-1,1,2053,0.5,预处理,18,中位数基线,20.97813667481101,0.21803745507514588,15.240282132433633,3.794884278992857,71.2890625,4,0.3366801693671304
VisualCogA_Task-1,1,2053,0.5,V3,18,中位数基线,87.8942694796872,0.9135340821785695,44.64475823223267,4.510047475743447,103.515625,4,1.1924184320266946
VisualCogA_Task-1,1,2053,0.5,V4,18,中位数基线,88.1089705824208,0.9157655902847242,44.33710813941637,4.542201857819556,103.515625,4,1.1933853491722939
VisualCogA_Task-1,1,2053,1.0,预处理,18,中位数基线,42.06869204121694,0.43724334020669736,30.228968014568807,5.800356885862619,105.46875,3,0.6546229269799564
VisualCogA_Task-1,1,2053,1.0,V3,18,中位数基线,89.221419739523,0.9273278937855064,44.60313235108127,5.943966529955556,65.10416666666667,3,1.2208994422892856
VisualCogA_Task-1,1,2053,1.0,V4,18,中位数基线,89.33164795666289,0.928473557021246,43.72928226464015,5.964398890355759,65.10416666666667,3,1.2177162651695987
VisualCogA_Task-1,1,2053,2.0,预处理,18,中位数基线,83.84892158497576,0.871488529061568,60.78494859352186,7.9147173866308265,114.58333333333333,3,1.26963650164826
VisualCogA_Task-1,1,2053,2.0,V3,18,中位数基线,91.0325732478606,0.946152220646839,48.0852118486178,6.587377439265531,33.854166666666664,3,1.2645066925007122
VisualCogA_Task-1,1,2053,2.0,V4,18,中位数基线,90.95620622703848,0.9453584956783236,47.07885264664564,6.462958688075532,33.854166666666664,3,1.2571899884116473
VisualCogA_Task-1,2,2027,0.0,预处理,18,中位数基线,9.233673180100474e-15,9.5403862108894e-17,7.077414176530199e-15,7.401486830834377e-17,0.0,2,1.3273111212739164e-16
VisualCogA_Task-1,2,2027,0.0,V3,18,中位数基线,92.45922968912193,0.9553042898427083,10.72785672570089,1.4882036842452893,0.0,2,1.0261016689812605
