dataset,level,stage,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms
VisualCogA_Task-1,0.0,预处理,6.99255373542101e-15,6.122825123198149e-17,7.744925335948343e-15,8.081498433417285e-16,0.0
VisualCogA_Task-1,0.0,V3,109.37291090757311,0.9250970212430849,51.7214520989463,10.617647531682733,20.703125
VisualCogA_Task-1,0.0,V4,82.73793211655715,0.7177601554852693,39.3764040440486,7.4234939331697225,18.1640625
VisualCogA_Task-1,0.5,预处理,19.59358374171818,0.17364614900723427,15.351014333414778,3.6262318190860006,38.4765625
VisualCogA_Task-1,0.5,V3,110.50006581078917,0.9347043408504493,54.75398924835553,11.195885570406029,42.68663194444445
VisualCogA_Task-1,0.5,V4,84.43347889577298,0.733068167057024,43.449499518235605,8.568615093156136,47.96006944444444
VisualCogA_Task-1,1.0,预处理,39.10088977666268,0.3466017258309037,30.678253679816443,6.948922378007169,72.28732638888889
VisualCogA_Task-1,1.0,V3,111.53050951807784,0.9437810173105079,56.41088204900568,12.574990684693336,70.76822916666667
VisualCogA_Task-1,1.0,V4,87.1366465246735,0.7572116152664153,47.484104447224,10.534291329038158,72.48263888888889
VisualCogA_Task-1,2.0,预处理,78.00137456755122,0.6913560165371607,60.62857266469968,13.466727677649809,86.78385416666667
VisualCogA_Task-1,2.0,V3,113.21379991124927,0.9584443636143357,59.06373604543251,13.576258766349007,50.43402777777778
VisualCogA_Task-1,2.0,V4,93.67814992837312,0.8137753161011078,56.49887568114366,13.236912875135264,60.3515625
VisualCogA_Task-2,0.0,预处理,1.258139452611267e-14,7.767014437107331e-17,1.2894080337028058e-14,4.150383740390377e-15,0.0
VisualCogA_Task-2,0.0,V3,131.93104247138007,0.8002284938478267,73.1214912101018,42.01870165724439,64.0625
VisualCogA_Task-2,0.0,V4,87.41895599169408,0.531664000932551,50.32102695229047,28.591745859397815,32.682291666666664
VisualCogA_Task-2,0.5,预处理,60.66944112492938,0.36529303906440513,47.666302430106164,16.857441698245232,63.072916666666664
VisualCogA_Task-2,0.5,V3,138.65580629678013,0.8409552819163683,75.11924785040486,45.4266656286567,82.93836805555557
VisualCogA_Task-2,0.5,V4,101.30262713843769,0.6144166527163293,59.82235675287185,32.36110886171874,64.11892361111111
VisualCogA_Task-2,1.0,预处理,121.02490565087034,0.7287740643039677,95.23596737956927,32.084133155305175,89.13194444444444
VisualCogA_Task-2,1.0,V3,141.5843384137265,0.8595437617953622,75.42954261187201,45.66101546823894,76.60590277777779
VisualCogA_Task-2,1.0,V4,119.182047299136,0.7220670405390969,73.77038214789691,36.42096951916027,68.671875
VisualCogA_Task-2,2.0,预处理,241.83088207761648,1.4563284929221223,189.65200715914514,59.273913708587465,106.17621527777779
VisualCogA_Task-2,2.0,V3,145.93744739824209,0.8867082752431978,72.50126258652155,43.69044826180646,80.15625
VisualCogA_Task-2,2.0,V4,154.62641364242415,0.933670387363734,104.4539137645797,43.34833817421764,80.60763888888889
VisualCogB_Task-1,0.0,预处理,1.0746791655469635e-14,7.406734857302898e-17,1.0383107731596793e-14,2.7552034727780968e-15,0.0
VisualCogB_Task-1,0.0,V3,110.82361629821317,0.7533493583773131,47.45531389479887,15.018998347260537,48.072916666666664
VisualCogB_Task-1,0.0,V4,67.37439289121463,0.469676233477867,28.704536933459416,6.824698761644179,28.997395833333332
VisualCogB_Task-1,0.5,预处理,36.12608367244014,0.2527718740102537,27.31041842143363,7.7755836876656685,42.6171875
VisualCogB_Task-1,0.5,V3,114.05349893473593,0.7762672184515524,50.59026921914093,15.476200508590702,63.671875
VisualCogB_Task-1,0.5,V4,73.88429717064811,0.5141257542692838,35.59398137405818,8.818339250434352,49.895833333333336
VisualCogB_Task-1,1.0,预处理,71.95854747118427,0.5035236145219818,54.20628771796473,14.553362671507013,61.809895833333336
VisualCogB_Task-1,1.0,V3,116.7598710857051,0.7943147328378759,50.46308241835704,15.815743871692323,93.22916666666667
VisualCogB_Task-1,1.0,V4,83.79105778770148,0.579641168930197,45.17980053811706,11.726011656291258,69.04513888888889
VisualCogB_Task-1,2.0,预处理,143.69125943728866,1.0055966038891806,107.50721286340314,29.04602249424538,82.87326388888889
VisualCogB_Task-1,2.0,V3,120.69657896437339,0.8214401694237987,52.12581894893333,16.32652442083213,99.22743055555556
VisualCogB_Task-1,2.0,V4,105.51164505274474,0.7227691833823762,64.62903096782775,17.182676403923377,78.19878472222221
VisualCogB_Task-2,0.0,预处理,1.641145330598406e-14,7.725154584085072e-17,1.387365007225258e-14,4.5907722068250225e-15,0.0
VisualCogB_Task-2,0.0,V3,190.34722378233562,0.8775361150643861,81.81733972068632,45.2957710313849,85.10416666666667
VisualCogB_Task-2,0.0,V4,131.84509632751306,0.5925753654402502,67.9859680512871,31.185316608649305,20.442708333333332
VisualCogB_Task-2,0.5,预处理,70.91429376124879,0.32652152826136066,51.614984621823915,18.885805082213775,45.794270833333336
VisualCogB_Task-2,0.5,V3,194.05780731588308,0.8950032541744328,87.50652303135982,46.149678155019984,102.60850694444444
VisualCogB_Task-2,0.5,V4,140.6310041909089,0.6346656412447749,80.14322688791448,31.748327040510663,75.98090277777779
VisualCogB_Task-2,1.0,预处理,141.21266756694774,0.6501629040722932,102.86398840448791,36.6180284971146,64.41840277777779
VisualCogB_Task-2,1.0,V3,197.5321571738107,0.9117083619386472,90.06921910046704,46.74814205042656,101.97048611111111
