dataset,trial_id,block,cue,onset_sample,duration_ms,filter_start,filter_end,prestim_start,prestim_end,retained,reason
B1,75,3,1,163678,203.125,132743,175474,157470,163678,True,retained
B1,76,3,-1,165814,203.125,132743,175474,159606,165814,True,retained
B1,77,3,-1,167982,207.03125,132743,175474,161774,167982,True,retained
B1,78,3,-1,170139,203.125,132743,175474,163931,170139,False,boundary
B1,79,3,1,172279,207.03125,132743,175474,166071,172279,False,boundary
B1,80,3,-1,174416,203.125,132743,175474,168208,174416,False,boundary
B1,81,4,-1,176533,203.125,175474,223005,170325,176533,False,boundary
B1,82,4,1,178705,203.125,175474,223005,172497,178705,False,boundary
B1,83,4,-1,180846,203.125,175474,223005,174638,180846,False,boundary
B1,84,4,-1,183022,203.125,175474,223005,176814,183022,True,retained
B1,85,4,1,185123,203.125,175474,223005,178915,185123,True,retained
B1,86,4,-1,187267,203.125,175474,223005,181059,187267,True,retained
B1,87,4,-1,189368,203.125,175474,223005,183160,189368,True,retained
B1,88,4,1,191616,203.125,175474,223005,185408,191616,False,quality
B1,89,4,-1,193777,203.125,175474,223005,187569,193777,True,retained
B1,90,4,-1,195873,203.125,175474,223005,189665,195873,True,retained
B1,91,4,1,198018,203.125,175474,223005,191810,198018,True,retained
B1,92,4,1,200134,207.03125,175474,223005,193926,200134,False,quality
B1,93,4,-1,202259,203.125,175474,223005,196051,202259,True,retained
B1,94,4,1,204367,207.03125,175474,223005,198159,204367,True,retained
B1,95,4,-1,206496,203.125,175474,223005,200288,206496,True,retained
B1,96,4,1,208557,203.125,175474,223005,202349,208557,True,retained
B1,97,4,-1,210653,203.125,175474,223005,204445,210653,True,retained
B1,98,4,1,212806,203.125,175474,223005,206598,212806,True,retained
B1,99,4,1,214962,203.125,175474,223005,208754,214962,True,retained
B1,100,4,1,217063,203.125,175474,223005,210855,217063,False,boundary
B2,1,0,-1,5134,207.03125,0,47907,-1074,5134,False,boundary
B2,2,0,-1,7347,203.125,0,47907,1139,7347,True,retained
B2,3,0,-1,9611,203.125,0,47907,3403,9611,True,retained
B2,4,0,1,11871,207.03125,0,47907,5663,11871,True,retained
B2,5,0,-1,13996,203.125,0,47907,7788,13996,True,retained
B2,6,0,1,16161,203.125,0,47907,9953,16161,True,retained
B2,7,0,1,18321,203.125,0,47907,12113,18321,True,retained
B2,8,0,1,20498,203.125,0,47907,14290,20498,True,retained
B2,9,0,1,22630,203.125,0,47907,16422,22630,True,retained
B2,10,0,-1,24759,203.125,0,47907,18551,24759,True,retained
B2,11,0,1,26927,203.125,0,47907,20719,26927,True,retained
B2,12,0,1,29131,207.03125,0,47907,22923,29131,True,retained
B2,13,0,1,31372,203.125,0,47907,25164,31372,True,retained
B2,14,0,1,33576,207.03125,0,47907,27368,33576,False,quality
B2,15,0,1,35809,203.125,0,47907,29601,35809,True,retained
B2,16,0,1,38033,203.125,0,47907,31825,38033,False,quality
