dataset,block,features,n,Accuracy,BA,Precision,Recall,F1,AUC,TN,FP,FN,TP
B2,1,amplitude,14,0.6428571428571429,0.6428571428571428,0.6,0.8571428571428571,0.7058823529411765,0.6122448979591837,3,4,1,6
B2,1,covariance,14,0.35714285714285715,0.3571428571428571,0.375,0.42857142857142855,0.4,0.3469387755102041,2,5,4,3
B2,1,mechanism,14,0.42857142857142855,0.42857142857142855,0.4444444444444444,0.5714285714285714,0.5,0.326530612244898,2,5,3,4
B2,1,past_only,14,0.5,0.5,0.5,0.5714285714285714,0.5333333333333333,0.5510204081632653,3,4,3,4
B2,1,peak_latency,14,0.35714285714285715,0.3571428571428571,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.3877551020408163,3,4,5,2
B2,1,post_given_past,14,0.35714285714285715,0.3571428571428571,0.4,0.5714285714285714,0.47058823529411764,0.3673469387755102,1,6,3,4
B2,1,previous_cue,14,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,3,4,4,3
B2,1,spatial,14,0.42857142857142855,0.42857142857142855,0.4444444444444444,0.5714285714285714,0.5,0.3877551020408163,2,5,3,4
B2,2,amplitude,11,0.45454545454545453,0.43333333333333335,0.3333333333333333,0.2,0.25,0.43333333333333335,4,2,4,1
B2,2,covariance,11,0.5454545454545454,0.55,0.5,0.6,0.5454545454545454,0.4,3,3,2,3
B2,2,mechanism,11,0.18181818181818182,0.16666666666666666,0.0,0.0,0.0,0.2666666666666667,2,4,5,0
B2,2,past_only,11,0.6363636363636364,0.6166666666666667,0.6666666666666666,0.4,0.5,0.4666666666666667,5,1,3,2
B2,2,peak_latency,11,0.18181818181818182,0.16666666666666666,0.0,0.0,0.0,0.30000000000000004,2,4,5,0
B2,2,post_given_past,11,0.45454545454545453,0.4666666666666667,0.42857142857142855,0.6,0.5,0.4,2,4,2,3
B2,2,previous_cue,11,0.6363636363636364,0.65,0.5714285714285714,0.8,0.6666666666666666,0.65,3,3,1,4
B2,2,spatial,11,0.2727272727272727,0.25,0.0,0.0,0.0,0.16666666666666663,3,3,5,0
B2,3,amplitude,14,0.6428571428571429,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154,0.6666666666666666,5,0,5,4
B2,3,covariance,14,0.2857142857142857,0.3111111111111111,0.4,0.2222222222222222,0.2857142857142857,0.19999999999999998,2,3,7,2
