dataset,trial_id,cue,role,PC1,PC2
A1,2,1,train,-0.2796932222737978,0.7378385163940027
A1,4,-1,train,-1.8045129932015833,1.7898143331331176
A1,5,1,train,-1.125845313826394,1.4209107977880941
A1,6,-1,train,-2.8908141990190575,4.043781650539099
A1,7,-1,train,-1.035263721059834,1.634787808076901
A1,8,-1,train,-0.3535743251877825,-1.3011298664343927
A1,9,1,train,-1.0009572530986512,0.6482460350504454
A1,10,1,train,-0.15749853173849193,-1.335043256592499
A1,11,1,train,-1.5540252091419715,2.0521634880029413
A1,12,1,train,-0.3303284523970144,-1.6511182694147404
A1,13,-1,train,-0.35750215172976796,-0.9923865218264428
A1,15,1,train,-0.8274918797033305,1.1621182192042931
A1,16,-1,train,-1.010509557460662,1.2170027180044114
A1,17,1,train,-0.02371493814505233,-1.6002789909428028
A1,24,-1,train,-0.21818280054088648,-0.18335365142259946
A1,25,-1,train,-1.9391976920097238,3.139134387732191
A1,26,1,train,0.9019538491010437,-1.057498674526733
A1,28,-1,train,0.9489826637121387,-4.308224075458377
A1,29,-1,train,0.035719392631115926,-3.035612439808817
A1,30,-1,train,-1.1064389909906234,-1.6418340697707265
A1,31,-1,train,-0.9003718003466005,1.5002038842399315
A1,32,1,train,-0.7630430970858046,-0.5944670141748464
A1,33,1,train,-0.7632891930235027,-0.7704843646051656
A1,34,-1,train,-0.3322733362780198,0.6434996521860691
A1,35,1,train,-0.8300970841952442,-0.7512662751340596
A1,37,-1,train,-0.9000645485220394,-0.027924103623324908
A1,44,1,train,-0.2974177089439425,-1.9608203512398752
A1,45,-1,train,-1.523510648950951,0.9846651892761491
A1,47,-1,train,-0.7927789810633618,-1.1117424674462275
A1,48,1,train,-1.1207604705718295,0.1027514879524128
A1,49,-1,train,-0.09222445133466288,-0.45695860680870093
A1,50,-1,train,-1.3125655007870998,1.3863335215689565
A1,51,1,train,1.288707572389694,-5.714213711469189
A1,52,1,train,14.242989413853321,1.8602017043533314
A1,53,1,train,12.49382341810832,2.1931095117704085
A1,54,-1,train,7.975852916612919,-0.16098435136484596
A1,55,1,train,0.14803762055768155,-1.642335968143069
A1,56,-1,train,0.28022218041423924,-1.237932001680476
A1,57,-1,train,-0.46640757569165064,-1.0912015267064261
A1,64,1,train,-1.8491441226801777,0.5279620368396961
A1,65,-1,train,-0.8613153028984422,0.4271023483061286
A1,66,1,train,-0.9922919277430697,-0.014659330883730436
A1,67,-1,train,-1.2997430551488307,0.9655202471101577
A1,68,-1,train,-0.30792431623324473,-0.385774442831008
A1,69,1,train,-0.40750017443279546,-1.4899504055948027
A1,70,1,train,-0.08204817799116298,-1.166215212280241
A1,71,-1,train,-0.6163680938564853,1.134555938169315
A1,72,1,train,-1.2287704556536894,1.3941482246973953
A1,73,-1,train,-0.3862941885993849,-0.07366159634200682
A1,74,1,train,-1.6268938044487553,2.1904676459464008
A1,75,-1,train,-1.079032496038543,0.9927335205006148
A1,76,1,train,-1.4686072833365575,1.6080186796836609
A1,84,1,test,-1.8636769334414724,2.7113035025462167
A1,85,-1,test,-1.4822914195245696,0.5019404615666035
A1,86,1,test,-1.8416186791600677,1.6916580463016446
A1,87,1,test,-0.45566005161702056,-0.8944671023766796
A1,89,1,test,0.7973330363545101,-2.2333229632164135
A1,90,1,test,-0.6933200309687693,0.05235008737474634
A1,91,-1,test,-2.737032419162007,1.6111866342484578
A1,92,1,test,-1.0961423752792876,0.28868871890591263
A1,93,1,test,-0.28647926672285734,-1.2088784539460415
A1,94,1,test,-0.5868999098704817,0.6223390147464339
A1,95,-1,test,-0.39194598602555836,-0.06438337450105883
A1,96,1,test,-0.7840971350241952,0.9251900709845192
A1,97,1,test,0.9687566138551749,0.7449452323432746
A1,98,-1,test,-2.834153747801357,-0.8413093119713176
A1,99,-1,test,-1.0629358595250245,-0.5158982620180841
A2,2,-1,train,-3.9746164946932545,-1.1970662322850587
A2,3,-1,train,-1.7734259495568259,1.5927316386103767
A2,4,-1,train,-2.476937845969907,-0.19071880350660012
A2,5,1,train,-2.637589720028438,-0.3566857688163137
A2,6,-1,train,-0.886852997726167,-2.1817226454616305
A2,7,1,train,-2.0426693039811705,1.8036024961464858
A2,8,1,train,0.6796612416847756,-0.6161150349703648
A2,9,-1,train,-1.99652531814438,1.125584055253954
A2,10,-1,train,1.5982776993264927,-1.1567730295856629
A2,11,1,train,-2.2459165338170957,0.614829834443342
A2,12,1,train,0.7511144124738828,-0.7605542987658849
A2,13,1,train,0.8130421815444538,4.5077691149679495
A2,14,-1,train,3.7280963713268447,-0.509631512182109
A2,15,-1,train,-1.658870868489045,-2.6352104477342206
A2,16,-1,train,-2.9318583106449747,1.6726789013026995
A2,17,1,train,6.203936396284904,5.68346947204951
A2,24,1,train,-2.11712178847688,1.707322181609253
A2,25,-1,train,0.8354077484395144,-1.3563217844301767
A2,26,-1,train,-0.3580714964922401,0.32053067561232446
A2,27,1,train,3.242884077557799,-1.157349359906138
A2,28,1,train,0.13439278707540903,-0.8269769860507696
A2,29,1,train,5.728581279349214,-1.8346254995736568
A2,31,-1,train,-2.7359425595051188,-1.583509627972544
A2,32,-1,train,-1.233509273314049,1.2853117411865576
A2,34,-1,train,0.2231939310924972,-1.2656311444729347
A2,35,-1,train,0.4609040914683856,0.9846576823328773
A2,36,1,train,-2.516979911872903,0.2855733109882031
