dataset,stage,model,held_block,condition,channel,RMSE,R2,Corr
A1,strict_oof,no_recurrence,0,Right,F4,42.74703008125114,-8.423980819073472,0.7198957115046161
A1,strict_oof,no_recurrence,1,Left,Fz,9.799632959713007,0.06819449775526154,0.6988808849970048
A1,strict_oof,no_recurrence,1,Left,F3,14.195982074499346,-0.7017820560401986,-0.7091675536583341
A1,strict_oof,no_recurrence,1,Left,F4,33.362538249423345,-2.6816170861956534,-0.5100292266838505
A1,strict_oof,no_recurrence,1,Right,Fz,11.69077289922991,-0.08264750806755683,-0.7980008220154235
A1,strict_oof,no_recurrence,1,Right,F3,21.086471257751253,-2.077368731844813,0.7616966992230989
A1,strict_oof,no_recurrence,1,Right,F4,15.583864664133436,-0.1674188827222316,0.6854869816496679
A1,strict_oof,no_recurrence,2,Left,Fz,8.967204750242143,-1.6290665910334439,-0.5707304661258757
A1,strict_oof,no_recurrence,2,Left,F3,72.01021831235461,-60.99704705523807,-0.43791722691345086
A1,strict_oof,no_recurrence,2,Left,F4,134.19275522395188,-27.31144590339719,-0.3983662408937497
A1,strict_oof,no_recurrence,2,Right,Fz,38.18684724260668,-8.00326529881289,0.18541376385769323
A1,strict_oof,no_recurrence,2,Right,F3,306.3684224361983,-17.713003940417245,-0.5944292739049002
A1,strict_oof,no_recurrence,2,Right,F4,273.2085048161311,-17.85329521275923,-0.6743757605629124
A1,strict_oof,no_recurrence,3,Left,Fz,7.558424618128524,-0.08430168384397696,0.005300864144907033
A1,strict_oof,no_recurrence,3,Left,F3,8.264019224871037,-0.4232719506101583,0.4125109732335025
A1,strict_oof,no_recurrence,3,Left,F4,23.3795530558226,-4.418381873320189,0.4168378664222494
A1,strict_oof,no_recurrence,3,Right,Fz,11.417439394562663,-2.7964093386091298,-0.19022026961317975
A1,strict_oof,no_recurrence,3,Right,F3,78.91208311334472,-9.527366748432128,-0.015705721220848855
A1,strict_oof,no_recurrence,3,Right,F4,94.00880439155029,-5.23583564830255,0.034893071726866245
A1,strict_oof,no_recurrence,4,Left,Fz,30.51669323024092,-5.952248853963439,-0.3687490747639495
A1,strict_oof,no_recurrence,4,Left,F3,169.54562244014204,-6.822924046798966,-0.3989311759948998
A1,strict_oof,no_recurrence,4,Left,F4,106.35333813690835,-9.384775456638822,-0.1165629400031259
A1,strict_oof,no_recurrence,4,Right,Fz,6.932559687049352,-0.2652266005591388,0.30709862200124555
A1,strict_oof,no_recurrence,4,Right,F3,16.647911115470478,-3.003418078858884,-0.47245621622375616
A1,strict_oof,no_recurrence,4,Right,F4,18.099187348079887,-2.4926410127300693,-0.41820185480808925
A1,strict_oof,symmetric_readout,0,Left,Fz,4.036268770458377,-0.03653872180729656,0.45251895304149625
A1,strict_oof,symmetric_readout,0,Left,F3,94.74125476701006,-8.190669318686032,-0.37739342784001767
A1,strict_oof,symmetric_readout,0,Left,F4,101.4566477856713,-9.012046052430396,-0.37305540306889284
A1,strict_oof,symmetric_readout,0,Right,Fz,3.5863886683071478,-0.051059602979061314,-0.44059861649269316
A1,strict_oof,symmetric_readout,0,Right,F3,28.448288030266127,-5.344156542930642,0.7067277352538347
A1,strict_oof,symmetric_readout,0,Right,F4,42.789442821852276,-8.442690663417073,0.7057717560989698
A1,strict_oof,symmetric_readout,1,Left,Fz,9.99598983072339,0.03047890621194793,0.8791554991232212
A1,strict_oof,symmetric_readout,1,Left,F3,14.799290817458399,-0.8495022519701063,-0.8800675881816505
A1,strict_oof,symmetric_readout,1,Left,F4,35.0094875894979,-3.054076654939654,-0.8163873296657983
A1,strict_oof,symmetric_readout,1,Right,Fz,11.525353205785,-0.052226220034300885,-0.7737784981759087
A1,strict_oof,symmetric_readout,1,Right,F3,19.01751905205154,-1.5031071470292923,0.8836476342854174
A1,strict_oof,symmetric_readout,1,Right,F4,15.229199886307379,-0.11488623000292653,0.8023438007481832
A1,strict_oof,symmetric_readout,2,Left,Fz,8.978111258924422,-1.6354657702586541,-0.5688089208111855
A1,strict_oof,symmetric_readout,2,Left,F3,72.58238103366949,-61.98616566444297,-0.4569878784752709
A1,strict_oof,symmetric_readout,2,Left,F4,134.84293934585506,-27.58645697220103,-0.4339585734204898
A1,strict_oof,symmetric_readout,2,Right,Fz,38.30415252049098,-8.058664095278203,0.17670910096208084
A1,strict_oof,symmetric_readout,2,Right,F3,310.02449955665116,-18.162295747902004,-0.6876379255082499
A1,strict_oof,symmetric_readout,2,Right,F4,272.3152798693027,-17.73021921272068,-0.7039074578949981
A1,strict_oof,symmetric_readout,3,Left,Fz,7.499096613449457,-0.06734656701741648,0.012868246799589974
A1,strict_oof,symmetric_readout,3,Left,F3,8.99272282501462,-0.6853405426181216,0.43731593955271714
A1,strict_oof,symmetric_readout,3,Left,F4,13.851690813193665,-0.9019661291490346,0.4934669265024339
A1,strict_oof,symmetric_readout,3,Right,Fz,12.69053318118823,-3.6902429678868067,-0.22669361806385704
A1,strict_oof,symmetric_readout,3,Right,F3,86.35898930783846,-11.60804757621306,-0.13288199074757726
A1,strict_oof,symmetric_readout,3,Right,F4,105.11335742365283,-6.796028496761964,-0.11723495302638108
A1,strict_oof,symmetric_readout,4,Left,Fz,30.51669323024092,-5.952248853963439,-0.3687490747639495
A1,strict_oof,symmetric_readout,4,Left,F3,169.57174177210138,-6.82533455184313,-0.3009783645935224
A1,strict_oof,symmetric_readout,4,Left,F4,106.32576860363068,-9.3793921502203,-0.28965500926280513
A1,strict_oof,symmetric_readout,4,Right,Fz,6.932559687049352,-0.2652266005591388,0.30709862200124555
A1,strict_oof,symmetric_readout,4,Right,F3,16.536502016680906,-2.9500150054649885,-0.4638079510608128
A1,strict_oof,symmetric_readout,4,Right,F4,18.208233248156976,-2.534853460491761,-0.4307738858156757
A1,strict_oof,gamma,0,Left,Fz,4.084952329467294,-0.06169399448279811,0.2549264091301975
A1,strict_oof,gamma,0,Left,F3,94.0195510190417,-8.051180415582145,0.761770548071495
A1,strict_oof,gamma,0,Left,F4,101.26381582774687,-8.974023749055554,0.878606673730486
A1,strict_oof,gamma,0,Right,Fz,3.5639074105858843,-0.03792378061261048,-0.11231627212022174
A1,strict_oof,gamma,0,Right,F3,29.148265687027152,-5.660196718016203,-0.20330599764939297
A1,strict_oof,gamma,0,Right,F4,43.159530846587344,-8.606737638783045,-0.0497188142162831
A1,strict_oof,gamma,1,Left,Fz,10.282559677160187,-0.02590732002407159,-0.235349391043138
A1,strict_oof,gamma,1,Left,F3,10.570986916966344,0.05636481449501296,0.2686538063699478
A1,strict_oof,gamma,1,Left,F4,30.395254157688512,-2.055849812040536,0.5173179701494385
A1,strict_oof,gamma,1,Right,Fz,11.58855301192042,-0.06379772178135723,0.10220864184502772
A1,strict_oof,gamma,1,Right,F3,24.373704483643174,-3.1116373523006544,0.08219492995885329
A1,strict_oof,gamma,1,Right,F4,16.824543739097226,-0.36070182955349184,0.31699266832564377
A1,strict_oof,gamma,2,Left,Fz,7.248480480733849,-0.71783466150602,-0.6286067659685284
A1,strict_oof,gamma,2,Left,F3,63.375327898698785,-47.020114132053216,-0.7815123252332613
A1,strict_oof,gamma,2,Left,F4,126.03505240278231,-23.973913480712813,-0.7859018584554515
A1,strict_oof,gamma,2,Right,Fz,37.54429327762133,-7.7028261346684275,-0.33364560382177233
