dataset,trial_id,block,cue,features,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
A1,75,3,-1,amplitude,12.292555075470016,-8.476102772089629,-52.63504225603797,,,,,,,,,,,,,,,,,,,,,
A1,76,3,1,amplitude,11.473905992787206,-85.130335304812,-101.3893930849599,,,,,,,,,,,,,,,,,,,,,
A1,84,4,1,amplitude,3.01570231195974,-171.73119961622604,-250.02164200328747,,,,,,,,,,,,,,,,,,,,,
A1,85,4,-1,amplitude,22.281971050775585,-133.79112482618123,-38.2438284620367,,,,,,,,,,,,,,,,,,,,,
A1,86,4,1,amplitude,9.570144676344299,10.745518659100911,-30.821035074817186,,,,,,,,,,,,,,,,,,,,,
A1,87,4,1,amplitude,-2.2434839111342044,4.572133362121628,27.98935009818522,,,,,,,,,,,,,,,,,,,,,
A1,89,4,1,amplitude,3.0675879902644674,54.5769017628247,97.20114713356068,,,,,,,,,,,,,,,,,,,,,
A1,90,4,1,amplitude,5.1385859362141,-24.40702101481977,-6.143700373745544,,,,,,,,,,,,,,,,,,,,,
A1,91,4,-1,amplitude,34.19149723735618,-333.0828672686503,-283.14730622548706,,,,,,,,,,,,,,,,,,,,,
A1,92,4,1,amplitude,15.090074428162207,-2.33826402736225,-15.224551827895077,,,,,,,,,,,,,,,,,,,,,
A1,93,4,1,amplitude,-0.683692372353734,-5.204326238391156,-4.685070068826801,,,,,,,,,,,,,,,,,,,,,
A1,94,4,1,amplitude,-8.638569730491383,-15.23427643841946,-10.017604716288323,,,,,,,,,,,,,,,,,,,,,
A1,95,4,-1,amplitude,-3.7649144965439874,-22.522038225067096,-3.989258994112401,,,,,,,,,,,,,,,,,,,,,
A1,96,4,1,amplitude,3.0213309252218763,-43.77043830584864,-25.322881270555992,,,,,,,,,,,,,,,,,,,,,
A1,97,4,1,amplitude,2.070794557499889,7.637406539129625,15.740623484185736,,,,,,,,,,,,,,,,,,,,,
A1,98,4,-1,amplitude,89.31404324484897,-251.9786786505936,-150.16605406910432,,,,,,,,,,,,,,,,,,,,,
A1,99,4,-1,amplitude,13.382682796032277,-5.348170981920552,-7.35053884537723,,,,,,,,,,,,,,,,,,,,,
A1,2,0,1,peak_latency,2.896180016127462,93.60492299131398,-140.0622790062612,17.849213084027866,102.57181795712584,,289.0625,375.0,,0.0,0.0,1.0,,,,,,,,,,,,
A1,4,0,-1,peak_latency,-4.87555706058907,-192.17105677380286,-141.63386509322817,16.58672870281311,,,300.78125,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,5,0,1,peak_latency,-8.464900596258985,-136.8072829470237,-75.11603396350176,6.8490560442858275,,,277.34375,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,6,0,-1,peak_latency,-9.599403140926864,-324.0124284242338,-393.36187916794535,3.604367588375716,,,347.65625,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,7,0,-1,peak_latency,-1.0075978066263396,-12.459103515739805,-42.51704051557046,6.433135309194593,0.6711413094723753,,437.5,433.59375,,0.0,0.0,1.0,,,,,,,,,,,,
A1,8,0,-1,peak_latency,5.910946937226036,14.92817539289868,58.556337054867036,16.30482701236214,26.742155944681343,73.0678115086385,332.03125,332.03125,441.40625,0.0,0.0,0.0,,,,,,,,,,,,
A1,9,0,1,peak_latency,7.202807697454732,17.06661602161466,-5.490634770007405,18.24132696724516,25.81943671446281,2.4671810467187214,417.96875,421.875,410.15625,0.0,0.0,0.0,,,,,,,,,,,,
A1,10,0,1,peak_latency,6.9339800191042515,23.983153077208673,45.55113440876803,20.071886545328287,36.66780288930671,54.5450930125223,261.71875,472.65625,355.46875,0.0,0.0,0.0,,,,,,,,,,,,
A1,11,0,1,peak_latency,-0.978002325510066,-161.33885593827452,-124.82936669699309,11.234474387856224,,,351.5625,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,12,0,1,peak_latency,7.670869755710017,8.539553617794867,41.45761475517082,25.723575893883538,23.762664707421784,55.554626122188075,367.1875,359.375,367.1875,0.0,0.0,0.0,,,,,,,,,,,,
A1,13,0,-1,peak_latency,6.189478072777342,25.725687023640074,34.32191943159619,20.051709245505013,36.74835705592552,46.47643714440657,394.53125,394.53125,394.53125,0.0,0.0,0.0,,,,,,,,,,,,
A1,15,0,1,peak_latency,0.00987587555554828,-45.665562706489965,-66.1989583784086,16.150224002028647,,,312.5,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,16,0,-1,peak_latency,12.045728132569755,-35.15923365215667,-80.09690975501094,20.675406205268416,,,382.8125,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,17,0,1,peak_latency,2.2865512759440505,31.622503023759084,34.43048857372131,20.651209444893937,44.56225519129504,42.58146177884831,308.59375,308.59375,316.40625,0.0,0.0,0.0,,,,,,,,,,,,
A1,24,1,-1,peak_latency,20.458614621258622,26.47826227324137,31.47609448063314,4.671761986837705,,19.990345311395323,425.78125,,429.6875,0.0,1.0,0.0,,,,,,,,,,,,
A1,25,1,-1,peak_latency,-2.1354083860327457,-86.03081286568904,-273.41736453781203,4.935574374309702,,,332.03125,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,26,1,1,peak_latency,12.935604549064774,-2.1513130649278236,8.512933590464023,,27.947452760272675,,,312.5,,1.0,0.0,1.0,,,,,,,,,,,,
A1,28,1,-1,peak_latency,19.331780753316696,52.207002088125726,49.52861483231717,58.96844239982359,97.78770638532771,83.66897102384678,296.875,296.875,300.78125,0.0,0.0,0.0,,,,,,,,,,,,
