dataset,relative_to_full_gain,ci_low,ci_high,mean_factor,S_delta
A1,-0.10764492783693425,-0.17186879282648815,0.0011307715304331722,0.55,-0.0432556118437728
A2,-0.15303476266010851,-0.909532071940861,-0.046658869747372655,0.2,-0.25017343711179496
B1,0.017293750830332355,0.0003788737506893458,0.06763430903422774,0.0,0.0
B2,-0.28027234290479974,-0.5083473547401529,-0.08992256046971314,0.55,0.047732826059179834
