dataset,direction,n,LI_mean,LI_SD,LI_floor,amplitude_F4_minus_F3,role
A1,left,32,0.05227588322765646,0.5063652592818839,11.884924558535408,13.315189831387315,descriptive_all_data
A1,right,35,0.04197393480205046,0.5471748926933764,11.884924558535408,-11.644482834881078,descriptive_all_data
A2,left,41,0.1644379469922227,0.3941189541808899,40.605164226817564,21.136284517923716,descriptive_all_data
A2,right,29,0.049083761858727364,0.39281996519189866,40.605164226817564,-9.014283481141058,descriptive_all_data
B1,left,35,0.1766595447758447,0.7543567230550591,22.29875527585051,52.90210686502286,descriptive_all_data
B1,right,34,-0.08194676437179985,0.6645886712302592,22.29875527585051,-1.6187619996469509,descriptive_all_data
B2,left,32,0.2727649066256283,0.44198408381815024,33.434058973685126,22.982293281984703,descriptive_all_data
B2,right,37,0.2872000460144263,0.4731704309215618,33.434058973685126,23.353902118810904,descriptive_all_data
