dataset,MSE,zero_MSE,S_delta,RMSE
A1,8826.876960716652,8814.403807273238,-0.0014150875902827487,93.95146066302883
A2,7212.32840594791,7080.442242695883,-0.01862682566023044,84.92542850023136
B1,9540.245213501219,9513.72902887072,-0.002787149450024451,97.67417884733518
B2,10759.185822316784,11037.527464542289,0.025217753080992944,103.72649527636024
