dataset,n,BA,AUC,p_raw
A1,67,0.5111607142857143,0.5732142857142857,0.418
A2,70,0.531959629941127,0.5239697224558453,0.342
B1,69,0.4651260504201681,0.48067226890756304,0.703
B2,69,0.5515202702702703,0.5658783783783783,0.278
