dataset,block,start,end_exclusive,total,buffer_retained,retained,left,right
B1,0,0,47236,20,16,15,8,7
B1,1,47236,90008,20,14,13,5,8
B1,2,90008,132743,20,14,13,5,8
B1,3,132743,175474,20,14,14,9,5
B1,4,175474,223005,20,16,14,8,6
