dataset,block,start,end_exclusive,total,buffer_retained,retained,left,right
A2,0,0,48707,20,16,16,9,7
A2,1,48707,92847,20,14,12,6,6
A2,2,92847,137084,20,14,13,7,6
A2,3,137084,181171,20,14,14,7,7
A2,4,181171,230157,20,16,15,12,3
