trial_id,cue,coef_1,coef_2,coef_3,coef_4,coef_5,coef_6,coef_7,coef_8,coef_9
1,-1,2.168828764149283,41.58517602481397,-291.07546553148916,-2.5937175207870093,-17.311736974181237,81.54203904045143,1.2415060625936394,4.893062164228147,-17.174116060588318
2,-1,97.2892573513525,-92.02147273072126,629.8834601421036,-14.35786878879143,7.921152471051503,-75.45168218837873,-4.340762720512361,3.747159003312353,-37.79648720287653
3,-1,-3.562558803178856,-48.66782762773064,15.943853401743029,4.215705264982009,1.1868886939391403,5.933189620418342,0.49029083987912264,1.9695339713885245,4.734969747135917
4,1,7.261669806306335,-30.361641635677085,79.6868587345079,1.3624555963339329,-2.449260050115687,14.772347773268148,-0.19388672901058268,4.222880491084425,-17.503110442050556
5,-1,0.20015434652905434,-21.320222753717395,29.613335280603664,6.441505044020785,-2.40526851121283,27.75244776630922,-1.9876197012132715,-0.601080550233887,-10.573706711217055
6,1,60.51539353822864,-90.96927841406843,515.0952151908649,-31.19153945266702,6.951758482899073,-123.4864146327432,11.58516685214796,13.894118508558261,-13.397653661839112
7,1,89.6934144641929,-85.64779365415542,494.5663624012778,-8.36633942232533,1.1870017834120912,-21.90562405486851,-14.410324715450354,16.401037869386045,-85.00994809428543
8,1,-0.5249274666618142,-79.60752611090646,203.18012862703415,-1.6581339763114693,8.94811149298366,-41.02598724074811,2.3168649064320768,2.692915083780739,33.88919833718972
9,1,13.633391279273331,-22.376226635090706,61.546606843240994,0.7297513631534772,-0.7693742971937279,4.424931415511084,-3.3286685895675983,2.087833096571251,-21.42537398788778
10,-1,70.14002051023371,-110.90659510076728,603.2646108992041,-27.219608958377666,14.681733410179646,-117.23009615958024,7.82553387843414,7.924414477263893,-11.294176113166746
11,1,46.71217047223576,-62.95571285030283,347.5348367129699,-8.872955565627656,7.007153181158475,-54.586542040506906,6.258119704097173,1.911976650225942,25.549441154835137
12,1,10.051272415792035,3.5235919477395967,-31.416744345615676,5.31795222677738,-2.928086895587783,35.94713287066136,-8.044813271422099,2.2916499059396016,-42.018857230387994
13,1,10.683586745126295,-7.6159116102807,6.870076948389982,-1.8069248769911663,-11.486253390081895,24.571568777201595,-0.13366600652487842,12.911473506690687,-37.28242782358472
15,1,80.10187235173828,-70.53540516225434,513.2389549825049,-27.643206635184793,-0.8250948142819672,-73.34029005713184,13.863769385895603,24.635537054821913,-79.39216232424975
17,-1,7.452986111911685,-91.98304614906729,287.45370337580624,-7.653989800236499,4.082663946903176,-58.41932415161521,6.7217162807701145,19.08047676713795,-19.53299709517895
18,1,-16.584947063549308,-10.861505943015212,-64.65686378034184,15.16442518209819,0.7497649538029476,35.12668027678363,-15.485291459093101,-5.069464474773223,-7.190608602699768
19,1,3.8790655909848573,-48.07885146834159,118.22580989529605,-0.11156838147700052,1.5053475407666324,-10.866139767891283,-0.6171677823626474,9.60666888467246,-24.124673287067417
20,-1,40.22634992079134,-158.42511279585537,718.54605644453,-34.69278844305599,7.179396578863176,-175.46270268214099,20.539586790993404,28.75052147124529,-14.686306985463062
21,1,-19.238786204661505,-49.925438044160174,-45.35982468475607,20.282365345905355,-16.556237038723733,129.20841215327016,-18.205282163639986,21.034772594835037,-122.05556444054373
22,1,6.373942252468395,-10.620677992627177,-29.540450016933573,14.554999652816177,-8.205289775783102,74.71024068784133,-16.358468158791602,12.744676683487612,-90.02590268897687
24,-1,43.65543352142572,-24.085113136601645,81.99102874323903,4.471202227351756,-7.646104163009132,53.589802947296704,-8.968182881130536,4.533574916360907,-62.58865711962016
25,-1,30.209758967997562,-50.28002438156447,340.56603413436136,3.0069655324139433,-22.348120644036616,109.58373031166565,-5.411358457490463,33.36837915480855,-124.92183804620998
26,1,72.4555910758198,-99.29502048466816,511.6218391090839,-39.08532671023666,-0.7422060936204349,-112.86645726044195,28.226204685247396,15.622862168041031,46.952795723215665
27,-1,-25.8709681285468,34.76521654874042,-386.88056046113917,9.891772158550593,-3.359888090817769,83.32013383468056,-23.49877662561643,-35.54445742275838,60.632774161699544
28,-1,-4.886576716495435,-36.86062048267788,29.036881677564665,-0.41423901982586625,1.5549186579888163,8.169964735278969,-1.3791515096451845,5.268503780370633,-27.815056902157274
29,-1,60.013726947763864,-88.39629512136965,377.5199084959684,-0.1366373376735992,-15.792045452030846,71.03196777902193,-0.47954090587934856,25.241413558497577,-78.32240070181115
30,1,17.17446709923219,-38.32456199996576,239.09528367634272,-3.8679174101197065,2.637329324716133,-35.645948561815054,-1.0731519113791324,29.911756972567296,-130.33559028435505
31,1,20.157014549906577,-58.48441629844443,144.0319263253674,12.841390846035344,-10.285101936462755,72.47956595652174,-2.766667397185183,20.993043975553576,-59.110526760196464
32,1,68.6636231269042,-90.22965872219532,408.04717402363957,-7.107916049650316,-8.872005878601266,35.78780196801808,-8.681477509092806,15.187666741270434,-88.56268377687735
33,1,-85.48079099011368,-108.5791301335139,74.50664252965622,27.86049753502301,19.172648529928782,-13.471487759024942,20.641544209497226,14.84321923257978,54.88899058665652
34,1,33.39602375865089,0.004590804548063487,39.31242949764309,17.3252240332977,-7.3874492980598125,92.83847011569824,-21.511314277097007,8.09340525839384,-85.71424041814615
35,-1,37.40297656509081,-29.489973746406076,192.06767662106955,6.113427625126243,-9.365260550562738,64.7766070033498,1.4233854485377297,16.563869680902002,-99.98339782501533
36,1,4.170046695399318,-126.5897854747879,386.59924314433215,-15.190723751233014,17.706957652792646,-125.01590637514792,3.4896648962785743,17.2849879764632,-17.757269237268897
37,-1,-15.66282233718102,-26.306588281122934,12.036254907370909,5.560621837806807,-0.9377669309468514,22.683760077057705,-4.558967323088795,14.079183038078185,-37.27231582826763
38,-1,23.115856309330148,-98.05008757465336,535.8794404424634,-25.77618875317461,2.339841117188781,-110.37026015043317,43.085859283457424,16.28751654091438,114.54096695052918
39,1,23.01924152699833,-19.25083703399952,70.75628565140163,11.269547046839005,-6.498586440611905,62.59901488797569,-10.221558276584947,7.272747926188712,-71.50433692121226
