tau_G,rank,lambda_A,theta,condition,objective
10.0,3,0.01,"[150.0, 30.90194020098292, 86.25619426717057, 600.0]",7.969537859245419,2296.8511675615255
20.0,3,0.01,"[150.0, 27.70629151590792, 82.41806981605372, 600.0]",7.683531639675028,2207.7423581167063
40.0,3,0.01,"[149.99999999999983, 20.000000000000007, 250.0, 260.00000000001353]",8.893289646226512,2039.448802971265
20.0,3,0.01,"[150.0, 27.70629151590792, 82.41806981605372, 600.0]",7.683531639675028,2207.7423581167063
20.0,3,0.1,"[150.0, 100.0, 250.0, 600.0]",166.0469276534616,4709.934450886255
20.0,3,1.0,"[150.0, 100.0, 250.0, 600.0]",166.0469276534616,11321.525605951321
