dataset,stage,metric,point,low,high,n_trials,n_boot
VisualCogA_Task-1,V7,proxy_MAE_reduction_pct,13.99923050954136,7.53907810045147,16.353129668751013,90,800
VisualCogA_Task-1,V7,SNR_proxy_gain_dB,-0.013975300598504603,-0.286884628154921,0.5243398417688168,90,800
VisualCogA_Task-1,V7,left_right_retention_ratio,0.9053229251050631,0.8644672148113742,0.9801132043408453,90,800
VisualCogA_Task-2,V7,proxy_MAE_reduction_pct,10.801284763385647,7.608373594407404,14.347739337006148,95,800
VisualCogA_Task-2,V7,SNR_proxy_gain_dB,0.05695904512758787,-0.37513389283207155,0.5173641890457006,95,800
VisualCogA_Task-2,V7,left_right_retention_ratio,0.9110052974407084,0.814955510775673,1.0579635375114675,95,800
VisualCogB_Task-1,V7,proxy_MAE_reduction_pct,6.646399565214977,1.8675727879378636,9.687965881698402,94,800
VisualCogB_Task-1,V7,SNR_proxy_gain_dB,-0.04557184879799081,-0.26711881739480864,0.6806480219544658,94,800
VisualCogB_Task-1,V7,left_right_retention_ratio,0.9323041974546878,0.8694730422750674,1.0919967037305864,94,800
VisualCogB_Task-2,V7,proxy_MAE_reduction_pct,8.141116104779952,3.1556104627376302,14.835792509426247,92,800
VisualCogB_Task-2,V7,SNR_proxy_gain_dB,0.633864511932428,-0.6904201104968085,1.3998867576205938,92,800
VisualCogB_Task-2,V7,left_right_retention_ratio,0.8070689057356737,0.6965248150033362,1.1306214676837343,92,800
