dataset,quantity,channel_or_cue,RMS_before,RMS_after,retention_ratio,waveform_correlation,P300_positive_mean_difference_before,P300_positive_mean_difference_after
VisualCogA_Task-1,left_minus_right_ERP,Fz,7.581959457448026,7.677271606028168,1.012570912455406,0.97211698193819,,
VisualCogA_Task-1,left_minus_right_ERP,F3,68.76659800904923,11.861362612471334,0.1724872678870988,0.6099152052450261,,
VisualCogA_Task-1,left_minus_right_ERP,F4,50.031822740415905,10.825596106438102,0.21637420972258747,0.47321251377678114,,
VisualCogA_Task-1,F3_minus_F4,left,13.24222700515048,6.757667062509734,0.5103119784822688,0.9413888900182557,0.0,-0.08327593401681213
VisualCogA_Task-1,F3_minus_F4,right,5.764964891228105,5.907564608162425,1.02473557421853,-0.08759555185191399,5.416872428931608,-5.153014666747411
VisualCogA_Task-2,left_minus_right_ERP,Fz,31.472282064008922,17.573758606284045,0.5583884438548858,0.04533996543163266,,
VisualCogA_Task-2,left_minus_right_ERP,F3,75.65921921738295,27.96763009269343,0.3696526395856294,0.184448876976924,,
VisualCogA_Task-2,left_minus_right_ERP,F4,39.89855380357737,10.274687773028248,0.25752030571361134,0.1719604846847396,,
VisualCogA_Task-2,F3_minus_F4,left,16.967982284912615,9.158439819977044,0.5397483133937716,-0.26798618663100693,-16.958189498421476,-8.80776332889858
VisualCogA_Task-2,F3_minus_F4,right,18.973398468303834,10.772009657807,0.567742762362905,0.9691547122866215,18.67696068746328,10.56347355823998
VisualCogB_Task-1,left_minus_right_ERP,Fz,20.19503267155435,17.652537879910177,0.8741029621989419,0.7612045678852248,,
VisualCogB_Task-1,left_minus_right_ERP,F3,21.315001264643282,9.012563805062793,0.42282727048262136,0.9633083847806732,,
VisualCogB_Task-1,left_minus_right_ERP,F4,48.4900140498989,13.05536486165168,0.2692382156915227,0.9178510424912149,,
VisualCogB_Task-1,F3_minus_F4,left,32.75135974873273,9.184968470314795,0.28044540870307405,-0.8214958732157801,-32.71069565559577,-5.754445475638504
VisualCogB_Task-1,F3_minus_F4,right,5.861638945099924,3.9958264550476232,0.6816909899214922,0.8833643413971811,-0.07328523320838871,0.6269945882902745
VisualCogB_Task-2,left_minus_right_ERP,Fz,19.93035034163431,12.069237798716069,0.6055707798323781,-0.2719605876671451,,
VisualCogB_Task-2,left_minus_right_ERP,F3,41.73684828464967,10.030751029293612,0.2403332173259181,-0.27788371577730714,,
VisualCogB_Task-2,left_minus_right_ERP,F4,45.44872338175096,9.438278064187337,0.20766871678461857,-0.014451165774847282,,
VisualCogB_Task-2,F3_minus_F4,left,23.17029353093848,38.43058695901032,1.658614592331129,0.8599538141721006,-22.90725455512043,-27.361732339328057
VisualCogB_Task-2,F3_minus_F4,right,26.88232964505076,39.6007373521887,1.4731140446184996,0.9697562093103662,-26.237982458166464,-19.082668324808747
