dataset,contrast,MAE_gain,p_raw,n_permutations,null_mean,p_Holm_6
A2,cognitive_vs_median,0.0010210943786256605,0.9105,1999,0.0036247652903910674,1.0
A2,cognitive_vs_ordinary,-0.002606308161554288,0.9165,1999,0.0013270759967978143,1.0
B2,cognitive_vs_median,0.0017047333679914422,0.5135,1999,0.0015566072696299145,1.0
B2,cognitive_vs_ordinary,0.0033436338928939397,0.11,1999,0.0004462642313933327,0.66
pooled,cognitive_vs_median,0.001370291272474369,0.8225,1999,0.0025683680279878886,1.0
pooled,cognitive_vs_ordinary,0.0004328708734516412,0.4415,1999,0.0008771649511595539,1.0
