dataset,model,stage,MSE,zero_MSE,baseline_MSE,normalized_MSE,RMSE,NRMSE,S_zero,S_train_baseline,n_trials,setting
A1,B0,encoding,13236.765455566077,14101.802634763324,14074.293121942592,0.2732317839898242,115.05114278252988,0.522715777444898,0.061342312156942524,0.05950761854396536,65,past
A1,B0,maintenance,57266.94718049513,66262.2424471788,70149.22938719629,1.1653851320818513,239.30513404541728,1.0795300514954882,0.1357529557478273,0.18364110795281874,65,past
A1,B0,retrieval,64259.80533299812,79958.28338089834,82426.64834710919,1.4075432007667712,253.495178125735,1.186399258583202,0.19633335514617256,0.22040011790371683,65,past
A1,N0,encoding,13663.01951225661,14101.802634763324,14074.293121942592,0.27967254839405487,116.88891954439741,0.5288407590135757,0.031115392398489594,0.029221617464026295,65,past
A1,N0,maintenance,57084.59651047434,66262.2424471788,70149.22938719629,1.1623310958787423,238.92382993430007,1.0781146023863801,0.1385049101533269,0.18624057585309017,65,past
A1,N0,retrieval,64729.24114209701,79958.28338089834,82426.64834710919,1.414885792509052,254.41941974247368,1.1894897193793026,0.19046234604930845,0.21470492322441803,65,past
A1,N1,encoding,14201.76068809719,14101.802634763324,14074.293121942592,0.28713774969978845,119.1711403322851,0.5358523581172229,-0.007088317424571944,-0.009056765057413152,65,past
A1,N1,maintenance,57518.561391801275,66262.2424471788,70149.22938719629,1.1683089007072798,239.83027622008294,1.0808833890421667,0.13195570708835547,0.18005426582348716,65,past
A1,N1,retrieval,64726.46582004833,79958.28338089834,82426.64834710919,1.415240813655563,254.41396545796837,1.189638942560121,0.1904970556745197,0.21473859342822144,65,past
A1,N2,encoding,14923.087410236358,14101.802634763324,14074.293121942592,0.29829517267761174,122.16008926910769,0.5461640528976727,-0.0582397014583389,-0.06030812922110096,65,past
A1,N2,maintenance,57829.48408532687,66262.2424471788,70149.22938719629,1.1727477004527582,240.4776165993976,1.0829347627871027,0.12726340145481996,0.1756219620584747,65,past
A1,N2,retrieval,63172.676952464455,79958.28338089834,82426.64834710919,1.3901182869079989,251.34175330108695,1.1790327760109127,0.20992954974373412,0.2335891581271604,65,past
A1,N3,encoding,13735.334433051063,14101.802634763324,14074.293121942592,0.2831243065854086,117.1978431245689,0.5320942647552298,0.0259873302161282,0.024083532007946773,65,past
A1,N3,maintenance,59569.31541253767,66262.2424471788,70149.22938719629,1.1993516230932564,244.06825974005235,1.0951491328094345,0.10100664854462815,0.15082010261668932,65,past
A1,N3,retrieval,62978.788837862405,79958.28338089834,82426.64834710919,1.3900814518799562,250.95575075670692,1.1790171550405686,0.2123544156413475,0.2359414085035868,65,past
A2,B0,encoding,43261.886149035025,44697.977958956806,44431.121155594,0.4734402418776758,207.99491856541837,0.6880699396701442,0.03212878692723975,0.02631567640313226,68,past
A2,B0,maintenance,63007.242553499265,103906.94634634843,106218.9977643507,0.7172860288118371,251.0124350575072,0.8469274046881687,0.39361857152956825,0.40681757614318403,68,past
A2,B0,retrieval,77489.30105772291,119659.49333398242,117714.05526161636,0.9101652599017449,278.3690016106731,0.9540258172092331,0.35241827540216975,0.34171581392294237,68,past
A2,N0,encoding,43317.85351556969,44697.977958956806,44431.121155594,0.4758351003791903,208.12941530588532,0.6898080170447356,0.03087666392100319,0.02505603304777626,68,past
A2,N0,maintenance,65560.27976948081,103906.94634634843,106218.9977643507,0.7534945269974898,256.04741703340966,0.8680406251999325,0.36904815245987854,0.3827819773358453,68,past
A2,N0,retrieval,79540.45721947812,119659.49333398242,117714.05526161636,0.9352190136899314,282.02917795766825,0.9670672229426098,0.3352766671218287,0.324290909503529,68,past
A2,N1,encoding,39764.94640146974,44697.977958956806,44431.121155594,0.43340026312203844,199.41150017356003,0.6583314234654445,0.11036364020799205,0.10502041435739873,68,past
A2,N1,maintenance,62054.45022819282,103906.94634634843,106218.9977643507,0.713234141806164,249.1073066535641,0.8445319069201376,0.4027882407269533,0.4157876506624356,68,past
A2,N1,retrieval,76018.29126219095,119659.49333398242,117714.05526161636,0.8934827881465647,275.7141477367292,0.9452421849169474,0.3647115732805605,0.35421228082540934,68,past
A2,N2,encoding,40088.13128151306,44697.977958956806,44431.121155594,0.43601541883907496,200.22020697600195,0.6603146362447792,0.10313322633244537,0.0977465740482254,68,past
A2,N2,maintenance,64420.32811976922,103906.94634634843,106218.9977643507,0.7411935663598644,253.81159965566826,0.8609259935440818,0.38001904218184035,0.39351406550938084,68,past
A2,N2,retrieval,78757.10260556206,119659.49333398242,117714.05526161636,0.9245161390916892,280.6369587306028,0.9615176228710991,0.34182319838391273,0.3309456340576621,68,past
A2,N3,encoding,40800.88933831251,44697.977958956806,44431.121155594,0.4452677037432401,201.99230019560773,0.6672838254770155,0.08718713459975158,0.08170470883614955,68,past
A2,N3,maintenance,66834.55249723776,103906.94634634843,106218.9977643507,0.7685798108761354,258.52379483760825,0.876686837403263,0.35678455726664215,0.37078532179797297,68,past
A2,N3,retrieval,80470.9778976447,119659.49333398242,117714.05526161636,0.9420540293521382,283.67406983657264,0.9705946782010183,0.32750026215603634,0.3163859853540847,68,past
B1,B0,encoding,16454.571177622744,26634.761749932135,26642.810688924143,0.2326915625999211,128.27537245170151,0.48238113831276724,0.3822144409583589,0.3824010773584342,64,past
