dataset,model,n,MAE,RMSE,R2,S_vs_train_median,spearman
A2,median,68,0.12752757352941177,0.16483924419284526,-0.14737501419560894,0.0,-0.33650548069424774
A2,ordinary,68,0.1239001709892318,0.1614735795195807,-0.10099945655442588,0.040418831739765126,-0.355793563197932
A2,cognitive,68,0.12650647915078608,0.16484606287778036,-0.14746994001957137,-8.273304088723954e-05,-0.3539226736130525
B2,median,71,0.12359705105633803,0.15149655669627798,-0.010438816000238882,0.0,-0.023096206199095706
B2,ordinary,71,0.1252359515812405,0.15555679996175747,-0.06532593067768322,-0.054320077384508725,-0.07782538384581525
B2,cognitive,71,0.12189231768834659,0.1520330921504239,-0.017608566484892396,-0.007095679986874215,-0.07472310071470648
pooled,median,139,0.12551989658273383,0.15816460945359365,-0.026093379954150064,0.0,0.11909598691452425
pooled,ordinary,139,0.12458247618371107,0.1584789418653825,-0.030175897609481694,-0.003978699926427964,0.05699225452299263
pooled,cognitive,139,0.12414960531025947,0.15843083053903106,-0.02955050719491381,-0.0033692130836262546,0.0776766934832115
