dataset,V1_MAE,V2_MAE,gain,ci_low,ci_high
A2,0.12658894493562675,0.12650647915078608,8.246578484063908e-05,-0.0009395115900200677,0.0009136740497273473
B2,0.12296191024872144,0.12189231768834659,0.0010695925603748423,-0.0005919785150932529,0.003519331278856302
pooled,0.12473628693008519,0.12414960531025947,0.0005866816198257357,-0.00041758542420040917,0.0018036876957094182
