dataset,setting,trial_id,block,cue,model,stage,channel,n_samples,MSE,zero_MSE,baseline_MSE,normalized_MSE
B1,past,9,0,-1,B0,encoding,1,205,618.6260988532719,562.1584043512469,1950.823142402535,0.007825817178932888
B1,past,9,0,-1,B0,encoding,2,205,232.3011670283431,178.07045134721875,884.0296394052865,0.0028812137678480097
B1,past,9,0,-1,B0,maintenance,0,363,182.4316260101315,118.22292973843048,558.6368297739149,0.002235054721702305
B1,past,9,0,-1,B0,maintenance,1,363,106.99582978413865,138.55100990051568,625.6327354397044,0.0013535313242538972
B1,past,9,0,-1,B0,maintenance,2,363,562.3138967131939,90.92085247425307,1129.6030337871514,0.006974336641471299
B1,past,9,0,-1,B0,retrieval,0,428,157.79958126829783,78.41817851415874,1786.6445996068771,0.0019332760821677304
B1,past,9,0,-1,B0,retrieval,1,428,743.0224785523827,255.72017205018727,5145.631029644894,0.009399471001574565
B1,past,9,0,-1,B0,retrieval,2,428,706.766006356657,149.85853420478364,1753.2097062186945,0.008765965208919074
B1,past,10,0,-1,B0,encoding,0,205,156.2933412484569,117.53840318104422,104.19762000126944,0.001914822434946632
B1,past,10,0,-1,B0,encoding,1,205,179.6738856887133,169.7900200033769,1317.4297210796024,0.002272931878940755
B1,past,10,0,-1,B0,encoding,2,205,255.80114997313586,230.88321897973842,505.9010076317719,0.003172682275177846
B1,past,10,0,-1,B0,maintenance,0,363,3964.825569891154,3412.5579671713913,1562.8912442227943,0.048574922586170015
B1,past,10,0,-1,B0,maintenance,1,363,11261.954478351636,8922.488777141045,5440.830608898684,0.14246731101131313
B1,past,10,0,-1,B0,maintenance,2,363,31297.89048463439,31898.454596599713,42707.8322277143,0.38818536351961347
B1,past,10,0,-1,B0,retrieval,0,306,1672.9914928245116,1866.1563153738598,5741.990994341958,0.02049659709329978
B1,past,10,0,-1,B0,retrieval,1,306,14363.22859233878,17481.69707820961,33256.28988273645,0.18169941628913602
B1,past,10,0,-1,B0,retrieval,2,306,83121.9609738751,80749.28049733497,62109.22418442667,1.0309553818954056
B1,past,11,0,1,B0,encoding,0,205,719.9679784033129,8808.612609852351,8477.947641086597,0.008820662649333738
B1,past,11,0,1,B0,encoding,1,205,9105.443655776646,14718.28914196507,8792.597933896783,0.11518676227089389
B1,past,11,0,1,B0,encoding,2,205,12488.11573299874,9445.787648911559,4924.907280484118,0.15488915292451058
B1,past,11,0,1,B0,maintenance,0,362,12148.689327487094,37725.12332579739,27323.158997107792,0.1488392448049905
B1,past,11,0,1,B0,maintenance,1,362,28259.6714396478,40995.564283093416,29387.1879218269,0.35749384423538405
B1,past,11,0,1,B0,maintenance,2,362,21728.354822208235,8864.683464567363,15575.74863797671,0.26949513800244806
B1,past,11,0,1,B0,retrieval,0,265,14184.571738155573,36282.42239980819,21112.49778970106,0.17378178735812516
B1,past,11,0,1,B0,retrieval,1,265,8452.54083545615,15128.144271847565,4477.286206165816,0.10692733364848502
