dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,target_sample,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_status,target_s,response_s,rt_s,correctness,correctness_reason,timeout,timeout_reason,cue_platform_disagree,valid_events,n_platforms,n_clicks,retained,reason,prefix_end_sample,prefix_end_s,prefix_last_included_after_target_s,saturation_fraction,PTP,max_jump
A2,19,0,-1,45420,45472,0.203125,45988,platform_onset_hypothesis,46306,1.0,46306,1,46306,explicit_click,2.21875,3.4609375,1.2421875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,False,block_boundary_24s_buffer,46142,2.8203125,0.59765625,,,
A2,20,0,-1,47593,47645,0.203125,48160,platform_onset_hypothesis,48538,1.0,48538,1,48538,explicit_click,2.21484375,3.69140625,1.4765625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,False,block_boundary_24s_buffer,48314,2.81640625,0.59765625,,,
A2,21,1,1,49821,49873,0.203125,50388,platform_onset_hypothesis,50719,-1.0,50719,-1,50719,explicit_click,2.21484375,3.5078125,1.29296875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,False,block_boundary_24s_buffer,50542,2.81640625,0.59765625,,,
A2,22,1,-1,52005,52058,0.20703125,52573,platform_onset_hypothesis,52939,-1.0,52939,-1,52939,explicit_click,2.21875,3.6484375,1.4296875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,False,block_boundary_24s_buffer,52727,2.8203125,0.59765625,,,
A2,23,1,1,54226,54278,0.203125,54793,platform_onset_hypothesis,55131,1.0,55131,1,55131,explicit_click,2.21484375,3.53515625,1.3203125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,False,block_boundary_24s_buffer,54947,2.81640625,0.59765625,,,
A2,24,1,1,56418,56470,0.203125,56986,platform_onset_hypothesis,57344,-1.0,57344,-1,57344,explicit_click,2.21875,3.6171875,1.3984375,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,57140,2.8203125,0.59765625,0.0,258.01370166143363,8.432756717301622
A2,25,1,-1,58631,58683,0.203125,59198,platform_onset_hypothesis,59512,1.0,59512,1,59512,explicit_click,2.21484375,3.44140625,1.2265625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,59352,2.81640625,0.59765625,0.0,338.49296688869606,10.715406124846623
A2,26,1,-1,60795,60847,0.203125,61363,platform_onset_hypothesis,61688,1.0,61688,1,61688,explicit_click,2.21875,3.48828125,1.26953125,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,True,True,1,1,True,retained,61517,2.8203125,0.59765625,0.0,302.8075107433003,11.704463855587363
A2,27,1,1,62972,63024,0.203125,63539,platform_onset_hypothesis,63895,1.0,63895,1,63895,explicit_click,2.21484375,3.60546875,1.390625,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,True,retained,63693,2.81640625,0.59765625,0.0,732.0858736128475,10.963619626526906
A2,28,1,1,65181,65233,0.203125,65748,platform_onset_hypothesis,66119,1.0,66119,1,66119,explicit_click,2.21484375,3.6640625,1.44921875,,ground_truth_target_mapping_unavailable,,deadline_and_timeout_flag_unavailable,False,True,1,1,True,retained,65902,2.81640625,0.59765625,0.0,420.6471746196237,12.047087165116636
