stage,dataset,trial_id,truth,50_250ms_logvar_共同,50_250ms_logvar_中线,50_250ms_logvar_侧化,50_250ms_corr_共同_中线,50_250ms_corr_共同_侧化,50_250ms_corr_中线_侧化,250_500ms_logvar_共同,250_500ms_logvar_中线,250_500ms_logvar_侧化,250_500ms_corr_共同_中线,250_500ms_corr_共同_侧化,250_500ms_corr_中线_侧化,500_750ms_logvar_共同,500_750ms_logvar_中线,500_750ms_logvar_侧化,500_750ms_corr_共同_中线,500_750ms_corr_共同_侧化,500_750ms_corr_中线_侧化,50_750ms_logvar_共同,50_750ms_logvar_中线,50_750ms_logvar_侧化,50_750ms_corr_共同_中线,50_750ms_corr_共同_侧化,50_750ms_corr_中线_侧化
before,A1,1,-1,4.914780187520176,3.412345003727779,4.452430596100235,-0.43866463629739055,0.18846918672187463,-0.889720741590849,4.691901960055383,3.047254826405768,3.9536843289880665,-0.48327328208884063,0.33967806403218886,-0.8739065609429643,7.688515286968131,2.679506040537403,4.206272884083677,0.36780527172512983,-0.5923700574562801,-0.9151073757940428,7.677480002472934,4.973834827397055,6.384372467182807,0.5834388016737515,-0.6283253091374171,-0.983467449048531
before,A1,2,1,4.506739978568773,1.3850850147620333,6.002121122835224,0.1401887683952202,0.5081268676112759,-0.05211495109147735,4.303597515135734,3.995769675169108,6.2589893328210415,-0.007258456192940537,0.09511674827134747,-0.9484739106437408,5.398746437604323,3.191985288856778,5.361798849212109,-0.8740884854055094,0.9141065646551518,-0.9635946037787332,6.274401204767874,5.362975043098285,8.135413335056596,-0.8651599837966475,0.848662444560729,-0.9531963949355796
before,A1,4,-1,6.611316895725306,5.479287322330461,2.9128948878993635,-0.925940475546175,-0.5136891747088109,0.30427254061223247,7.054216306520863,5.999334020471949,4.36317149704476,-0.8675164822736995,0.6626239991019944,-0.8772120766269842,5.79756232854165,4.58404103077054,3.8588787362922528,-0.9102729117177829,-0.6640956278077054,0.6826004087628532,8.508180105692935,7.821386611509928,4.295153820142914,-0.9822872633973272,0.5162836598742409,-0.5554615199445926
before,A1,5,1,6.0065780701731155,4.766416698613915,3.0629414489430493,-0.8728498738416094,0.5397664401493784,-0.513310754522867,6.3989658672133745,4.714017688815267,3.307805279332104,-0.8754157250652581,-0.4196416649574049,0.612553260707099,6.12626064663444,4.291993573488571,4.065076915377746,-0.8449162615040751,0.8953760364117286,-0.8606506661933091,7.832483294579689,6.884864243279683,4.978417000758198,-0.9706008847593094,0.8368899058069279,-0.848284697555935
before,A1,6,-1,8.029152412022949,7.016870105606119,3.7303334740367995,-0.974975979873933,-0.8999840856831983,0.9253591938664434,7.943685724504705,7.167595832181325,3.822874311609488,-0.9781249368439188,-0.825742589402362,0.7647853118125897,7.512475707701499,6.769133529123663,4.449373274769046,-0.9710714284416202,0.2232250991543842,-0.3455972461088511,10.115868223397156,9.194541744633602,5.6155398113487855,-0.9970453565794772,-0.893245634140752,0.8813414891274962
before,A1,7,-1,5.84708539729812,3.0125630572836672,2.826129622096954,-0.4988208665028725,-0.23817847011535098,-0.24951534149224391,4.112540325196045,1.3917255760551486,3.723235000103272,-0.2449829604044712,0.22737627165681715,-0.6344212525417787,4.837802255799021,3.517698254685396,3.304264684565908,-0.09179812745367404,0.24789937192208583,0.26691982853512225,5.556482291168774,3.7848982486456086,3.430316428070236,-0.5035660233777439,0.16418137690575918,-0.10721600842616119
before,A1,8,-1,4.668996170786072,3.0794476229322,3.9660603629369064,-0.04517027140746188,-0.07442618247777397,0.373564385372799,4.523602663686667,2.0615417588544886,3.63659153880297,0.11783178711276363,0.023669583221209343,0.792960257766258,4.7757880412479246,4.087930397652965,3.8003195176697746,-0.7080888085498636,-0.6926935684995342,0.6986706998766093,5.6493881865623,4.94980372609926,5.426417435593102,-0.7907982168428936,-0.772037902681989,0.9138650161221032
before,A1,9,1,3.96824122341167,1.568596759866409,3.194590181489009,0.5636674913278551,-0.16059841564180918,-0.49303951724618933,4.660947832514182,1.5274206712222165,2.265309697220112,0.3725456754688016,0.1602388277148771,-0.08218015278991712,4.914574816954211,2.0858855910562104,2.7677764368605,0.5524291704446319,0.08419262084929038,0.24955712758448587,4.75976249187805,3.074874889240369,3.1907298067269285,-0.04476748221745142,-0.08471083397053687,0.3773757646282427
before,A1,10,1,4.586947395746151,2.632887758844583,3.6220159256867683,-0.36339818133430574,-0.32163446108557703,0.5160837905367494,5.141718329954335,2.922584065971908,2.4096451084344976,0.20561605540643327,-0.7154566000038933,-0.5949143023492153,5.204994118889927,3.491031872956382,2.5498346402342356,0.40650093692127887,-0.19610414822412126,0.140668812837628,6.180119706850942,4.318094997123599,3.8671904909836963,-0.5060542595277713,-0.68420278008075,0.6678862345135361
before,A1,11,1,6.5652325841237245,4.912794778506446,2.3843213279908917,-0.9222826245531298,0.49534659336278564,-0.38428449882930843,6.971544461243302,6.039320918323139,3.5358494970921206,-0.9236683128631504,0.7098896125436132,-0.735060152690253,7.822553604660582,6.612446922402999,4.834322877598446,-0.9931254197212194,0.9411858482520673,-0.9393289306690301,9.169404378200488,8.194655874359245,5.68020005237174,-0.9926941907903919,0.96727123975674,-0.9634708849167626
before,A1,12,1,5.110076534210295,1.795582743448318,3.4880739557046643,0.10267887933145482,-0.45091793687060405,-0.2789001448087743,5.419201636948186,1.8337907791838854,3.0556283571446152,0.7160000300509525,0.30013840842145384,-0.148678875431469,5.0776255316154755,2.6399406820181075,3.0652399863805133,0.4318800849884202,0.3886604602391045,-0.09333161777594866,5.75542214748128,2.3218588201761285,5.120745755220194,0.09132614360966178,-0.08120971877134547,0.004524453763004785
before,A1,13,-1,4.8097079615358815,2.064861538954441,2.816769990327026,-0.2385176986516848,-0.25074716462732977,0.46347369666821464,4.657754187665873,2.208487145230961,2.5668893003384285,0.5061183914194423,-0.3530315719833478,0.10299704370013738,5.644003080773996,1.239750059878314,3.0745707670275473,0.20254495970279274,0.4289889486054354,-0.04959133791588028,5.626189911591223,3.588962545164309,3.2335857402217356,-0.2572016525892954,-0.2129682525901676,0.5562614869709405
before,A1,15,1,4.9288283341253125,3.9574160380560808,1.8619568017840806,-0.395366445206647,-0.3484285584793803,-0.2805284534645655,6.263635267844592,3.976183114247228,3.0495200322232647,-0.7493451633035474,-0.7281205308016394,0.5913271836960313,5.421604459449518,3.572013720055372,2.9196590983017474,0.06232464180749223,-0.46254712681549026,0.15582755608856608,7.075134132126392,6.03215619788649,2.830880088979255,-0.8775454881161786,-0.452462886294202,0.27849084869373747
before,A1,16,-1,4.951675301793053,4.0023340385737205,2.904651277862267,-0.619191191616049,-0.5012819708845339,0.5865607215253937,4.9339057242946565,2.662067656106904,3.4444519219020986,-0.49447676266661494,-0.7521378060616115,0.4896275054662775,5.366727373457889,2.3826892704345886,3.6183954297330363,-0.11264816698421201,-0.7121287549585087,0.2982308167186659,6.321557264958845,5.299035501149151,4.595799761821023,-0.7898723205250089,-0.823105381670001,0.8612596539775873
before,A1,17,1,4.833951491866668,1.9328778850617117,3.628394964013383,0.5974888662801554,0.08650962531091264,0.06752437764523626,5.5037048920182885,3.66567913161771,2.6415047276918053,-0.4875476077456428,0.6052844731743916,-0.3593062059501174,4.769640087157787,3.3175258167117394,3.626468042068569,-0.33179120447548743,-0.3440047812271037,0.178895448818894,6.7915645412949575,5.271321260335806,3.4953023311151714,-0.870607325612499,-0.24474686054102646,0.30013631928872303
