dataset,n,descriptive_fit_fraction,held_block_S_delta
A1,90,0.9938396526924538,0.0917375381761335
A2,95,0.981133003812721,0.21127398953078103
B1,94,0.9871797827506303,-0.2124164259304897
B2,92,0.956164110936156,-0.03897131493026862
