cue,channel,metric,stage,point,low,high,n_trials,n_boot
-1,Fz,proxy_MAE,预处理,8.731994537298469,2.3688151929616783,49.607734466249596,46,400
-1,Fz,proxy_MAE,V7,8.43627492085506,2.3191143142090134,48.70896640697605,46,400
-1,Fz,proxy_MAE,V7减预处理,-0.2957196164434084,-2.2214414259967725,0.9421116408027289,46,400
-1,Fz,positive_mean,预处理,1.003573738157463,0.0,39.96877735305753,46,400
-1,Fz,positive_mean,V7,1.1208835583583903,0.0,38.91934148071947,46,400
-1,Fz,positive_mean,V7减预处理,0.11730982020092728,-1.226326222457681,0.9001413499039334,46,400
-1,F3,proxy_MAE,预处理,6.399960781887919,3.2061801377465273,56.07796103298893,46,400
-1,F3,proxy_MAE,V7,5.947690721400664,3.141872083013342,53.12021857597642,46,400
-1,F3,proxy_MAE,V7减预处理,-0.4522700604872547,-4.524021659402429,1.1028769808634986,46,400
-1,F3,positive_mean,预处理,9.173229718362187,0.0,59.05081183580317,46,400
-1,F3,positive_mean,V7,8.705965241816841,0.0,56.09306937879064,46,400
-1,F3,positive_mean,V7减预处理,-0.46726447654534553,-4.4518099668976845,1.311928701997638,46,400
-1,F4,proxy_MAE,预处理,31.213390792179915,3.609436097880609,72.30436621215333,46,400
-1,F4,proxy_MAE,V7,29.329490547473533,3.1210087209608828,66.90142238392859,46,400
-1,F4,proxy_MAE,V7减预处理,-1.883900244706382,-6.519499078376303,0.7268370114963012,46,400
-1,F4,positive_mean,预处理,41.88392537395796,0.21393976037325213,82.97490079393137,46,400
-1,F4,positive_mean,V7,40.000025129251576,0.6515839052860719,77.57195696570666,46,400
-1,F4,positive_mean,V7减预处理,-1.883900244706382,-6.5194990783763105,1.986765057544364,46,400
1,Fz,proxy_MAE,预处理,14.514680194713838,3.210042013982942,62.877146334049556,48,400
1,Fz,proxy_MAE,V7,14.102118269638693,3.1994858526234027,63.01558189060977,48,400
1,Fz,proxy_MAE,V7减预处理,-0.41256192507514555,-1.1349460167728065,0.6981671404668806,48,400
1,Fz,positive_mean,预处理,18.459606519839472,0.0,65.23346590726558,48,400
1,Fz,positive_mean,V7,18.047044594764333,0.0,65.12025601267902,48,400
1,Fz,positive_mean,V7减预处理,-0.41256192507513845,-1.1457252795363095,0.10997402217791691,48,400
1,F3,proxy_MAE,预处理,19.578142257878447,2.6499457406748315,60.81525551765172,48,400
1,F3,proxy_MAE,V7,17.86690905507703,2.6419428766922657,53.91017766070203,48,400
1,F3,proxy_MAE,V7减预处理,-1.7112332028014166,-7.0532136253299065,0.5269966096039,48,400
1,F3,positive_mean,预处理,0.0,0.0,24.090644808150078,48,400
1,F3,positive_mean,V7,0.0,0.0,21.867613870965197,48,400
1,F3,positive_mean,V7减预处理,0.0,-2.743087797585327,0.32190117342192404,48,400
1,F4,proxy_MAE,预处理,7.032351836629794,2.701795492725611,49.89622567658834,48,400
1,F4,proxy_MAE,V7,5.97439659854741,2.633103671612478,43.433345440848946,48,400
1,F4,proxy_MAE,V7减预处理,-1.0579552380823838,-6.763707843978276,0.3221135204290732,48,400
1,F4,positive_mean,预处理,0.07328523320838871,0.0,33.60477669155183,48,400
1,F4,positive_mean,V7,0.2285718400583778,0.0,29.999134662674933,48,400
1,F4,positive_mean,V7减预处理,0.15528660684998907,-3.6239702630569233,0.47581542126121956,48,400
