iteration,BA
1,0.4386998254799302
2,0.5029668411867365
3,0.4513089005235602
4,0.47566899360093073
5,0.4382198952879581
6,0.5063845258871438
7,0.49741128563118087
8,0.479086678301338
9,0.5356602675974403
10,0.5319226294357184
11,0.46813554392088425
12,0.5302646887725422
13,0.4432955206515416
14,0.5193135543920884
15,0.48971785922047706
16,0.4545666084933101
17,0.4480511925538104
18,0.4606020942408377
19,0.5051047120418848
20,0.4875799883653287
21,0.49153577661431064
22,0.49805119255381036
23,0.4871000581733566
24,0.4867801047120419
25,0.48544211751018035
26,0.5055846422338569
27,0.47828679464805113
28,0.4524287376381617
29,0.5100203606748109
30,0.5123182082606166
31,0.5057446189645143
32,0.4769488074461896
33,0.4409976730657359
34,0.508522396742292
35,0.47940663176265275
36,0.5225712623618383
37,0.45616637579988367
38,0.4821844095404305
39,0.41727748691099475
40,0.4944735311227458
41,0.49265561372891215
42,0.49543339150668997
43,0.47385107620709715
44,0.4493310063990692
45,0.4858202443280978
46,0.4840023269342641
47,0.5413757998836533
48,0.4591623036649215
49,0.49003781268179175
50,0.5235892961023851
51,0.5036067481093659
52,0.4895578824898197
53,0.49233566026759745
54,0.5230511925538104
55,0.4596422338568935
56,0.4844822571262362
57,0.5508871436881908
58,0.4851803374054683
59,0.460762070971495
60,0.4460732984293194
61,0.4898778359511344
62,0.4702734147760326
63,0.46813554392088425
64,0.49121582315299595
65,0.4624200116346713
66,0.4473531122745782
67,0.49185573007562533
68,0.50804246655032
69,0.5279668411867364
70,0.4661576497963933
71,0.499869109947644
72,0.500349040139616
73,0.47924665503199537
74,0.49821116928446774
75,0.4840023269342641
76,0.4494909831297266
77,0.5036067481093659
78,0.44115764979639327
79,0.4874200116346713
80,0.5067044793484584
81,0.5261489237929029
82,0.48773996509598605
83,0.5232111692844676
84,0.46695753344968005
85,0.4951134380453752
86,0.4828243164630599
87,0.47940663176265275
88,0.44179755671902265
89,0.4893979057591623
90,0.4606020942408377
91,0.5248691099476439
92,0.5077225130890053
93,0.433304246655032
94,0.5145578824898196
95,0.4732111692844677
96,0.44623327515997674
97,0.4571844095404305
98,0.5039848749272833
99,0.49019778941244907
100,0.43084642233856896
101,0.5546247818499128
102,0.4444153577661431
103,0.476628853984875
104,0.47075334496800464
105,0.5447934845840605
106,0.500349040139616
107,0.49035776614310644
108,0.46701570680628274
109,0.4970913321698662
110,0.47177137870855146
111,0.45654450261780105
112,0.479086678301338
113,0.5649360093077371
114,0.4789267015706806
115,0.4498109365910413
116,0.5230511925538104
117,0.5042466550319953
118,0.46733566026759743
119,0.5139179755671902
120,0.45638452588714373
121,0.5257271669575334
122,0.5216114019778941
123,0.48907795229784756
124,0.5587405468295521
125,0.47924665503199537
126,0.5435136707388016
127,0.5224112856311809
128,0.5549447353112275
129,0.5031268179173938
130,0.47385107620709715
131,0.5237492728330424
132,0.4717132053519488
133,0.456064572425829
134,0.4449534613147178
135,0.5171756835369401
136,0.518673647469459
137,0.5139179755671902
138,0.544153577661431
139,0.5559627690517743
140,0.516695753344968
141,0.4743310063990692
142,0.5336823734729494
143,0.5224112856311809
144,0.47956660849331006
145,0.500349040139616
146,0.48923792902850494
147,0.5562827225130891
148,0.5490692262943573
149,0.4924956369982548
150,0.4552065154159395
151,0.5000290866783014
152,0.46353984874927284
153,0.5000290866783014
154,0.5271669575334497
155,0.5415357766143106
156,0.41941535776614314
157,0.5194735311227459
158,0.4767888307155323
159,0.5059045956951717
160,0.5083624200116347
161,0.49003781268179175
162,0.4759889470622455
163,0.47369109947643984
164,0.5595404304828389
165,0.5296247818499128
166,0.5243891797556719
167,0.5180337405468296
168,0.522891215823153
169,0.5255090168702734
170,0.4871000581733566
171,0.46433973240255966
172,0.4529086678301338
173,0.4875799883653287
174,0.4882780686445608
175,0.5279668411867364
176,0.5250290866783014
177,0.49821116928446774
178,0.4866201279813845
179,0.47582897033158816
180,0.48907795229784756
181,0.4705933682373473
182,0.4447353112274578
183,0.5132780686445608
184,0.5128999418266433
185,0.4547265852239674
186,0.4422774869109948
187,0.43560209424083773
188,0.4744909831297266
189,0.41156195462478184
190,0.5029668411867365
191,0.50478475858057
192,0.47886852821407794
193,0.49361547411285633
194,0.4893979057591623
195,0.500349040139616
196,0.49805119255381036
197,0.4913757998836533
198,0.4702734147760326
199,0.5168557300756254
