version,dataset,quantity,channel_or_cue,RMS_before,RMS_after,retention_ratio,waveform_correlation,P300_positive_mean_difference_before,P300_positive_mean_difference_after
before,A1,left_minus_right_ERP,Fz,7.581959457448026,7.581959457448026,0.9999999999999836,1.0,,
before,A1,left_minus_right_ERP,F3,68.76659800904923,68.76659800904923,0.9999999999999981,0.9999999999999998,,
before,A1,left_minus_right_ERP,F4,50.031822740415905,50.031822740415905,0.9999999999999974,0.9999999999999998,,
before,A1,F3_minus_F4,left,13.24222700515048,13.24222700515048,0.9999999999999907,1.0,0.0,0.0
before,A1,F3_minus_F4,right,5.764964891228105,5.764964891228105,0.9999999999999785,1.0,5.416872428931608,5.416872428931608
old,A1,left_minus_right_ERP,Fz,7.581959457448026,7.586105150994667,1.0005467839243647,0.9978454106045207,,
old,A1,left_minus_right_ERP,F3,68.76659800904923,62.0416446647903,0.9022061067587772,0.9990940051278419,,
old,A1,left_minus_right_ERP,F4,50.031822740415905,44.98306812154678,0.8990891328292375,0.997018437542851,,
old,A1,F3_minus_F4,left,13.24222700515048,13.121713457207484,0.9908992990456783,0.9996757781338833,0.0,0.0
old,A1,F3_minus_F4,right,5.764964891228105,4.23582213180886,0.7347524593348245,0.9934171977899249,5.416872428931608,3.885988558686382
new,A1,left_minus_right_ERP,Fz,7.581959457448026,7.510434223049018,0.9905663918673598,0.9975720646182559,,
new,A1,left_minus_right_ERP,F3,68.76659800904923,59.52157757474844,0.8655594328937966,0.9992419758535265,,
new,A1,left_minus_right_ERP,F4,50.031822740415905,43.019510086715684,0.859842950554033,0.99854296045522,,
new,A1,F3_minus_F4,left,13.24222700515048,12.879319867724309,0.9725947050080671,0.9990514360137115,0.0,0.0
new,A1,F3_minus_F4,right,5.764964891228105,3.948743869559448,0.6849554063317401,0.9911778218680222,5.416872428931608,3.569150305990057
before,A2,left_minus_right_ERP,Fz,31.472282064008922,31.472282064008922,0.9999999999999961,1.0,,
before,A2,left_minus_right_ERP,F3,75.65921921738295,75.65921921738295,0.9999999999999983,1.0,,
before,A2,left_minus_right_ERP,F4,39.89855380357737,39.89855380357737,0.9999999999999968,0.9999999999999999,,
before,A2,F3_minus_F4,left,16.967982284912615,16.967982284912615,0.9999999999999928,1.0,-16.958189498421476,-16.958189498421476
before,A2,F3_minus_F4,right,18.973398468303834,18.973398468303834,0.9999999999999934,0.9999999999999999,18.67696068746328,18.67696068746328
old,A2,left_minus_right_ERP,Fz,31.472282064008922,30.411761325408406,0.9663030238339969,0.9871358335044085,,
old,A2,left_minus_right_ERP,F3,75.65921921738295,71.97725428047528,0.9513348806002238,0.9968171322613124,,
old,A2,left_minus_right_ERP,F4,39.89855380357737,37.46934101354703,0.9391152671350044,0.9907173393010874,,
old,A2,F3_minus_F4,left,16.967982284912615,16.45495057264165,0.9697647190068523,0.8883085707488878,-16.958189498421476,-16.449142338823954
old,A2,F3_minus_F4,right,18.973398468303834,18.254575650683805,0.9621141769187538,0.9994757912758258,18.67696068746328,17.959427506809774
new,A2,left_minus_right_ERP,Fz,31.472282064008922,28.990663369417312,0.9211490704886107,0.9935075184607847,,
new,A2,left_minus_right_ERP,F3,75.65921921738295,69.49811718589723,0.9185677291516339,0.997736841457543,,
new,A2,left_minus_right_ERP,F4,39.89855380357737,35.641341912054955,0.89329909268188,0.995995460812252,,
new,A2,F3_minus_F4,left,16.967982284912615,16.36075127973427,0.9642131282917242,0.8698378158469189,-16.958189498421476,-16.35484565822401
new,A2,F3_minus_F4,right,18.973398468303834,17.723718395135396,0.934135148468198,0.9997742046380838,18.67696068746328,17.413553681029953
before,B1,left_minus_right_ERP,Fz,20.19503267155435,20.19503267155435,0.9999999999999939,1.0,,
before,B1,left_minus_right_ERP,F3,21.315001264643282,21.315001264643282,0.9999999999999942,1.0,,
before,B1,left_minus_right_ERP,F4,48.4900140498989,48.4900140498989,0.9999999999999973,1.0,,
before,B1,F3_minus_F4,left,32.75135974873273,32.75135974873273,0.9999999999999961,1.0,-32.71069565559577,-32.71069565559577
before,B1,F3_minus_F4,right,5.861638945099924,5.861638945099924,0.9999999999999788,1.0,-0.07328523320838871,-0.07328523320838871
old,B1,left_minus_right_ERP,Fz,20.19503267155435,19.271571983246474,0.9542728797062691,0.9954381529626105,,
old,B1,left_minus_right_ERP,F3,21.315001264643282,19.536006060959583,0.916537879515177,0.9994348642323571,,
old,B1,left_minus_right_ERP,F4,48.4900140498989,46.32865005923679,0.955426616531023,0.9996908506701055,,
old,B1,F3_minus_F4,left,32.75135974873273,31.58948547330387,0.9645243958008816,0.9972264195560104,-32.71069565559577,-31.55632202112232
old,B1,F3_minus_F4,right,5.861638945099924,5.127433248848055,0.8747439575981149,0.9994701549685738,-0.07328523320838871,-0.1806772607550063
new,B1,left_minus_right_ERP,Fz,20.19503267155435,19.498594952351134,0.9655144049266974,0.9938452775203177,,
new,B1,left_minus_right_ERP,F3,21.315001264643282,19.071414229582647,0.8947414073682303,0.99884309993427,,
new,B1,left_minus_right_ERP,F4,48.4900140498989,45.41850042548559,0.9366567800691361,0.9995762807373668,,
new,B1,F3_minus_F4,left,32.75135974873273,31.335870418247453,0.9567807461630605,0.9977451643813409,-32.71069565559577,-31.294059887434734
new,B1,F3_minus_F4,right,5.861638945099924,5.362767981342051,0.9148922394520697,0.9990011788644543,-0.07328523320838871,-0.2285718400583778
before,B2,left_minus_right_ERP,Fz,19.93035034163431,19.93035034163431,0.9999999999999938,1.0,,
before,B2,left_minus_right_ERP,F3,41.73684828464967,41.73684828464967,0.999999999999997,1.0,,
before,B2,left_minus_right_ERP,F4,45.44872338175096,45.44872338175096,0.9999999999999972,1.0,,
before,B2,F3_minus_F4,left,23.17029353093848,23.17029353093848,0.9999999999999947,1.0,-22.90725455512043,-22.90725455512043
before,B2,F3_minus_F4,right,26.88232964505076,26.88232964505076,0.9999999999999954,1.0,-26.237982458166464,-26.237982458166464
old,B2,left_minus_right_ERP,Fz,19.93035034163431,15.611003188192752,0.7832779113562002,0.9960195683575785,,
old,B2,left_minus_right_ERP,F3,41.73684828464967,34.465105895786614,0.825771645734505,0.9976522126703047,,
old,B2,left_minus_right_ERP,F4,45.44872338175096,37.78420386978629,0.8313589702490453,0.9975846426779761,,
old,B2,F3_minus_F4,left,23.17029353093848,24.825353832198317,1.0714302690662838,0.9982554549293193,-22.90725455512043,-24.548760604868775
old,B2,F3_minus_F4,right,26.88232964505076,28.10563319807664,1.0455058608825212,0.9998674639614135,-26.237982458166464,-27.497442847552783
new,B2,left_minus_right_ERP,Fz,19.93035034163431,15.336906177025634,0.7695251671008957,0.9842493726618153,,
new,B2,left_minus_right_ERP,F3,41.73684828464967,34.38326948754459,0.8238108745789091,0.9879940895837759,,
new,B2,left_minus_right_ERP,F4,45.44872338175096,37.62566532789987,0.8278706755272164,0.9928715370015945,,
new,B2,F3_minus_F4,left,23.17029353093848,24.2650860396206,1.0472498333791131,0.9993802837321518,-22.90725455512043,-23.972430006375806
new,B2,F3_minus_F4,right,26.88232964505076,27.464556548920033,1.0216583499851672,0.9998632669518599,-26.237982458166464,-26.80931980179888
