dataset,fold,cue,channel,version,MAE,positive_mean_error
A1,1,-1,Fz,before,2.844571550439036,2.2399685011259742
A1,1,-1,F3,before,39.397553132746985,0.0
A1,1,-1,F4,before,46.8227331500534,0.12098368132781478
A1,1,1,Fz,before,9.209066473483507,5.919189937624325
A1,1,1,F3,before,22.61178369522858,20.405356237323403
A1,1,1,F4,before,8.82427109118288,8.143886247445309
A1,1,-1,Fz,old,2.9665969002518655,2.4143521082436363
A1,1,-1,F3,old,34.244947838644556,0.0
A1,1,-1,F4,old,40.76798076377524,0.12098368132781478
A1,1,1,Fz,old,9.058159405223696,5.876586982311069
A1,1,1,F3,old,19.405872530108887,17.1994450722037
A1,1,1,F4,old,8.453562759872968,7.924287161120101
A1,1,-1,Fz,new,2.8840157285716947,2.325701634052454
A1,1,-1,F3,new,33.38725580455376,0.0
A1,1,-1,F4,new,40.168202800139404,0.12098368132781478
A1,1,1,Fz,new,8.972672574154736,5.844344066305842
A1,1,1,F3,new,18.389804662960227,16.183377205055045
A1,1,1,F4,new,7.635009336953623,6.861116567622097
A1,2,-1,Fz,before,5.668061782255837,4.948846869229166
A1,2,-1,F3,before,45.88841485798958,4.358276180334189
A1,2,-1,F4,before,47.24983420566439,2.368069222615673
A1,2,1,Fz,before,3.413062895444358,1.0102610293195626
A1,2,1,F3,before,58.57874329952624,4.464080450296529
A1,2,1,F4,before,51.116727030413436,9.574929441105146
A1,2,-1,Fz,old,5.165604000738978,4.597943020717773
A1,2,-1,F3,old,40.831034677244716,4.358276180334189
A1,2,-1,F4,old,41.49387083579388,2.368069222615673
A1,2,1,Fz,old,3.478230045948048,1.2422866252519595
A1,2,1,F3,old,51.41427711005357,4.464080450296529
A1,2,1,F4,old,44.43644581958325,9.574929441105146
A1,2,-1,Fz,new,5.249864553683163,4.659844472930359
A1,2,-1,F3,new,41.08988944608255,4.358276180334189
A1,2,-1,F4,new,41.396831897551095,2.368069222615673
A1,2,1,Fz,new,3.4862607107637777,1.2365580499350752
A1,2,1,F3,new,51.80823617311467,4.464080450296529
A1,2,1,F4,new,44.90436764295658,9.574929441105146
A1,3,-1,Fz,before,6.172646453765819,5.827540791213981
A1,3,-1,F3,before,63.316231880140045,0.0
A1,3,-1,F4,before,49.60364912460577,0.7844628659544541
A1,3,1,Fz,before,11.152577372061867,5.4304692211693375
A1,3,1,F3,before,68.12533778345514,66.14374199165815
A1,3,1,F4,before,42.311947706273976,41.337125737483404
A1,3,-1,Fz,old,6.196818273342054,5.875096844625385
A1,3,-1,F3,old,57.28545589722552,0.0
A1,3,-1,F4,old,43.86222132511359,0.7844628659544541
A1,3,1,Fz,old,11.233305439857823,5.433119203693436
A1,3,1,F3,old,61.414977462518074,59.4333816707211
A1,3,1,F4,old,37.95934970378948,36.98452773499891
A1,3,-1,Fz,new,6.122903085977387,5.772631176145427
A1,3,-1,F3,new,52.949377408961666,0.0
A1,3,-1,F4,new,40.99422922543827,0.7844628659544541
A1,3,1,Fz,new,11.037253584629537,5.414322510526107
A1,3,1,F3,new,58.87261029970951,56.891014507912516
A1,3,1,F4,new,36.66215936474716,35.68733739595659
A1,4,-1,Fz,before,2.7709762591459506,2.092525083351538
A1,4,-1,F3,before,14.856743447766668,4.12781575783027
A1,4,-1,F4,before,59.21579813049328,56.52145403507692
A1,4,1,Fz,before,7.676689905109271,6.113592665586518
A1,4,1,F3,before,7.361366008035126,0.290922574149195
A1,4,1,F4,before,10.572298337021959,9.814339327814297
A1,4,-1,Fz,old,2.621562641054534,1.8941138787067722
A1,4,-1,F3,old,9.845691226729752,1.1499296820526148
A1,4,-1,F4,old,53.512017845360276,50.81767374994392
A1,4,1,Fz,old,7.66782531168669,6.082183242374909
A1,4,1,F3,old,6.0902628608725475,0.174151903431214
A1,4,1,F4,old,10.438345804865438,9.923371298987808
