dataset,fold,train_n,test_n,train_median_pre_slope,V4_candidate,V6_base,correction_fraction,reference_count
VisualCogA_Task-1,1,72,18,-0.011415974006042674,中位数基线,V4,0.15,37
VisualCogA_Task-1,2,72,18,-0.0029437303811739087,中位数基线,V4,0.15,37
VisualCogA_Task-1,3,72,18,-0.006551580024135746,保守双分量,V4,0.15,36
VisualCogA_Task-1,4,72,18,-0.006551580024135746,保守双分量,V4,0.15,36
VisualCogA_Task-1,5,72,18,-0.0100944950889703,中位数基线,V4,0.15,36
VisualCogA_Task-2,1,76,19,0.07080762267032634,保守双分量,V4,0.15,39
VisualCogA_Task-2,2,76,19,0.06734919251377543,保守双分量,V4,0.15,39
VisualCogA_Task-2,3,76,19,0.05117597814753438,中位数基线,V4,0.15,38
VisualCogA_Task-2,4,76,19,0.063484254696883,保守双分量,V4,0.15,38
VisualCogA_Task-2,5,76,19,0.07113695019400194,中位数基线,V4,0.15,38
VisualCogB_Task-1,1,75,19,0.0023432594608205413,中位数基线,V4,0.15,38
VisualCogB_Task-1,2,75,19,0.0060967408679535404,保守双分量,V4,0.15,38
VisualCogB_Task-1,3,75,19,-0.003422519872538481,保守双分量,V4,0.15,38
VisualCogB_Task-1,4,75,19,-0.0014406347840089863,保守双分量,V4,0.15,38
VisualCogB_Task-1,5,76,18,0.0025625355305536534,中位数基线,V4,0.15,39
VisualCogB_Task-2,1,73,19,0.07784926416543653,保守双分量,V4,0.15,37
VisualCogB_Task-2,2,73,19,0.09323630588813617,保守双分量,V4,0.15,37
VisualCogB_Task-2,3,74,18,0.08911819743442452,中位数基线,V4,0.15,37
VisualCogB_Task-2,4,74,18,0.09168407066026371,保守双分量,V4,0.15,37
VisualCogB_Task-2,5,74,18,0.09213452650723086,中位数基线,V4,0.15,37
